match, robot, score
1, 5, 13
1, 6, 21
1, 0, 89
1, 3, 281
1, 4, 48
1, 2, 120
1, 1, 66
2, 3, 27
2, 5, 45
2, 6, 7
2, 2, 14
2, 4, 105
2, 1, 90
2, 0, 94
3, 6, 16
3, 3, 14
3, 1, 58
3, 5, 32
3, 0, 132
3, 2, 186
3, 4, 94
4, 6, 4
4, 5, 51
4, 2, 49
4, 3, 82
4, 4, 40
4, 1, 31
4, 0, 132
5, 6, 66
5, 2, 51
5, 0, 152
5, 1, 108
5, 5, 3
5, 4, 58
6, 5, 9
6, 3, 13
6, 6, 30
6, 4, 35
6, 0, 254
6, 2, 44
6, 1, 241
7, 4, 18
7, 3, 41
7, 0, 64
7, 6, 33
7, 5, 88
7, 2, 116
7, 1, 48
8, 3, 21
8, 5, 24
8, 6, 33
8, 0, 135
8, 2, 32
8, 1, 114
8, 4, 67
9, 6, 2
9, 3, 96
9, 5, 33
9, 4, 20
9, 2, 78
9, 1, 90
9, 0, 61
10, 2, 52
10, 6, 60
10, 5, 36
10, 3, 40
10, 1, 32
10, 0, 88
10, 4, 141
11, 2, 10
11, 6, 22
11, 3, 26
11, 4, 79
11, 1, 100
11, 0, 249
11, 5, 29
12, 3, 6
12, 6, 10
12, 4, 70
12, 2, 20
12, 1, 66
12, 5, 18
12, 0, 121
13, 2, 136
13, 3, 82
13, 5, 9
13, 6, 19
13, 4, 29
13, 1, 71
13, 0, 118
14, 3, 18
14, 6, 30
14, 5, 9
14, 2, 32
14, 1, 125
14, 0, 175
14, 4, 133
15, 3, 13
15, 5, 138
15, 6, 6
15, 2, 56
15, 1, 59
15, 4, 51
15, 0, 85
16, 5, 25
16, 3, 58
16, 6, 16
16, 4, 6
16, 2, 32
16, 1, 99
16, 0, 102
17, 3, 36
17, 6, 21
17, 4, 40
17, 1, 72
17, 5, 44
17, 0, 65
18, 3, 1
18, 4, 63
18, 6, 26
18, 1, 128
18, 5, 40
18, 2, 16
18, 0, 126
19, 3, 17
19, 6, 14
19, 1, 57
19, 4, 62
19, 0, 105
19, 2, 23
19, 5, 9
20, 6, 6
20, 5, 26
20, 3, 27
20, 4, 27
20, 2, 90
20, 0, 210
20, 1, 104
21, 3, 5
21, 4, 21
21, 6, 47
21, 1, 132
21, 2, 34
21, 5, 75
21, 0, 151
22, 6, 24
22, 3, 48
22, 0, 112
22, 1, 112
22, 5, 1
22, 2, 36
22, 4, 29
23, 3, 20
23, 6, 62
23, 4, 98
23, 5, 16
23, 1, 88
23, 0, 149
23, 2, 52
24, 3, 6
24, 1, 74
24, 5, 17
24, 2, 4
24, 6, 169
24, 0, 256
24, 4, 205
25, 3, 90
25, 2, 32
25, 4, 59
25, 1, 34
25, 5, 43
25, 0, 99
26, 6, 65
26, 3, 214
26, 2, 23
26, 0, 103
26, 1, 65
26, 5, 3
26, 4, 30
27, 3, 41
27, 5, 15
27, 2, 22
27, 6, 23
27, 0, 188
27, 4, 46
27, 1, 64
28, 3, 8
28, 2, 113
28, 6, 4
28, 5, 52
28, 4, 74
28, 1, 164
28, 0, 183
29, 3, 39
29, 6, 22
29, 5, 24
29, 4, 58
29, 1, 140
29, 0, 240
29, 2, 51
30, 3, 28
30, 6, 59
30, 4, 72
30, 2, 170
30, 1, 25
30, 0, 126
30, 5, 25
31, 6, 112
31, 5, 20
31, 3, 56
31, 2, 60
31, 0, 186
31, 1, 126
31, 4, 65
32, 3, 26
32, 4, 35
32, 0, 132
32, 2, 16
32, 6, 143
32, 1, 155
32, 5, 35
33, 2, 116
33, 3, 51
33, 6, 10
33, 5, 32
33, 1, 84
33, 4, 51
33, 0, 154
34, 6, 11
34, 3, 34
34, 4, 36
34, 2, 86
34, 1, 63
34, 5, 19
34, 0, 171
35, 3, 38
35, 5, 63
35, 6, 34
35, 0, 111
35, 1, 201
35, 2, 94
35, 4, 75
36, 6, 16
36, 3, 56
36, 1, 4
36, 5, 155
36, 4, 44
36, 2, 54
36, 0, 182
37, 2, 18
37, 5, 50
37, 6, 30
37, 3, 18
37, 1, 82
37, 0, 231
37, 4, 54
