match, robot, score
1, 6, 28
1, 5, 8
1, 3, 5
1, 2, 2
1, 1, 4
1, 0, 40
2, 6, 16
2, 1, 7
2, 0, 34
2, 5, 22
2, 4, 66
2, 2, 8
3, 3, 16
3, 5, 10
3, 1, 6
3, 0, 10
3, 2, 5
3, 4, 38
4, 3, 18
4, 0, 3
4, 6, 22
4, 5, 20
4, 4, 66
4, 2, 4
4, 1, 10
5, 1, 8
5, 5, 2
5, 4, 6
6, 2, 5
6, 1, 9
6, 0, 46
6, 4, 20
6, 3, 12
7, 6, 8
7, 0, 4
7, 4, 2
7, 5, 10
7, 2, 3
7, 1, 32
8, 6, 26
8, 3, 22
8, 5, 50
8, 0, 22
8, 1, 27
8, 2, 4
8, 4, 2
9, 3, 3
9, 6, 102
9, 0, 34
9, 1, 29
9, 4, 13
9, 5, 36
9, 2, 6
10, 6, 18
10, 3, 6
10, 5, 18
10, 1, 27
10, 2, 3
10, 0, 10
10, 4, 124
11, 3, 1
11, 4, 10
11, 6, 54
11, 5, 18
11, 1, 7
11, 0, 23
11, 2, 15
12, 0, 6
12, 2, 7
12, 5, 12
12, 1, 23
12, 4, 34
13, 3, 7
13, 4, 1
13, 1, 14
13, 2, 12
13, 5, 48
13, 0, 49
14, 6, 1
14, 2, 29
14, 4, 52
14, 3, 2
14, 0, 42
14, 5, 38
14, 1, 7
15, 3, 12
15, 6, 48
15, 0, 23
15, 1, 12
15, 2, 2
15, 5, 8
15, 4, 63
16, 6, 10
16, 5, 17
16, 3, 7
16, 1, 12
16, 4, 30
16, 2, 23
16, 0, 32
17, 6, 34
17, 3, 34
17, 2, 11
17, 1, 9
17, 0, 42
17, 5, 24
18, 2, 24
18, 6, 4
18, 1, 17
18, 0, 99
18, 3, 29
18, 5, 54
19, 6, 6
19, 5, 20
19, 2, 2
19, 4, 44
19, 1, 8
19, 0, 32
19, 3, 52
20, 6, 34
20, 3, 13
20, 5, 10
20, 4, 10
20, 2, 2
20, 1, 35
21, 1, 44
21, 3, 15
21, 6, 4
21, 5, 34
21, 0, 57
21, 4, 12
21, 2, 15
22, 3, 18
22, 6, 68
22, 2, 14
22, 5, 20
22, 0, 12
22, 1, 7
22, 4, 38
23, 4, 20
23, 6, 19
23, 2, 2
23, 1, 15
23, 5, 41
23, 0, 52
23, 3, 30
24, 4, 20
24, 6, 20
24, 2, 2
24, 1, 15
24, 5, 41
24, 0, 52
24, 3, 30
25, 2, 3
25, 0, 18
25, 5, 36
25, 1, 23
25, 4, 80
26, 6, 28
26, 2, 17
26, 3, 13
26, 0, 39
26, 5, 16
26, 1, 18
26, 4, 72
27, 3, 1
27, 5, 6
27, 6, 14
27, 2, 4
27, 1, 14
27, 0, 27
27, 4, 42
28, 2, 2
28, 5, 4
28, 3, 7
28, 0, 14
28, 4, 28
28, 1, 37
29, 6, 7
29, 3, 11
29, 4, 12
29, 1, 67
29, 5, 78
29, 2, 19
29, 0, 83
30, 6, 2
30, 2, 9
30, 1, 43
30, 4, 8
30, 0, 59
30, 5, 20
31, 3, 5
31, 0, 21
31, 6, 20
31, 4, 35
31, 1, 22
31, 2, 33
31, 5, 20
32, 2, 23
32, 3, 21
32, 6, 24
32, 0, 29
32, 5, 30
32, 1, 20
32, 4, 47
33, 6, 6
33, 1, 11
33, 3, 14
33, 0, 17
33, 5, 8
33, 2, 42
33, 4, 40
34, 3, 9
34, 5, 34
34, 1, 16
34, 4, 8
34, 0, 30
34, 6, 22
35, 3, 60
35, 6, 28
35, 5, 45
35, 0, 101
35, 2, 5
35, 1, 15
35, 4, 88
36, 6, 6
36, 0, 6
36, 2, 8
36, 1, 7
36, 5, 2
36, 4, 80
37, 3, 6
37, 0, 7
37, 5, 12
37, 6, 36
37, 1, 5
37, 4, 78
38, 4, 2
39, 2, 11
39, 3, 25
39, 6, 16
39, 5, 58
39, 1, 14
39, 4, 5
39, 0, 36
40, 4, 4
40, 3, 24
40, 1, 24
40, 5, 134
40, 6, 49
40, 2, 8
40, 0, 208
41, 6, 12
41, 5, 14
41, 3, 45
41, 2, 3
41, 0, 16
41, 4, 44
41, 1, 29
42, 5, 8
42, 6, 8
42, 1, 46
42, 0, 12
42, 4, 30
42, 2, 4
43, 3, 21
43, 6, 151
43, 0, 38
43, 5, 28
43, 4, 88
43, 1, 20
43, 2, 2
44, 1, 1
45, 6, 2
45, 3, 18
45, 2, 4
45, 4, 43
45, 1, 32
45, 0, 58
45, 5, 56
46, 2, 27
46, 5, 4
46, 6, 44
46, 0, 75
46, 4, 42
46, 3, 24
46, 1, 45
47, 3, 13
47, 6, 28
47, 2, 2
47, 1, 10
47, 0, 49
47, 4, 91
47, 5, 34
48, 5, 6
48, 3, 2
48, 2, 19
48, 1, 35
48, 0, 44
48, 4, 40
49, 2, 12
49, 5, 16
49, 4, 2
49, 3, 44
49, 0, 45
50, 3, 25
50, 1, 83
50, 5, 36
50, 0, 75
50, 2, 13
50, 4, 32
