Timestamp,Scout Initials (i.e Debbie Kebede -> D.K.),Team number (for the team you're scouting),Drive base ,Hopper_length *inches*,Hopper_width *inches*,Hopper_height *inches*,Estimated hopper capacity,Upload one ISOMETRIC robot photo,Turret?,How many batteries do they have?,Build quality (1-5),Additional comments (optional)?
3/21/2026 8:21:49,BP,116,Swerve,23,26.5,21.5,60,https://drive.google.com/open?id=1FmCKpplXoAJAIy5d_wcSKW1oa3mlJUNz,No,12,3,Triple lane shooter; they extend 11 in past fp
3/21/2026 8:57:30,BP,449,Swerve,32.5,23,15,50,https://drive.google.com/open?id=10O8fA_noit-OiTbajTNp6tNrGazMQTRU,No,12,5,Picture doesn’t have extension
3/21/2026 8:38:46,BP,888,Swerve,31,25,17,45,https://drive.google.com/open?id=1b640EYMG2aVDYu4whazjMwNH8Kg2HNuW,No,13,2,"Building itself from a mechanical perspective is around a 3, but wiring is exposed and brain pan is mounted on the back of their hopper "
3/21/2026 8:29:12,BP ,1389,Swerve,23.5,24,20,55,https://drive.google.com/open?id=1gxeJJQ7k6WqjXKFnaBliDzUfzW97gFD1,No,8,4,"Variable hood, vert and horizontal extension I think"
3/21/2026 8:46:10,BP,1446,Tank,0,0,0,0,https://drive.google.com/open?id=1rt4qaCSzc7HYBirEhk_O2ToMKjpCQEIE,No,3,1,"They only have a shooter, don’t see any intake or hopper."
3/21/2026 9:38:20,H.R and A.Z,1727,Swerve,25,27,16,35,https://drive.google.com/open?id=1KGVSaUM_Ji0odLNTbjjTSzkyYfdlocAN,No,9,4,"Strong hopper, strong structure, large hopper, spindexer, also i have a video of the robot."
3/21/2026 8:39:24,B.S,1731,Swerve,27,21,11,25,https://drive.google.com/open?id=1rz67yGFvSDEm1VJUyz_S8sJb8vuYe1Hk,Yes,10,5,double turret
3/21/2026 9:24:56,A.Z and H.R,2186,Swerve,22,24,16,20,https://drive.google.com/open?id=1GufB0uYnsnwhEueJjAoua2UsygTpQ65H,No,1,3,I have an video of the robot for better view
3/21/2026 9:36:36,AD,2421,Swerve,38,27,13.5,30,https://drive.google.com/open?id=1oZFiOkDukfw8IToDgLh3kf3yEOxVsDyH,Yes,6,3,"Simple but well executed, recently underwent full hopper redo"
3/21/2026 9:36:54,S.B. + J.S. + A.Y.,2900,Mecanum,25.5,29.5,20,25,https://drive.google.com/open?id=1F4IM8KMOxIC4pKRWe5ziEQgmHwIomf2d,No,N/A,3,
3/21/2026 9:42:09,SB + JS + AY,2912,Tank,26,27,24,37,https://drive.google.com/open?id=1aG5gBL05V5GXOQSCxo1FfnQA0YyDGmib,No,N/A,3,
3/21/2026 9:51:09,SB + JS + AY,2914,Swerve,27.5,27.5,17.5,0,https://drive.google.com/open?id=1yod-Ib8oK50CVEN8Kb2ylj_NCdjfJxvc,No,N/A,2,
3/21/2026 9:05:58,KP and IT,2988,Tank,25,14.5,11,25,https://drive.google.com/open?id=15g54RQhgYDhuyUQU7al3GulRWbTpCixo,No,8,4,they can shoot from anywhere during auto
3/21/2026 9:18:35,KP & IT,3373,Swerve,20,23,22,40,https://drive.google.com/open?id=1UL4v7WtkCosyZiUL7b6deukpHsrM2J0B,No,6,4,"They have an interesting hopper that opens up, is not a box so dimensions may be inaccurate"
3/21/2026 8:33:04,MC,3714,Tank,18,15.5,14,8,https://drive.google.com/open?id=198aab34F2yE8W-cI1pSTl8D-B70fDAfQ,No,6,3,Probably kitbot 
3/21/2026 8:39:37,E.K,4464,Mecanum,16,14,20,15,https://drive.google.com/open?id=1Cq_w1RzesfRan1aIQYEdQBfjiLGXsp28,Yes,6,3,Said they just finished the turrent part yesterday. Nice people and seemed pretty good. 
3/21/2026 8:46:33,E.K,4472,Swerve,26,28,22,40,https://drive.google.com/open?id=1b91dtKRO2XaYutHfm7eKf09hW8zJD9Wa,Yes,12,3,"Seemed pretty decent, not advanced although with the whole thing being a hopper."
3/21/2026 8:49:43,KP and IT,4638,Swerve,30,24,21.75,45,https://drive.google.com/open?id=1GhbLucQGzyIQc6wHLa5JmvECbt3sichu,No,8,3,"their turret isn’t working right now, so they won’t be using it for this comp. But they coded and made a backup with a adjustable shooter"
3/21/2026 8:56:15,KP and IT,4821,Swerve,27,28,21,10,https://drive.google.com/open?id=1AhZqip2LmUKguzi4mYNCyyvfwa6w_rzb,No,3,2,"They’re mostly a defense bot, and they don’t really have a hopper to hold balls"
3/21/2026 8:49:25,MC and AC,5243,Mecanum,23,16.125,13,25,https://drive.google.com/open?id=1ajYkIogB9k-qLMzWiXfgIQjPiUTzLPjF,Yes,8,4,
3/21/2026 8:53:44,MC and AC,5338,Swerve,29.5,26.5,13,35,https://drive.google.com/open?id=1OQkcoPOVM3kpP9CDxGV6mjWczVCJ0WHc,No,8,5,Share batteries with 5353
3/21/2026 9:55:10,SB + JS + AY,5353,Swerve,25,29,20,25,https://drive.google.com/open?id=1v-6zze1twDo1SDGLjJE0rjIbSVlXAZ8Y,No,N/A,3,
