Timestamp,Team number (for the team you're scouting),Scout Initials (i.e Debbie Kebede -> D.K.),Robot weight (including bumpers),Length *inches*,Width *inches*,Height *inches*,Drive base ,Hopper_length *inches*,Hopper_width *inches*,Hopper_height *inches*,Estimated hopper capacity,Upload robot photo,Turret?,What issues is the robot currently facing?,Battery type,How many batteries do they have?,Electronics quality (1-5),Build quality (1-5),Additional comments (optional)?
3/7/2026 10:03:02,116,AM,125,27.75,27.75,28,Swerve,27,27,28,40,https://drive.google.com/open?id=15cI5g1uE7Y86wbSnZZ_fGD3Bz-Bnu01b,No,"Haven’t finished building, everything tested separately. ",Golf cart,10,4,4,"Haven’t finished building, coming together well tho. No rollers with silicone tape for intake. "
3/7/2026 13:56:37,122,A.Z,108,27.25,27.25,21.5,Swerve,39,27.25,21.5,32,https://drive.google.com/open?id=1SIft6FLyp5fduOfJ7Neys9b6r-AyupJt,Yes,Not the most accurate turret + Climb doesn't work,Motor cycle battery v12,1+1,4,4,"Hopper capacity is 32 balls no inches, also i could get a picture of the robot with intake in the front bc they were working on it"
3/7/2026 11:46:55,449,MY,115,27.5,27.5,22,Swerve,38,27.5,15,45,https://drive.google.com/open?id=1HiPG-cCiibdd6xRuOVEj6hr-Z4clVGRw,No,"Swerve misaligned, logic issue between shooter anndindexer",Duracell,11,4,4,Fire team
3/7/2026 10:11:27,526,AM + CC,117,25,27,25,Swerve,14,26,13,46,"https://drive.google.com/open?id=1y_vU38w2tuBcFDjL5X3qkzApAkXpb_2g, https://drive.google.com/open?id=1wOmK5GmTb5CikphUGq2mxu0OByUb7Lu4",No,N/A,Golf cart,1,4,5,
3/7/2026 11:50:57,539,RY,114,27,25,30,Swerve,29.5,23,15,40,https://drive.google.com/open?id=18TLktuO6sl1TqZTchyE-wjnYJReVPdOP,No,Need to rewire entire robot,Andy Mark 12V,6,4,4,
3/7/2026 11:57:05,611,MY,113,27,27,29.5,Swerve,39,27,25,80,https://drive.google.com/file/d/1NBY-kW0T19MaTQ_qC-C9fRrInZ3Kg852/view,Yes,N/A,Duracell,8,4,4,
3/7/2026 17:14:54,612,A.Z.,91.1,27,27,30,Tank,18,22,25,20,https://drive.google.com/open?id=1tsEq0WYPPplOnoXzRx-q2sWduFjS2rT-,No,Inertia is not always constant,Andymark v12,1,3,4,"Limited hopper capacity and cannot go under the trench, faces severe programming difficulties/short development time. Resembles kitbot."
3/7/2026 10:32:12,620,CC,120,29.5,25,22,Swerve,29.5,22,14,40,https://drive.google.com/open?id=1Y0x6NISQ-GKSfpcTZJV3SnrNdGbTtUeA,No,Hood servo broken,Golf cart,8,3,3,
3/7/2026 10:36:49,1731,AM,130,26,29,19.75,Swerve,22,30,15.5,42,https://drive.google.com/open?id=1_BcGmtlDRgM7_kARn0XCvRLzw9TzSjmN,Yes,N/A,Golf cart,13,4,5,No testing. Capacity is amount of balls
3/7/2026 12:00:54,1793,RY,81,27,27,22,Swerve,18,20,17,5,https://drive.google.com/open?id=1BPPMu3WgBxeMnVkjv47LHeKrp_B8Cp3Y,No,Programming and wheels,Duracell,5,3,4,Only can hold 5 fuel??
3/7/2026 12:05:51,1885,MY,101,26,26,21,Swerve,0,0,0,7,https://drive.google.com/open?id=1CF8ccRsWXkfcA2QEm8qGOZ_bCdhpTzgm ,Yes,Intake ,MK powered,7,4,5,"Full range turret,  no hopper."
3/7/2026 11:01:12,1895,Jd,90,28,28,20,Swerve,26,10,19,23,https://drive.google.com/open?id=1ikVhN_VeGSh35xaEC0kHXxTpDWayjtD0,No,N/A,Regular,6,5,5,
3/7/2026 12:39:27,1908,MY,101,27.5,27.5,21.75,Swerve,27,27,21.75,40,https://drive.google.com/open?id=116XvxawZMUvcs_uZ3nk-TdUgix2Zarsk,Yes,Tuning + limelight detatched,Andymark MkK,7,4,5,Cool turret
3/7/2026 12:13:59,2028,RY,102,27,27,26,Swerve,28,27,20,40,https://drive.google.com/open?id=1zvhnx6ivF8VIstUi3plc0qj5rFYayZXs,No,"Climber hook broke, replacing",OG battery,7,4,4,Triple shooter
3/7/2026 12:35:16,2068,F. L. & V. R.,80,27,27,19,Swerve,26.5,26.5,18,23,https://drive.google.com/open?id=1lnNFoP-7sYg5fH6DELdsWXw2yYtstUUS ,No,N/A,Duracell,6,5,,Hopper capacity unit is in balls
3/7/2026 10:40:41,2186,Adrew + Frank,107,27.5,27,21,Swerve,16,24,17,30,https://drive.google.com/open?id=1UnNOOMBTX4ebdRK0u6DFrYV0t3OSn07B,No,Hopper capacity and intaking issues-too much clearance,Duracell,6+,5,3," More simpler. They're running a slap down intake with a fixed shooter, variable hood. "
3/7/2026 11:11:53,2377,Jd,130,24,24,22,Swerve,9,22,19,24,https://drive.google.com/open?id=1NHCct2PgvrChNSH5PyFHx2e-3-5CIJYS,Yes,N/A,Regular,8,5,5,Hardened steel intake
3/7/2026 12:28:17,2963,F. L. & V. R.,92,29,27.5,30,Swerve,0,0,0,0,https://drive.google.com/open?id=1Gd1K6zV294AByT-hWwbqs0WaFUl-Is3v ,No,"Shooter, Bumper, Inside",MK,2,3,,Add 8 to height and they didn’t know hopper dimens
3/7/2026 13:00:48,2963,MY,98,28,27.5,30,Swerve,20,24,26,10,https://drive.google.com/open?id=1Gd1K6zV294AByT-hWwbqs0WaFUl-Is3v ,No,Swerve issues,MK,2,3,4,
3/7/2026 12:53:44,2988,RY,68,26,26,18,Tank,14,18,13,14,https://drive.google.com/open?id=1cfqXz_kEfVhsiMnPHQMJfOkWyFlVRBEh,No,N/A,Andymark,6,3,3,
3/7/2026 13:15:19,3136,A.M,113,25,26,21,Swerve,17,22,17,35,"https://drive.google.com/open?id=14tAHM8qTsCSpnzyUhsbPS8FevL215OoH , https://drive.google.com/open?id=1IbiyUUFxF7lg7Lmie9vSF5JCYByoG9At ",No,N/A,Duracell,10+,4,5,Special Andymark compliants on the slapdown. Extended hopper using suspended strings; 2.5 shooter variable hood
3/7/2026 10:27:28,4099,Andrew + Frank,115,35,35,21,Swerve,30,24,12,40,https://drive.google.com/open?id=1Enc4FVYGrPYNzPrHTk8-8Xzr_cwwwBNu,No,"N/A, Nothing to note at the moment. ",Duracell MK,10+,5,5,"Embracing the ""do less, do better"""
3/7/2026 12:22:10,4472,A.M,114,28,26,21,Swerve,20,30,14,40,https://drive.google.com/open?id=10LiVZDUZ14-0R9GlK3YfbVWvBh1BKUeb,Yes,N/A,Duracell MK,10+,5,5,"Spindexer, single turret, rack and pinion intake"
3/7/2026 14:53:37,5338,A.Z.,124,27.5,27,21,Swerve,25,27,19,35,https://drive.google.com/open?id=1m1kW3wsnntXB2AFGMCLgolwLrlAaHumZ,No,N/A,12v energizer,1,4,4,
3/7/2026 10:39:53,5353,MC,115,28.5,25,21,Swerve,24,15,15,20,https://drive.google.com/open?id=1I-L5miysh1DCnn5NGLJVHizcin-Y813k,No,N/A,Andy Mark,8,4,4,Looks cool it’s green
3/7/2026 10:43:19,5549,MC,105,27,27,21,Swerve,27,22,16,40,https://drive.google.com/open?id=1phe8zA7miwfIEWQiYlupyCq2cZCP8Uqr,No,N/A,Duracell,8,3,3,Looks kinda weird
3/7/2026 10:47:11,5587,MC,101,27.5,27.5,21.5,Swerve,6,8,13,25,https://drive.google.com/open?id=182AidmPMFvgj5W8KjDfaaCXlb0vUUuJ8,No,Calibratingshooter still,lead iron mk,7,2,2,Shin says that they weird placement of electronics and also Matthew says the build structure is weak
3/7/2026 10:51:13,6882,MC,80,26,26,14,Tank,18,16,9,11,https://drive.google.com/open?id=1ZiCfMjMA46j0LT2i4RgeEBdNkkmSyVgM,No,N/A,Mk ,No,2,3,Modified a bit kitbot dimensions inaccurate
3/7/2026 10:47:28,8230,A.C.,103,27.5,27.5,22,Swerve,26,23,20,40,https://drive.google.com/open?id=1NJEfvuQsVO6Fu67JopRHGPe2JQkYjqea,No,"climb no work(will work eventually), radio problems",lead acid,4,,4,
3/7/2026 17:25:52,8326,A.Z.,111,27,27,29,Swerve,25,27,23,23,https://drive.google.com/open?id=1267V5QuZRYH5DZGQp2UctCArfPeJtJqC,Yes,Intake has trouble ,Andymark v12,1,3,3,
3/7/2026 10:43:27,9403,A.C.,110,27.5,27.5,22,Swerve,27,30,15,15,https://drive.google.com/open?id=15J4U3c2aQahug_kfedY7akfiHFqL6mLA,Yes,"intake spir balls back out, active mode currently not working",interstate batteries (kitbot),4,,3,
3/7/2026 13:45:00,10449,A.Z.,55,22,22,22,Swerve,18,18,14,8,https://drive.google.com/open?id=1WraLhaZj6EKbksbh8BFkTuIM5VH-KSB4,No,"Yes, model drive issues",12v,1,2,2,All of the dimensions are wrong person i spoke to had no information 
3/7/2026 17:58:50,9072,A.Z.,113,23,31,22,Swerve,25,21,12,45,https://drive.google.com/open?id=1eLq5lhAdKJOuqdjBt_FeURyTGkhoDXER,Yes,N/A,Andymark v12,1,5,5,"The hopper length and width and are correct, i do not have a picture of the robot so it’s not the right picture, this teams main goal is to dominate the alliance zone not often exploring the neutral zone it excels in unloading mass amounts of balls during active period with double turret allowing it to move and shoot. This robot moves a lot in the alliance zone and is very high accuracy being quick to intake, index and shoot. Very strong choice and compatible with our robot."
