"","event","EPA_mse","key","pct_imp","lambda_opt","pridge_mse","rows"
"1","2015arfa",3917.40213555556,"2015arfa",9.03294072480839,2.32232232232232,931.894862103845,1
"2","2015ausy",3914.82669090909,"2015ausy",3.52431647632785,1.28128128128128,387.385857047652,2
"3","2015azch",3272.37419878049,"2015azch",7.04083296827487,2.9029029029029,731.678699235429,3
"4","2015azpx",2885.80736216216,"2015azpx",3.62686841796291,1.68168168168168,815.032592545872,4
"5","2015calb",4036.76353737374,"2015calb",8.39468547798345,1.58158158158158,614.418447506823,5
"6","2015cama",4281.2811554878,"2015cama",7.38147023764238,1.84184184184184,712.993604511757,6
"7","2015carm",4904.17420526316,"2015carm",5.45193294409445,2.06206206206206,698.167224363001,7
"8","2015casa",3296.76448586957,"2015casa",6.59864395395149,1.68168168168168,995.071369420987,8
"9","2015casd",2874.09210979381,"2015casd",7.75323725274891,2.04204204204204,744.928094280249,9
"10","2015casj",3198.45099473684,"2015casj",6.50996785918019,1.58158158158158,1000.90772540109,10
"11","2015cave",2534.56658780488,"2015cave",8.23485738562382,3.66366366366366,941.354981845899,11
"12","2015code",2077.85741411765,"2015code",11.4449741556927,3.66366366366366,1026.45326254772,12
"13","2015cthar",1545.24469125,"2015cthar",11.6391038658547,6.86686686686687,1071.45590716382,13
"14","2015ctwat",5487.35826323529,"2015ctwat",6.70796730459683,2.68268268268268,962.777540737324,14
"15","2015dcwa",3343.10491988636,"2015dcwa",5.75292658780782,1.76176176176176,575.116831153339,15
"16","2015flfo",4085.69647142857,"2015flfo",8.83591726025237,2.34234234234234,773.587516680095,16
"17","2015flor",3014.14087990654,"2015flor",12.147651932092,3.66366366366366,1070.76203357053,17
"18","2015gadu",3560.01619659091,"2015gadu",13.2542406655187,2.06206206206206,918.806380318333,18
"19","2015gape",5027.85405194805,"2015gape",6.68005316861007,2.08208208208208,733.199509649535,19
"20","2015hiho",2109.67245277778,"2015hiho",6.77889690456699,2.96296296296296,854.947879215399,20
"21","2015ilch",2554.09960674157,"2015ilch",6.1308981361143,1.52152152152152,734.431909126365,21
"22","2015ilil",2438.39496153846,"2015ilil",6.16661717170537,2.64264264264264,996.932504085419,22
"23","2015inind",5000.46860147059,"2015inind",6.74350658400553,2.66266266266266,866.056308775911,23
"24","2015inkok",2884.1484109375,"2015inkok",5.2570217989926,2.14214214214214,772.646365809999,24
"25","2015inwla",2224.89576410256,"2015inwla",6.70118962392303,3.04304304304304,924.629493884376,25
"26","2015ista",3079.66759565217,"2015ista",9.5567465892001,2.62262262262262,849.956445588344,26
"27","2015lake",4006.06109550562,"2015lake",13.2160365844255,2.92292292292292,1141.17846464786,27
"28","2015mabos",1966.71386375,"2015mabos",8.10709095180916,3.76376376376376,979.270632403485,28
"29","2015manda",2402.80688703704,"2015manda",5.0073798897837,2.002002002002,762.565968738638,29
"30","2015marea",3635.679945,"2015marea",5.6308952951999,2.14214214214214,536.755051027768,30
"31","2015maspr",3164.42991363636,"2015maspr",9.39356010844932,4.18418418418418,907.516232325933,31
"32","2015mdcp",3703.27947643678,"2015mdcp",8.14698956340663,1.56156156156156,718.278916816605,32
"33","2015melew",2987.85775645161,"2015melew",10.7724176038137,4.7047047047047,915.56145403335,33
"34","2015mibed",2001.584215,"2015mibed",7.20588966735605,3.26326326326326,1143.29926568627,34
"35","2015micen",3974.88658,"2015micen",5.55072015092157,2.12212212212212,630.164350708887,35
"36","2015miesc",1991.25815,"2015miesc",12.9134622448398,7.28728728728729,1202.83782222684,36
"37","2015mifla",4472.51910897436,"2015mifla",4.29874285023392,1.6016016016016,660.699840560613,37
"38","2015migul",4106.6996725,"2015migul",5.87240691472019,2.3023023023023,665.23639733217,38
"39","2015mihow",5047.48687125,"2015mihow",6.16230987450516,2.4024024024024,805.471779161233,39
"40","2015miken",4439.48861125,"2015miken",7.15903456034494,2.9029029029029,875.786238695252,40
"41","2015miket",4663.67909390244,"2015miket",5.8397883792652,2.22222222222222,671.27212671777,41
"42","2015milan",2919.786105,"2015milan",6.90028823505987,2.92292292292292,922.214363286019,42
"43","2015miliv",2438.67553875,"2015miliv",7.08765975190902,3.24324324324324,1059.16504471234,43
"44","2015mimid",2304.74943125,"2015mimid",6.00037394461259,2.58258258258258,809.615474847422,44
"45","2015misjo",1521.2594425,"2015misjo",12.2995036637731,7.32732732732733,989.76655285752,45
"46","2015misou",6031.06816710526,"2015misou",4.21594216304043,1.5015015015015,493.121883972592,46
"47","2015mista",4416.41103375,"2015mista",6.85954417008885,2.72272272272272,782.859260353444,47
"48","2015mitry",2742.8200597561,"2015mitry",6.63234739956122,2.76276276276276,794.53892293258,48
"49","2015mitvc",3204.3927725,"2015mitvc",7.99455198196017,3.34334334334334,722.887201157872,49
"50","2015miwat",3947.97602051282,"2015miwat",8.70833627759973,3.74374374374374,1016.05076431794,50
"51","2015miwmi",1709.15875,"2015miwmi",11.8659005282583,6.68668668668669,1060.09738415663,51
"52","2015mndu",4283.48269052632,"2015mndu",12.9142811943665,2.54254254254254,795.254529824856,52
"53","2015mndu2",3296.71144111111,"2015mndu2",13.2465755061472,2.8028028028028,843.657904589624,53
"54","2015mnmi",3209.8945,"2015mnmi",12.5367483431827,2.86286286286286,1087.24807046041,54
"55","2015mnmi2",3753.120028,"2015mnmi2",7.05376307413161,1.72172172172172,795.058365209528,55
"56","2015mokc",4073.10421111111,"2015mokc",7.73985337771315,1.9019019019019,747.0269985661,56
"57","2015mosl",2611.569,"2015mosl",7.34627770488517,3.24324324324324,1063.07121320552,57
"58","2015mxmc",3375.52278611111,"2015mxmc",6.61079749516818,2.06206206206206,450.493234005989,58
"59","2015ncre",4140.44915,"2015ncre",7.52975823851255,1.8018018018018,525.965186059244,59
"60","2015nhdur",1857.57096875,"2015nhdur",8.18381505783195,3.8038038038038,869.366252065056,60
"61","2015nhnas",4073.12729,"2015nhnas",6.38110462356841,2.54254254254254,756.810172487988,61
"62","2015njbri",2556.89683552632,"2015njbri",6.88028413800419,2.9029029029029,891.985642360003,62
"63","2015njfla",4801.14553684211,"2015njfla",6.48671530272244,2.5025025025025,728.080803690771,63
"64","2015njnbr",2106.97226470588,"2015njnbr",7.90930443503903,3.72372372372372,972.343694255747,64
"65","2015njtab",2803.33528108108,"2015njtab",6.19027617003317,2.64264264264264,968.961015489651,65
"66","2015nvlv",2624.49536904762,"2015nvlv",5.44679981733,2.28228228228228,933.366239010473,66
"67","2015nyli",3244.53435649351,"2015nyli",7.37195545143571,1.44144144144144,857.910372124584,67
"68","2015nyny",4687.22283181818,"2015nyny",11.0757875859522,1.44144144144144,567.749297820673,68
"69","2015nyro",2149.24108433735,"2015nyro",11.2567079775051,4.64464464464464,1157.10797824627,69
"70","2015nytr",2980.80581805556,"2015nytr",7.24309930250477,3.18318318318318,1051.3301690883,70
"71","2015ohci",2250.62378793103,"2015ohci",12.4907511086494,5.84584584584585,1255.47442299573,71
"72","2015ohcl",3258.73836071429,"2015ohcl",11.888591737212,2.58258258258258,980.77025388242,72
"73","2015okok",3731.60325217391,"2015okok",10.0768995113353,2.08208208208208,892.685155724534,73
"74","2015onnb",2917.1811969697,"2015onnb",6.93391083861635,2.32232232232232,850.503669764377,74
"75","2015onto",4683.05392468355,"2015onto",6.63336066587639,1.64164164164164,590.687566673339,75
"76","2015onto2",4246.38526714286,"2015onto2",5.55606049721546,1.32132132132132,680.980305564756,76
"77","2015onwa",2925.48560230769,"2015onwa",3.48911682959289,1.62162162162162,1050.34626944528,77
"78","2015onwi",2566.3723725,"2015onwi",8.68034185085592,2.54254254254254,1188.10190531846,78
"79","2015orore",4538.7911921875,"2015orore",4.79010234946109,1.84184184184184,653.78079112635,79
"80","2015orphi",2346.70121774194,"2015orphi",7.8699343013168,3.48348348348348,1004.15419597487,80
"81","2015orwil",3515.6984,"2015orwil",5.19467427114645,2.02202202202202,550.349133248896,81
"82","2015padre",1787.42494428571,"2015padre",7.41942681196761,3.38338338338338,868.97701070109,82
"83","2015pahat",5331.93794054054,"2015pahat",6.79197179897716,2.72272272272272,1009.47970689766,83
"84","2015paphi",3972.8993,"2015paphi",6.87378521022103,2.82282282282282,828.968935982123,84
"85","2015papi",4729.0770654321,"2015papi",11.1684369779363,2.24224224224224,857.548272924646,85
"86","2015qcmo",3447.06040189873,"2015qcmo",9.18940203954843,2.44244244244244,785.064144084352,86
"87","2015rismi",1753.33203589744,"2015rismi",9.2091592750942,4.48448448448448,812.829360925684,87
"88","2015scmb",4246.87365353535,"2015scmb",8.83593540179,1.56156156156156,551.355105907368,88
"89","2015tnkn",2836.13700941176,"2015tnkn",5.65865617390961,1.36136136136136,649.733793139435,89
"90","2015txda",4724.778995,"2015txda",9.83371854004095,2.52252252252252,982.013969494994,90
"91","2015txho",2573.74944759036,"2015txho",7.28939279308408,1.44144144144144,945.613376790209,91
"92","2015txlu",2316.83077272727,"2015txlu",8.96616674775743,4.24424424424424,1007.29768303181,92
"93","2015txsa",3778.59227944444,"2015txsa",9.96111904343432,1.92192192192192,648.670068374303,93
"94","2015utwv",2614.25265449438,"2015utwv",10.5812167157025,3.04304304304304,951.33487092323,94
"95","2015vari",3954.52777093023,"2015vari",12.6241688843736,1.88188188188188,668.400565890181,95
"96","2015waahs",2558.14592666667,"2015waahs",4.65827632934231,1.82182182182182,570.017541003639,96
"97","2015waamv",4080.99385,"2015waamv",7.30992967703826,2.94294294294294,727.760901934704,97
"98","2015waell",1945.13707272727,"2015waell",5.89969971268254,2.48248248248248,712.10857563081,98
"99","2015wamou",2459.29655333333,"2015wamou",7.11475851884958,3.08308308308308,864.910409272114,99
"100","2015washo",2267.5583171875,"2015washo",7.07622745592136,3.08308308308308,779.131458330842,100
"101","2015wasno",3840.98425454545,"2015wasno",7.52232694962927,3.12312312312312,777.403768859388,101
"102","2015waspo",5267.5718375,"2015waspo",4.5322408862146,1.58158158158158,521.585926305238,102
"103","2015wimi",3069.52622722222,"2015wimi",10.6397386387445,2.18218218218218,776.168964285061,103
"104","2016abca",341.725828030303,"2016abca",9.25540909677511,3.54354354354354,257.408141426532,104
"105","2016alhu",304.417051176471,"2016alhu",16.8289040971647,6.88688688688689,278.172466162533,105
"106","2016arlr",300.136669565217,"2016arlr",11.9660120155168,2.36236236236236,255.946667729517,106
"107","2016ausy",260.440641666667,"2016ausy",13.6966129515116,4.86486486486486,222.606966179508,107
"108","2016azfl",288.118843678161,"2016azfl",17.8738835569801,8.04804804804805,278.3205717154,108
"109","2016azpx",376.814264534884,"2016azpx",9.71802819128527,4.74474474474474,330.512822140097,109
"110","2016cada",414.00034125,"2016cada",14.4295141101676,2.84284284284284,322.683150269105,110
"111","2016calb",314.653038068182,"2016calb",27.0857099143081,8.50850850850851,304.976408620675,111
"112","2016cama",341.533005487805,"2016cama",15.1760445833324,6.32632632632633,325.87088120784,112
"113","2016capl",374.773013690476,"2016capl",6.50582774097459,2.8028028028028,280.767726215119,113
"114","2016casd",348.611065,"2016casd",12.893594300347,3.12312312312312,281.808423088139,114
"115","2016casj",313.03515872093,"2016casj",26.3192823723858,8.32832832832833,288.945672211086,115
"116","2016cave",298.299898809524,"2016cave",5.9503206518186,2.46246246246246,202.020763994742,116
"117","2016code",363.588239204546,"2016code",10.3819897183336,4.34434434434434,298.042488706403,117
"118","2016cthar",289.5200525,"2016cthar",7.5615663844637,3.38338338338338,199.589148746134,118
"119","2016ctwat",278.195282894737,"2016ctwat",12.9489658372293,9.94994994994995,259.171287279868,119
"120","2016flor",317.868538421053,"2016flor",24.3554792134934,10.1901901901902,307.988296351688,120
"121","2016flwp",311.282980555556,"2016flwp",18.7768378953794,6.24624624624625,263.619030066642,121
"122","2016gaalb",340.142845,"2016gaalb",6.18461886627174,2.56256256256256,217.467242138256,122
"123","2016gacol",317.044273125,"2016gacol",10.8595830547607,5.90590590590591,282.323058456003,123
"124","2016gadal",305.954574074074,"2016gadal",7.7248569186581,3.64364364364364,251.242886599759,124
"125","2016gaken",287.368605714286,"2016gaken",11.0599785929679,6.20620620620621,251.577817186339,125
"126","2016hiho",291.799402631579,"2016hiho",10.6152350327678,5.88588588588589,283.373573616016,126
"127","2016iacf",374.765234269663,"2016iacf",9.43218864816251,2.7027027027027,276.6270162494,127
"128","2016idbo",293.732885833333,"2016idbo",8.21094248956545,3.74374374374374,221.664866875217,128
"129","2016ilch",361.876540804598,"2016ilch",9.76273789492635,2.84284284284284,251.625930891403,129
"130","2016ilpe",325.771655223881,"2016ilpe",12.4017075406176,4.28428428428428,292.347879190588,130
"131","2016inpmh",329.498806060606,"2016inpmh",8.63097113579101,4.02402402402402,231.64676660895,131
"132","2016inwch",300.771024305556,"2016inwch",9.02830269232415,4.38438438438438,233.080039093726,132
