"","key","pct_imp","lambda_opt","address","city","country","end_date","event_code","event_type","event_type_string","first_event_code","first_event_id","gmaps_place_id","gmaps_url","lat","lng","location_name","name","parent_event_key","playoff_type","playoff_type_string","postal_code","short_name","start_date","state_prov","timezone","website","week","year","abbreviation","display_name","key2","pridge_mse"
"1","2015arfa",9.03294072480839,2.32232232232232,"Arkansas State Fairgrounds - Barton Coliseum
2600 Howard Street
Little Rock, AR 72206
USA","Little Rock","USA","2015-03-07","arfa",0,"Regional","arfa",13445,NA,NA,NA,NA,"Arkansas State Fairgrounds - Barton Coliseum","Arkansas Rock City Regional",NA,3,"Average Score (8 Alliances)","72206","Arkansas Rock City","2015-03-04","AR","America/Chicago","http://arfirst.org ",1,2015,NA,NA,NA,931.894862103845
"2","2015ausy",3.52431647632785,1.28128128128128,"Sydney Olympic Park Sports Centre
Olympic Boulevard
Sydney Olympic Park, NSW 2127
Australia","Sydney Olympic Park","Australia","2015-03-14","ausy",0,"Regional","ausy",15275,NA,NA,NA,NA,"Sydney Olympic Park Sports Centre","Australia Regional",NA,3,"Average Score (8 Alliances)","2127","Australia","2015-03-11","NSW","Australia/Sydney",NA,2,2015,NA,NA,NA,387.385857047652
"3","2015azch",7.04083296827487,2.9029029029029,"Hamilton High School
3700 S. Arizona Avenue
Chandler, AZ 85248
USA","Chandler","USA","2015-03-21","azch",0,"Regional","azch",13313,NA,NA,NA,NA,"Hamilton High School","Arizona East Regional",NA,3,"Average Score (8 Alliances)","85248","Arizona East","2015-03-18","AZ","America/Phoenix","http://www.azfirst.org/",3,2015,NA,NA,NA,731.678699235429
"4","2015azpx",3.62686841796291,1.68168168168168,"Grand Canyon University Arena
3300 W. Camelback Road
Phoenix, AZ 85017
USA","Phoenix","USA","2015-04-04","azpx",0,"Regional","azpx",15087,NA,NA,NA,NA,"Grand Canyon University Arena","Arizona West Regional",NA,3,"Average Score (8 Alliances)","85017","Arizona West","2015-04-01","AZ","America/Phoenix","http://www.azfirst.org/",5,2015,NA,NA,NA,815.032592545872
"5","2015calb",8.39468547798345,1.58158158158158,"Long Beach Arena
300 East Ocean Blvd
Long Beach, CA 90802
USA","Long Beach","USA","2015-03-14","calb",0,"Regional","calb",13323,NA,NA,NA,NA,"Long Beach Arena","Los Angeles Regional sponsored by The Roddenberry Foundation",NA,3,"Average Score (8 Alliances)","90802","Los Angeles","2015-03-11","CA","America/Los_Angeles","http://www.firstlaregional.com",2,2015,NA,NA,NA,614.418447506823
"6","2015cama",7.38147023764238,1.84184184184184,"Madera South High School
705 W. Pecan Avenue
Madera, CA 93637
USA","Madera","USA","2015-03-08","cama",0,"Regional","cama",13419,NA,NA,NA,NA,"Madera South High School","Central Valley Regional",NA,3,"Average Score (8 Alliances)","93637","Central Valley","2015-03-05","CA","America/Los_Angeles","http://www.cvrobotics.org/frc/regional.html",1,2015,NA,NA,NA,712.993604511757
"7","2015carm",5.45193294409445,2.06206206206206,"Rancho Mirage High School
31001 Rattler Road
Rancho Mirage, CA 92270
USA","Rancho Mirage","USA","2015-03-01","carm",0,"Regional","carm",13441,NA,NA,NA,NA,"Rancho Mirage High School","Inland Empire Regional",NA,3,"Average Score (8 Alliances)","92270","Inland Empire","2015-02-26","CA","America/Los_Angeles","http://ieregional.com/",0,2015,NA,NA,NA,698.167224363001
"8","2015casa",6.59864395395149,1.68168168168168,"UC Davis ARC Pavilion
Corner of Orchard and LaRue
Davis, CA 95616
USA","Davis","USA","2015-03-21","casa",0,"Regional","casa",13357,NA,NA,NA,NA,"UC Davis ARC Pavilion","Sacramento Regional",NA,3,"Average Score (8 Alliances)","95616","Sacramento","2015-03-18","CA","America/Los_Angeles","http://www.firstsac.org",3,2015,NA,NA,NA,995.071369420987
"9","2015casd",7.75323725274891,2.04204204204204,"Valley View Casino Center
3500 Sports Arena Blvd
San Diego, CA 92110
USA","San Diego","USA","2015-04-04","casd",0,"Regional","casd",13351,NA,NA,NA,NA,"Valley View Casino Center","San Diego Regional",NA,3,"Average Score (8 Alliances)","92110","San Diego","2015-04-01","CA","America/Los_Angeles","http://sandiegoregional.com/",5,2015,NA,NA,NA,744.928094280249
"10","2015casj",6.50996785918019,1.58158158158158,"San Jose State University - The Event Center
One Washington Square
San Jose, CA 95112
USA","San Jose","USA","2015-04-04","casj",0,"Regional","casj",13343,NA,NA,NA,NA,"San Jose State University - The Event Center","Silicon Valley Regional sponsored by Google.org",NA,3,"Average Score (8 Alliances)","95112","Silicon Valley","2015-04-01","CA","America/Los_Angeles","http://www.firstsv.org",5,2015,NA,NA,NA,1000.90772540109
"11","2015cave",8.23485738562382,3.66366366366366,"Ventura College
4667 Telegraph Road
Ventura, CA 93003
USA","Ventura","USA","2015-03-29","cave",0,"Regional","cave",15211,NA,NA,NA,NA,"Ventura College","Ventura Regional",NA,3,"Average Score (8 Alliances)","93003","Ventura","2015-03-26","CA","America/Los_Angeles",NA,4,2015,NA,NA,NA,941.354981845899
"12","2015code",11.4449741556927,3.66366366366366,"University of Denver - Daniel L. Ritchie Center
2201 East Asbury Ave
Denver, CO 80210
USA","Denver","USA","2015-03-28","code",0,"Regional","code",13355,NA,NA,NA,NA,"University of Denver - Daniel L. Ritchie Center","Colorado Regional",NA,3,"Average Score (8 Alliances)","80210","Colorado","2015-03-25","CO","America/Denver","http://www.coloradofirst.org/",4,2015,NA,NA,NA,1026.45326254772
