scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
KO,1,B1,539,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
SBS,1,R2,10449,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,Not here :(
CC,1,R3,1885,C,3,FALSE,FALSE,10,1,0,0,6,No,FALSE,2,4,NA,Yellow,NA
AM,1,R1,2186,F,NA,FALSE,FALSE,0,2,0,0,0,No,FALSE,1245,2,NA,No Card,NA
MC,1,B3,122,M,NA,FALSE,FALSE,0,0,3,1,0,No,FALSE,54,4,NA,No Card,Pure Defense all the time
CR,1,B2,6882,C,NA,FALSE,FALSE,0,2,0,1,3,No,FALSE,6,3,NA,No Card,NA
AM,2,R1,4099,F,NA,FALSE,FALSE,10,4,0,0,8,No,FALSE,6,3,NA,No Card,NA
CC,2,R3,9403,C,NA,FALSE,FALSE,0,0,0,0,4,No,FALSE,NA,1,NA,No Card,NA
KO,2,B1,2028,M,2,FALSE,FALSE,0,0,6,1,3,No,FALSE,6,3,NA,No Card,"attempted auto climb, did not climb fully, got stuck on bump"
SBS,2,R2,3258,M,NA,FALSE,FALSE,0,0,6,2,9,No,FALSE,16,3,NA,No Card,NA
CR,2,B2,8326,F,NA,FALSE,FALSE,0,0,2,0,0,No,FALSE,NA,1,NA,No Card,NA
MC,2,B3,8230,C,NA,FALSE,FALSE,2,4,0,1,3,No,FALSE,54,1,NA,No Card,NA
AM,3,R1,449,C,NA,FALSE,FALSE,0,1,0,0,0,No,FALSE,2,2,NA,No Card,Something wrong with swerve
CR,3,B2,116,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
KO,3,B1,526,F,3,FALSE,FALSE,3,4,2,0,0,No,FALSE,2,3,NA,No Card,"Slow shooter, hopper broke midway"
MC,3,B3,4472,M,2,FALSE,FALSE,0,3,0,3,0,No,FALSE,65,4,NA,No Card,Pretty good shooter bot
SBS,3,R2,2988,M,NA,FALSE,FALSE,4,0,4,0,4,No,FALSE,NA,1,NA,No Card,Beached for most of match; took teammates forever to free them
MH,3,R3,4472,M,NA,FALSE,FALSE,3,3,0,1,8,No,FALSE,6,3,NA,No Card,"slow movement, turret not very accurate"
AM,4,R1,1895,M,NA,FALSE,FALSE,0,0,1,1,0,No,FALSE,21,5,NA,No Card,Passive (played in neutral)
CC,4,R3,3136,F,3,FALSE,FALSE,10,3,0,5,0,No,FALSE,26,4,NA,No Card,NA
CR,4,B2,5587,C,NA,FALSE,FALSE,3,1,0,0,0,No,TRUE,NA,5,1,No Card,NA
KO,4,B1,612,M,2,FALSE,FALSE,2,0,2,0,1,No,FALSE,NA,2,NA,No Card,"Beached 10s into teleop, revived by 5587 during endgame; they have turret"
MC,4,B3,2363,F,3,FALSE,FALSE,20,0,0,0,0,No,FALSE,NA,1,1,No Card,Died :(
SBS,4,R2,2890,C,2,FALSE,FALSE,6,0,1,0,2,L1,FALSE,NA,1,NA,No Card,Did41391t do anything for ages just sitting at climb till endgame
CR,5,B2,1908,F,3,FALSE,FALSE,5,4,0,1,5,L1,FALSE,124,4,NA,No Card,NA
CC,5,R3,4638,M,NA,FALSE,FALSE,2,2,0,0,0,No,FALSE,NA,1,1,No Card,NA
AM,5,R1,9072,F,3,FALSE,FALSE,20,4,0,2,8,No,FALSE,12,5,NA,No Card,"Really good auto, double turret."
KO,5,B1,5549,C,3,FALSE,FALSE,3,5,0,1,8,No,FALSE,625,3,NA,No Card,"Beached, saved by 1908 early-mid teleop"
SBS,5,R2,5338,C,3,FALSE,FALSE,5,2,0,1,6,No,FALSE,26,2,NA,No Card,NA
MC,5,B3,5353,M,2,FALSE,FALSE,9,0,4,3,3,No,FALSE,5,3,NA,No Card,NA
CR,6,B2,1731,F,32,FALSE,FALSE,0,1,0,5,5,No,FALSE,NA,5,NA,No Card,NA
AM,6,R1,2534,F,NA,FALSE,FALSE,0,5,0,0,3,No,FALSE,125,3,NA,No Card,NA
CC,6,R3,1793,C,NA,FALSE,FALSE,10,0,0,0,0,No,FALSE,NA,1,1,No Card,NA
MC,6,B3,2963,C,NA,FALSE,FALSE,7,0,1,5,4,No,FALSE,56,3,NA,No Card,Got stuck on bump
SBS,6,R2,2377,M,1,FALSE,FALSE,5,2,0,1,4,No,FALSE,2,3,NA,No Card,NA
BP,6,B1,5243,M,NA,FALSE,FALSE,0,6,0,0,1,F,FALSE,5,2,NA,No Card,Struggling to intake and shoot. Kept going to NZ but not being able to get balls
CC,7,R3,2028,C,2,FALSE,FALSE,1,0,2,1,5,No,FALSE,12,3,NA,No Card,NA
CR,7,B2,620,M,NA,TRUE,FALSE,0,0,2,0,0,No,FALSE,52,5,NA,No Card,NA
AM,7,R1,3359,M,NA,FALSE,FALSE,0,0,1,0,0,No,FALSE,5,1,NA,No Card,Nonexistent hopper.
SBS,7,R2,611,F,3,TRUE,FALSE,0,0,3,0,3,No,FALSE,5,4,NA,No Card,Weird jittery movement then gave up on pieces for defense
BH,7,B3,10449,C,NA,FALSE,FALSE,2,1,0,1,0,No,FALSE,NA,2,NA,No Card,NA
BP,7,B1,3373,F,NA,FALSE,FALSE,0,0,4,1,7,No,FALSE,6,3,NA,No Card,"Low shot angle, many balls bounced off"
AM,8,R1,2363,F,3,FALSE,FALSE,0,0,0,7,5,No,FALSE,26,5,NA,No Card,Small hopper
CR,8,B2,2988,F,NA,FALSE,FALSE,0,1,0,1,0,No,FALSE,NA,3,NA,No Card,NA
CC,8,R3,2068,M,NA,FALSE,FALSE,4,1,0,0,0,No,FALSE,NA,1,1,No Card,NA
SBS,8,R2,1885,C,3,FALSE,FALSE,2,0,0,0,0,No,FALSE,NA,1,1,No Card,Died really early in NZ
BH,8,B3,612,M,3,FALSE,FALSE,0,0,2,0,2,No,FALSE,NA,1,NA,No Card,Beached on balls after going over bump shooting extremely inconsistent intake very slow.
BP,8,B1,4099,C,NA,TRUE,FALSE,10,6,0,2,8,F,FALSE,6,1,NA,No Card,Good shooting
CC,9,R3,1908,C,3,FALSE,FALSE,13,6,2,4,2,No,FALSE,NA,5,NA,Yellow,NA
AM,9,R1,6882,M,NA,FALSE,FALSE,2,0,3,1,0,No,FALSE,6,3,NA,No Card,Got stuck on bump
CR,9,B2,122,C,NA,FALSE,FALSE,5,0,2,1,0,No,FALSE,16,3,1,No Card,NA
BH,9,B3,3258,M,3,FALSE,FALSE,0,0,3,2,0,No,FALSE,NA,3,NA,No Card,Temp beached on third go around
BP,9,B1,116,F,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
SBS,9,R2,9403,F,NA,FALSE,FALSE,0,4,0,0,3,No,FALSE,NA,1,NA,No Card,Intake broke
AM,10,R1,9072,F,NA,FALSE,FALSE,0,8,1,3,7,No,FALSE,126,5,NA,No Card,Double turret unreliable sometimes.
CR,10,B2,8326,M,NA,FALSE,FALSE,5,0,2,0,1,No,FALSE,1,3,NA,No Card,NA
CC,10,R3,2186,C,NA,FALSE,FALSE,2,0,0,0,1,No,FALSE,2,1,NA,No Card,NA
BH,10,B3,2890,F,3,FALSE,FALSE,2,0,0,0,0,No,FALSE,NA,1,NA,No Card,Did41391t really do much
BP,10,B1,4638,C,1,FALSE,TRUE,0,4,1,0,1,F,FALSE,45,3,NA,No Card,Shooter fell off but pretty good defense
SBS,10,R2,5243,M,NA,FALSE,FALSE,0,1,1,1,6,L1,FALSE,2,2,NA,No Card,Auto spin :)
AM,11,R1,1895,M,NA,FALSE,FALSE,0,9,0,3,5,No,FALSE,26,5,NA,No Card,NA
CR,11,B2,620,M,NA,FALSE,FALSE,5,5,0,0,0,No,FALSE,25,4,NA,No Card,NA
CC,11,R3,3373,C,NA,FALSE,FALSE,0,0,0,0,7,No,FALSE,2,1,NA,No Card,NA
BH,11,B3,526,F,3,FALSE,FALSE,3,4,0,2,0,No,FALSE,NA,4,NA,No Card,VERY consistent shooting though rather slow
MH,11,R2,2963,F,NA,FALSE,FALSE,0,2,1,0,5,No,FALSE,12,2,NA,No Card,"didn?t really know where they were going, really struggled crossing the bump and got caught on the depot metal, hole in the bumper intake and shooter perpetually on???"
BP,11,B1,1793,C,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,1,No Card,Died at the start. Appeared to be trying to move slightly but didn't work
AM,12,R1,5353,F,NA,FALSE,FALSE,10,7,1,5,8,No,FALSE,26,4,NA,No Card,Smallish hopper
CC,12,R3,5353,F,NA,FALSE,FALSE,0,4,0,2,9,No,FALSE,2,4,NA,No Card,NA
BP,12,B3,3359,F,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
CR,12,B2,2534,C,NA,FALSE,FALSE,0,3,0,0,2,No,FALSE,2,4,NA,No Card,Intake barely remained functional
BP,12,B1,8230,M,NA,FALSE,FALSE,1,0,13,0,5,No,FALSE,46,3,NA,No Card,NA
HR,12,R2,539,M,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,"Their shooter or intake was. Probably malfunctioning, they did not leave alliance zone or shot on target"
KO,13,B3,5549,C,3,FALSE,FALSE,6,8,0,0,0,No,FALSE,6,3,NA,No Card,"Played defense most of the match, foul?"
CC,13,R3,4472,M,NA,FALSE,FALSE,3,1,0,3,0,No,FALSE,2,3,NA,No Card,NA
AM,13,R1,449,C,NA,FALSE,FALSE,0,8,0,1,4,No,FALSE,54126,5,NA,No Card,NA
CR,13,B2,1731,F,3,FALSE,FALSE,0,6,0,6,0,No,FALSE,612,5,NA,No Card,NA
HR,13,R2,3136,F,3,FALSE,FALSE,10,5,0,3,8,No,FALSE,16,4,NA,No Card,NA
BP,13,B1,611,M,1,FALSE,FALSE,0,0,5,0,4,No,FALSE,56,2,NA,No Card,NA
AM,14,R1,2988,M,NA,FALSE,FALSE,7,8,0,1,3,No,FALSE,162,3,NA,No Card,No accuracy
MY,14,R3,4638,C,2,FALSE,FALSE,0,8,2,0,0,No,FALSE,142,3,NA,No Card,"Liked I taking to hp, no shooting"
CR,14,B2,5338,F,3,FALSE,FALSE,3,4,0,2,3,No,FALSE,26,4,NA,No Card,Hopper flexed
NS,14,B3,2028,C,NA,FALSE,FALSE,0,0,6,0,0,L1,TRUE,12,3,NA,No Card,Got stuck on? bump mimentariky
BP,14,B1,10449,M,NA,FALSE,FALSE,0,4,0,0,1,No,FALSE,5,2,NA,No Card,Was41391t shooting
RY,14,R2,2377,F,NA,FALSE,FALSE,4,1,2,2,3,No,FALSE,16,3,NA,No Card,Had some problems with turret shooting
CR,15,B2,2363,C,3,FALSE,FALSE,0,4,0,5,0,No,FALSE,26,5,NA,No Card,NA
MY,15,R3,2068,M,NA,FALSE,FALSE,4,7,0,1,0,No,FALSE,6,4,NA,No Card,Indexer/shooting issues
NS,15,B3,9403,F,NA,FALSE,FALSE,2,1,0,0,0,No,FALSE,2,2,NA,No Card,"Tried to go under trench, too tall. Hopper cover fell off"
AM,15,R1,1793,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
BP,15,B1,620,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
RY,15,R2,2186,F,NA,FALSE,FALSE,0,4,0,0,5,No,FALSE,6,2,NA,No Card,"Weak hopper, wobbling the entire time, unable to contain more than like seven fuel"
NS,16,B3,9072,C,3,FALSE,FALSE,13,6,2,4,4,No,FALSE,NA,5,1,No Card,Died at end.
CR,16,B2,2534,M,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,3,1,No Card,NA
MY,16,R3,122,M,NA,FALSE,FALSE,0,0,13,2,3,No,FALSE,346,4,NA,No Card,Loved the bump
RY,16,R2,526,F,3,FALSE,FALSE,1,5,0,2,0,No,FALSE,6,3,NA,No Card,Has to shift back and forth to shoot or else balls wo41391t reach shooter.
BP,16,B1,2890,F,NA,FALSE,FALSE,0,0,3,1,3,L1,FALSE,26,3,NA,No Card,Tried to trench but was too tall
AM,16,R1,3359,NA,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
AM,17,R1,3258,F,NA,FALSE,FALSE,10,0,6,2,0,No,FALSE,16,4,NA,No Card,NA
BP2,17,R3,612,M,3,FALSE,FALSE,1,0,4,1,7,No,FALSE,1,2,NA,No Card,NA
FL,17,B3,2963,C,NA,FALSE,FALSE,0,0,2,1,0,No,FALSE,1,1,NA,No Card,Got beached twice. Could41391t intake anything
RY,17,R2,1908,C,3,FALSE,FALSE,3,4,3,3,8,No,FALSE,64,3,NA,No Card,Shot A LOT and greened a good amount
MF,17,B1,539,M,NA,FALSE,FALSE,0,0,2,1,0,No,FALSE,6,1,NA,No Card,Kept on ramming into the wall and trench
CC,17,B2,3136,F,2,FALSE,FALSE,6,6,0,4,0,No,FALSE,2,3,NA,No Card,NA
BP2,18,R3,5243,C,NA,FALSE,FALSE,9,6,0,2,8,No,FALSE,6,3,NA,No Card,"Tiny intake, moves rlly slow"
RY,18,R2,116,F,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,NA
CC,18,B2,8230,F,NA,FALSE,FALSE,1,4,0,3,0,No,FALSE,21,2,NA,No Card,NA
MC,18,R1,5353,M,NA,FALSE,FALSE,0,0,0,2,0,No,FALSE,NA,3,NA,No Card,NA
BP,18,B1,4099,C,3,TRUE,FALSE,10,4,0,1,6,No,FALSE,6,3,NA,No Card,Their shooter seemed to have temporarily broken?
FL,18,B3,4472,M,NA,FALSE,FALSE,4,5,0,2,2,No,FALSE,6,3,NA,No Card,NA
BP2,19,R3,1885,F,3,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,NA,No Card,"Turret, stopped doing anything after auto"
CR,19,R1,1885,F,3,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,3,1,No Card,NA
CC,19,B2,5549,C,3,FALSE,FALSE,10,6,0,2,0,No,FALSE,2,3,NA,No Card,NA
BP,19,B1,5338,F,NA,FALSE,FALSE,4,8,0,2,4,No,FALSE,643,3,NA,No Card,NA
HR,19,R2,1731,C,NA,FALSE,FALSE,0,2,3,3,0,No,FALSE,6,3,NA,No Card,One of the turrets malfunctioned
FL,19,B3,1895,M,NA,FALSE,FALSE,4,5,4,1,7,No,FALSE,3,3,NA,No Card,Passer bot even during active?
CC,20,B2,2377,C,1,FALSE,FALSE,5,2,0,4,4,No,FALSE,2,3,NA,No Card,NA
BP2,20,R3,3373,C,NA,FALSE,FALSE,0,0,4,3,8,No,FALSE,NA,3,NA,No Card,NA
CR,20,R1,3373,C,NA,FALSE,FALSE,0,0,5,1,0,No,FALSE,6,4,NA,No Card,NA
HR,20,R2,611,F,NA,FALSE,FALSE,0,0,4,0,7,No,FALSE,6,3,NA,No Card,Intake jammed
BP,20,B1,449,C,NA,FALSE,FALSE,0,5,0,2,4,No,FALSE,NA,5,NA,No Card,Good shooting and defense
AW,20,B3,5587,M,NA,FALSE,FALSE,5,3,0,1,5,No,FALSE,NA,3,NA,No Card,Was behind the hub& out of sight for a bunch of the match (might have picked up more than I counted)
CR,21,R1,3136,F,3,FALSE,FALSE,9,6,0,4,7,No,FALSE,26,5,NA,No Card,Flexible intake
BP,21,B1,539,C,NA,FALSE,FALSE,0,0,6,1,0,F,FALSE,65,2,NA,No Card,Got beached on the balls and bump. for some time
HR,21,R2,526,M,NA,FALSE,FALSE,5,6,1,0,3,No,FALSE,25,3,NA,No Card,Intake jammed
