team,auto_fuel,tele_fuel,auto_fuel_opr,tele_fuel_opr,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
16,5.9,103.36,-0.61,115.72,15.14,99.21,12.97,94.77
51,31.5,106.18,36.51,96.56,19.45,103.64,28.41,110.59
111,23.02,157.76,15.87,171.38,33.49,133.38,28.16,150.75
116,9.36,22,11.2,25.65,2.98,12.54,8.59,24.67
122,22.1,99.22,23.04,106.21,18.1,76.75,21.11,99.15
339,13.56,33.9,16.15,32.46,5.8,29.03,12.78,35.17
346,17.09,121.75,19.76,138.48,12.19,81.91,14.9,121.75
364,32.21,66.68,30.77,37.74,27.05,93.62,31.97,70.06
401,29.25,89.64,31.69,86.89,21.85,89.65,27.43,92.89
422,22.97,118.05,17.49,107.71,32.75,130.11,26.52,126.92
449,36.48,158.39,30.97,165.26,39.4,152.18,37.96,158.05
484,37.07,163.3,41.45,177.39,31.33,136.21,36.37,156.63
526,8.28,24.7,9.39,29.89,5,18.23,7.28,18.76
539,7.59,17.18,7.27,11.43,10.11,36.89,7.25,15.78
540,19.35,98.51,20.96,108.81,12.17,65.69,19.14,105.14
611,5.93,18.55,5.25,12.22,8.16,29.79,6.95,19.9
612,6.94,20.36,6.89,20.62,4.97,18.15,6.97,23.4
614,18.1,52.24,9.67,30.22,26.18,74.22,21.92,58.11
619,18.88,123.79,19.75,128.16,16.14,108.02,18.87,125.88
620,7.79,60.07,6.16,71.19,12.46,42.95,9.82,63.13
686,22.66,105.24,23.99,133.15,20.15,70.13,20.88,105.46
836,25.66,131.11,25.35,133.96,23.43,115.67,27.18,132.2
888,27.52,86.78,27.24,78.5,25.76,98.57,28.82,94.99
931,17.03,40.87,18.34,34.95,8.71,42.12,16.65,52.09
1023,39.13,124.41,42.64,154.91,30.85,83.25,37.07,108.22
1086,23.5,94.73,27.7,105.23,14.47,70.79,22.37,93.88
1111,8.76,7.56,11.34,10.22,4.72,2.9,7.37,4.53
1262,10.32,72.13,8.82,70.48,13.17,76.38,12.67,79.27
1389,10.36,58.48,7.74,54.53,11.79,47.42,12.11,57.96
1391,29.23,136.99,25.01,142.88,32.88,126.71,32.77,131.52
1403,30.53,94.82,30.61,68.43,29.28,122.15,32.09,115.27
1446,4.46,1.83,4.03,-8.05,4.75,17.34,5.54,6.95
1506,33.85,147.68,46.09,162.92,15.75,101.08,28.49,139.87
1533,17.65,29.89,18.35,-16.95,19.16,87.88,19.31,47.97
1629,24.33,100.88,22.39,102.6,25.6,87.44,23.33,105.76
1690,66.03,233.98,74.42,250.66,48.3,194.78,64.13,229.34
1719,15.81,21.9,18.86,15.99,8.23,16.68,15.95,24.52
1727,13.08,110.76,13.81,108.39,11.33,98.39,13.25,110.25
1731,35.76,112.76,42.07,115.3,20.52,102.73,33.88,112.17
1756,24.67,130.89,27.34,135.64,18.54,127.18,23.1,128.72
1768,45.46,237.53,50.23,280.85,39.16,171.71,46.9,217.31
1793,1.56,6.14,1.72,5.82,3.58,13.07,2.25,8.23
1816,17.96,40.95,24.77,42.82,10.24,36.46,14.88,40.04
1885,4.39,12.93,3.65,6.96,8.93,32.61,5.36,15.87
1895,6.98,34.71,4.04,30.26,15.16,41.46,7.52,38.65
1908,19.71,126.64,22.34,155.79,13.81,79.53,20.35,114.54
2028,3.28,22.95,2.88,24.54,7.17,26.15,4.29,28.19
2054,27.25,138.21,28.08,151.23,26.8,118.75,26.42,131.65
2068,7.2,22.68,7.07,16.43,8.65,26.67,8.38,32.28
2106,32.4,162.95,28.9,184.3,38.84,135.76,33.99,158.44
2186,9.41,13.6,10.2,10.3,6.13,16.96,9.08,18.56
2199,21.25,95.69,19.14,83.36,24.39,106.35,23.78,101.15
2231,57.07,182.41,60.53,187.34,47.18,178.59,58.94,182.11
2363,6.18,28.92,5.49,25.62,11.83,43.18,6.86,31.6
2377,8.73,50.13,9,49.56,7.46,45.19,8.45,49.24
2393,26.87,99.37,35.12,117.88,17.71,74.5,24.07,93.83
2421,11.16,8.56,14.06,-4.31,4.89,17.73,10.02,19.61
2468,42.81,182.26,53.82,211.06,22.35,146.95,38.14,175.38
2491,31,161.66,34.76,186.37,18.48,114.56,30.82,156.93
2534,1.99,3.24,0.62,-5.32,9.33,34.08,3.03,7.72
2537,17.18,58.89,11.2,44.15,26.84,72.1,19.68,68.87
2556,25.36,100.4,28.15,105.98,17.21,90.09,24.88,93.41
2582,23.96,115,28.72,92.94,17.37,131.49,24.4,116.84
2590,35.87,98.54,36.77,88.05,29.01,99.29,35.34,99.08
2635,11.17,15.53,13.5,-9.3,9.1,36.55,11.22,18.56
2813,40,144.74,46.44,131.7,27.62,147.82,37.91,160.43
2890,6.77,47.74,6.09,46.35,6.42,43.44,9.02,55.85
2900,10.44,19.12,10.5,23.64,6.99,6.25,11.21,20.53
2912,2.03,-5.72,2.21,-12.4,0,0,2.99,-5.25
2914,6.8,20.29,6.37,18.37,6.38,23.28,6.66,16.22
2963,2.21,1.05,1.57,-6,4.7,17.15,4.28,7.97
2988,3.68,11.95,2.58,4.54,5.48,15.96,5.67,14.65
3082,2.31,6.18,-4.24,-30.12,8.9,52.27,6.44,23.28
3136,15.98,92.59,18.45,110.25,11.9,56.49,13.92,94.7
3243,23.61,94.21,28.76,95.11,12.18,73.74,23.63,98.79
3258,12.25,24.69,12.33,11.63,11.25,32.3,12.16,30.53
3359,1.89,10.11,1.46,8.19,7.33,26.74,2.65,10.1
3361,9.35,28.93,8.77,26.58,8.83,24.23,10.34,23.03
3373,6.34,43.57,6.88,45.02,3.97,38.89,5.87,40.88
3501,21.75,144.04,20.94,151.29,17.31,118.54,21.93,142.47
3544,14.19,72.04,12.81,52.62,14.76,84.72,12.05,81.4
3714,3.41,24.42,1.66,27.72,5.39,19.69,6.05,27.99
3748,14.09,71.84,11.08,70.41,16.41,64.88,13.74,72.88
3753,16.71,95.96,15.6,89.97,12.81,79.81,17.77,96.75
3931,24.68,111.13,15.51,126.34,29.62,75.34,29.84,107.9
3937,36.05,152.89,43.78,151.74,21.08,137.83,33.3,159.28
3939,7.73,45.66,8.21,48.67,9.3,44.24,8.49,48.79
4020,37.49,132.54,31.41,128.6,37.77,129.65,40.4,125.84
4087,27.78,73.91,28.75,57.62,25.49,102.95,26.95,77.08
4099,39.63,106.88,43.92,121.01,28.53,77.54,39.77,109.34
4125,11.7,51.39,5.23,51.41,17.05,46.61,16.94,52.55
4322,40.92,133.88,45.62,155.17,32.49,113.8,39.15,114.08
4450,24.61,106.82,24.39,115.87,26.87,82.04,27.51,108.55
4456,9.47,32.14,9.95,35.82,6.71,24.47,9.28,36.87
4464,3.6,13.46,3.96,10.61,1.99,16.85,4.39,17.32
4469,31.87,191.78,33.96,208.97,24.17,166.88,30.32,189.84
4472,13.92,65.04,14.26,66.31,12.6,55.66,14.79,66.36
4541,20.57,42.36,22.56,33.77,15.4,44.67,19.39,53.51
4607,30.65,91.91,36.09,79.63,20.59,91.13,29.08,97.49
4638,3.7,12.12,3.17,5.01,3.48,19.73,4.28,14.09
4655,30.71,114.57,32.04,107.21,23.2,116.4,29.69,129.25
4766,13.48,105.34,11.4,105.9,9.49,102.18,15.63,107.03
4821,7.68,12.76,8.05,6.25,5.9,20.36,7.45,15.94
5181,19.54,54.92,18.94,41.18,19.04,80.87,18.16,67.68
5243,14.38,44.34,16.9,46.36,10.16,42.61,15.17,43.31
5338,28.5,119.75,34.69,137.34,15.58,83.01,25.13,118.1
5353,9.92,35.72,10.19,35.76,11.07,31.82,9.26,43.02
5549,16.58,100.64,14.7,108.3,17.69,72.63,17.78,101.39
5577,12.64,49.94,14.97,51.83,5.74,57.71,10.66,44.36
5587,5.55,14.72,2.43,-1.32,10.41,30.86,6.83,24.38
5653,19.11,101.62,15.37,106.16,18.73,83.16,22.3,99.13
5705,12.19,26.5,14.9,28.96,6.72,14.02,11.59,23.89
5724,8.98,44.32,8.33,41.69,8.32,34.76,9.01,41.52
5804,8.03,44.34,4.71,41.75,14.78,43.28,9.6,47.09
5841,5.39,2.01,5.98,-3.41,3.3,6.2,5.35,5.02
5895,37.73,154.3,28.61,161.13,48.32,141.22,41.73,152.29
5913,37.29,146.26,48.83,169.73,19.36,95.87,32.65,138.89
6201,9.65,36.87,9.02,52.7,8.77,19.35,11.13,36.06
6239,8.51,31.66,8.22,32.93,8.01,24.02,9.74,35.89
6429,17.86,59.16,18.11,34.41,23.22,86.09,16.68,64.4
6487,17.37,74.21,16.55,55.08,16.75,89.93,17.13,80.3
6528,28.16,113.51,31.11,142.65,17.94,62.4,24.57,107.77
6665,6.6,46.79,5.07,65.49,6.48,22.26,8.05,34.66
6882,12.54,28.52,13.97,25.6,5.94,23.24,12.03,35.82
6911,8.97,78.6,4.42,85.6,11.32,59.5,10.52,73.36
6985,28.01,91.6,21.04,87.07,38,96.01,33.68,88.35
7183,19.85,137.43,19.68,135.68,20.28,119.59,22.19,146.16
7415,54.1,145.54,53.43,164.08,47.4,100.53,52.43,122.88
7769,67.07,253.62,69.25,265.13,59.23,227.23,66.59,245.86
7840,14.8,64.69,8.34,48.4,26.66,90.19,20.4,71.32
7886,5.6,6.85,6,-1.73,3.87,17.9,5.92,10.81
7915,15.31,105.83,8.42,107.07,25.38,106.19,18.91,108.97
8069,14.31,38.84,12.86,49.73,11.07,18.14,16.13,40.55
8119,17.95,129.43,21.03,155.06,12.94,100.6,17.46,120.88
8159,44.3,147.34,43.54,164.2,36.37,112.76,46.26,138.06
8229,25.76,120.98,27.61,156.01,17.83,60.75,25.77,102.41
8230,3.58,16.85,2.79,15.31,6.75,24.65,4.96,22.13
8326,5.17,5.6,5.31,0.22,5.09,18.56,4.97,14.83
8590,6.68,21.79,6.11,21.01,8.99,23.75,6.52,23
8592,13.84,91.87,10.29,102.69,19.24,71.56,13.73,89.65
8858,17.52,100.5,19.66,80.17,12.01,99.3,17.82,110.01
9033,6.81,16.54,3.26,-1.45,12.36,44.29,7.7,22.82
9072,40.74,123.44,40.86,101.94,38.08,147.49,40.24,129.54
9403,3.74,9.68,2.81,3.16,6.32,23.08,5.76,15.08
9496,65.76,208.02,72.01,225.74,53.71,189.52,62.05,202.17
9572,35.52,135.74,41.5,143.21,20.91,115.43,31.35,131.89
10004,10.2,46.36,9.68,50.23,9.87,35.29,10.61,51.31
