team,match_key,auto_fuel_pre_epa,tele_fuel_pre_epa,auto_fuel_recent_epa,tele_fuel_recent_epa
16,2026gal_qm3,15.14,99.21,12.97,94.77
51,2026gal_qm8,19.45,103.64,28.41,110.59
111,2026gal_qm11,33.49,133.38,28.16,150.75
116,2026mdbet_qm2,2.98,12.54,8.59,24.67
122,2026chcmp_qm5,18.1,76.75,21.11,99.15
339,2026chcmp_qm9,5.8,29.03,12.78,35.17
346,2026chcmp_qm3,12.19,81.91,14.9,121.75
364,2026gal_qm5,27.05,93.62,31.97,70.06
401,2026chcmp_qm1,21.85,89.65,27.43,92.89
422,2026chcmp_qm5,32.75,130.11,26.52,126.92
449,2026gal_qm3,39.4,152.18,37.96,158.05
484,2026gal_qm7,31.33,136.21,36.37,156.63
526,2026vaale_qm3,5,18.23,7.28,18.76
539,2026vaale_qm1,10.11,36.89,7.25,15.78
540,2026chcmp_qm1,12.17,65.69,19.14,105.14
611,2026vaale_qm7,8.16,29.79,6.95,19.9
612,2026vaale_qm4,4.97,18.15,6.97,23.4
614,2026gal_qm10,26.18,74.22,21.92,58.11
619,2026chcmp_qm6,16.14,108.02,18.87,125.88
620,2026chcmp_qm6,12.46,42.95,9.82,63.13
686,2026chcmp_qm7,20.15,70.13,20.88,105.46
836,2026chcmp_qm6,23.43,115.67,27.18,132.2
888,2026chcmp_qm9,25.76,98.57,28.82,94.99
931,2026gal_qm13,8.71,42.12,16.65,52.09
1023,2026gal_qm8,30.85,83.25,37.07,108.22
1086,2026chcmp_qm3,14.47,70.79,22.37,93.88
1111,2026chcmp_qm3,4.72,2.9,7.37,4.53
1262,2026chcmp_qm8,13.17,76.38,12.67,79.27
1389,2026chcmp_qm5,11.79,47.42,12.11,57.96
1391,2026gal_qm8,32.88,126.71,32.77,131.52
1403,2026gal_qm12,29.28,122.15,32.09,115.27
1446,2026mdbet_qm1,4.75,17.34,5.54,6.95
1506,2026gal_qm8,15.75,101.08,28.49,139.87
1533,2026gal_qm9,19.16,87.88,19.31,47.97
1629,2026chcmp_qm7,25.6,87.44,23.33,105.76
1690,2026gal_qm12,48.3,194.78,64.13,229.34
1719,2026chcmp_qm1,8.23,16.68,15.95,24.52
1727,2026chcmp_qm7,11.33,98.39,13.25,110.25
1731,2026chcmp_qm4,20.52,102.73,33.88,112.17
1756,2026gal_qm4,18.54,127.18,23.1,128.72
1768,2026gal_qm11,39.16,171.71,46.9,217.31
1793,2026vaale_qm6,3.58,13.07,2.25,8.23
1816,2026gal_qm4,10.24,36.46,14.88,40.04
1885,2026vaale_qm1,8.93,32.61,5.36,15.87
1895,2026chcmp_qm7,15.16,41.46,7.52,38.65
1908,2026chcmp_qm8,13.81,79.53,20.35,114.54
2028,2026vaale_qm2,7.17,26.15,4.29,28.19
2054,2026gal_qm11,26.8,118.75,26.42,131.65
2068,2026chcmp_qm3,8.65,26.67,8.38,32.28
2106,2026chcmp_qm1,38.84,135.76,33.99,158.44
2186,2026mdbet_qm2,6.13,16.96,9.08,18.56
