scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,27,,,,,,,,,,,,,,,,
MC,1,R2,103,,,,,,,,,,,,,,,,
AM,1,R3,131,,,,,,,,,,,,,,,,
BP,1,B1,167,,,,,,,,,,,,,,,,
AZ,1,B2,548,,,,,,,,,,,,,,,,
MH,1,B3,587,,,,,,,,,,,,,,,,
NS,2,R1,971,,,,,,,,,,,,,,,,
EC,2,R2,1114,,,,,,,,,,,,,,,,
HR,2,R3,1189,,,,,,,,,,,,,,,,
AD,2,B1,1218,,,,,,,,,,,,,,,,
AM,2,B2,1241,,,,,,,,,,,,,,,,
BP,2,B3,1261,,,,,,,,,,,,,,,,
AM,3,R1,1501,,,,,,,,,,,,,,,,
HR,3,R2,1511,,,,,,,,,,,,,,,,
CC,3,R3,1619,,,,,,,,,,,,,,,,
AZ,3,B1,1646,,,,,,,,,,,,,,,,
JD,3,B2,1648,,,,,,,,,,,,,,,,
BP,3,B3,1731,,,,,,,,,,,,,,,,
CC,4,R1,1868,,,,,,,,,,,,,,,,
HR,4,R2,1912,,,,,,,,,,,,,,,,
AM,4,R3,2075,,,,,,,,,,,,,,,,
AD,4,B1,2106,,,,,,,,,,,,,,,,
BP,4,B2,2137,,,,,,,,,,,,,,,,
JD,4,B3,2539,,,,,,,,,,,,,,,,
HR,5,R1,2583,,,,,,,,,,,,,,,,
CC,5,R2,2767,,,,,,,,,,,,,,,,
AM,5,R3,2826,,,,,,,,,,,,,,,,
AZ,5,B1,2847,,,,,,,,,,,,,,,,
JD,5,B2,2851,,,,,,,,,,,,,,,,
BP,5,B3,2881,,,,,,,,,,,,,,,,
HR,6,R1,2960,,,,,,,,,,,,,,,,
BP,6,R2,3006,,,,,,,,,,,,,,,,
AM,6,R3,3045,,,,,,,,,,,,,,,,
CC,6,B1,3284,,,,,,,,,,,,,,,,
JD,6,B2,3476,,,,,,,,,,,,,,,,
AD,6,B3,3494,,,,,,,,,,,,,,,,
AM,7,R1,3572,,,,,,,,,,,,,,,,
CC,7,R2,3604,,,,,,,,,,,,,,,,
AZ,7,R3,4096,,,,,,,,,,,,,,,,
BP,7,B1,4272,,,,,,,,,,,,,,,,
JD,7,B2,4403,,,,,,,,,,,,,,,,
HR,7,B3,4593,,,,,,,,,,,,,,,,
HR,8,R1,4646,,,,,,,,,,,,,,,,
BP,8,R2,4728,,,,,,,,,,,,,,,,
JD,8,R3,5010,,,,,,,,,,,,,,,,
AM,8,B1,5066,,,,,,,,,,,,,,,,
AD,8,B2,5338,,,,,,,,,,,,,,,,
CC,8,B3,5468,,,,,,,,,,,,,,,,
HR,9,R1,5665,,,,,,,,,,,,,,,,
CC,9,R2,5801,,,,,,,,,,,,,,,,
JD,9,R3,5829,,,,,,,,,,,,,,,,
AM,9,B1,5940,,,,,,,,,,,,,,,,
BP,9,B2,6459,,,,,,,,,,,,,,,,
AZ,9,B3,6907,,,,,,,,,,,,,,,,
DK,10,R1,7166,,,,,,,,,,,,,,,,
GK,10,R2,7407,,,,,,,,,,,,,,,,
MY,10,R3,7525,,,,,,,,,,,,,,,,
RY,10,B1,7598,,,,,,,,,,,,,,,,
NS,10,B2,8608,,,,,,,,,,,,,,,,
MH,10,B3,8817,,,,,,,,,,,,,,,,
DK,11,R1,8884,,,,,,,,,,,,,,,,
NS,11,R2,9001,,,,,,,,,,,,,,,,
MY,11,R3,9032,,,,,,,,,,,,,,,,
RY,11,B1,9084,,,,,,,,,,,,,,,,
GK,11,B2,9126,,,,,,,,,,,,,,,,
CL,11,B3,9401,,,,,,,,,,,,,,,,
CC,12,R1,9427,,,,,,,,,,,,,,,,
AM,12,R2,9470,,,,,,,,,,,,,,,,
CL,12,R3,9771,,,,,,,,,,,,,,,,
BP,12,B1,10015,,,,,,,,,,,,,,,,
SBS,12,B2,10021,,,,,,,,,,,,,,,,
AZ,12,B3,10162,,,,,,,,,,,,,,,,
AM,13,R1,11019,,,,,,,,,,,,,,,,
SBS,13,R2,11297,,,,,,,,,,,,,,,,
BP,13,R3,11387,,,,,,,,,,,,,,,,
