"match","R1","R2","R3","B1","B2","B3"
1,9427,971,1912,5338,2583,2137
2,167,2106,10021,1218,1241,2881
3,7525,10015,6907,3604,4403,1619
4,3494,11019,9470,11297,27,5066
5,5940,1189,3476,587,8817,1646
6,7166,9126,2767,9084,2826,548
7,1261,10162,5801,1114,5665,4593
8,1511,7598,5010,2075,5829,5468
9,4646,131,1868,8884,3045,3006
10,2960,4272,9032,1501,2851,11387
11,4728,9001,1731,7407,2539,3284
12,6459,4096,2847,8608,3572,9401
13,103,1648,3604,9427,2106,9771
14,3494,6907,1189,2583,2826,1241
15,9470,2767,971,3476,4593,1218
16,2137,9126,2881,5066,5010,8817
17,131,11019,10015,1511,10021,5801
18,1261,27,2960,7166,10162,5338
19,4728,2075,1646,1912,3006,9032
20,548,4646,1731,4096,8608,4272
21,587,2847,1648,103,7525,3284
22,9084,11297,9771,5940,5665,6459
23,3045,7407,1114,3572,167,2851
24,2539,1868,5468,5829,4403,1501
25,8884,1619,11387,9001,9401,7598
26,4593,2826,5338,10021,3604,8817
27,2075,2137,10015,2881,3494,2767
28,9032,7166,4096,5066,5801,1218
29,4728,9470,8608,131,1189,5010
30,1241,3476,1511,10162,4272,1648
31,587,4646,2106,9084,1261,2851
32,9427,5665,7525,27,5940,7407
33,7598,548,4403,9001,971,11297
34,1619,6459,2583,103,2960,5468
35,11387,167,3045,1731,2539,2847
36,1114,1912,6907,9401,8884,5829
37,11019,3006,1501,9771,3572,9126
38,3284,1868,3494,1646,2767,3604
39,4096,2881,9084,1189,1511,1648
40,2851,7166,8608,8817,4728,5665
41,4646,9470,5940,7407,2075,10162
42,5010,9427,1619,2826,4403,5801
43,9001,1261,9032,5468,7525,167
44,3045,9401,10021,971,5829,587
45,9126,5338,3006,8884,2847,4272
46,3476,131,11297,2106,1501,2583
47,1646,9771,27,3572,1731,6907
48,3284,2137,6459,11387,1114,1241
49,11019,548,1868,10015,4593,103
50,1218,2539,1912,7598,2960,5066
51,8817,9001,3494,4646,9084,9427
52,4403,9401,4728,2767,3045,5940
53,1261,2847,1619,3604,9470,1189
54,2881,3006,2075,5801,7525,2583
55,5468,10021,131,4096,2851,11297
56,971,9032,9126,27,1114,1511
57,3476,5338,167,6907,103,8608
58,548,1218,3572,1648,11387,1868
59,5066,4593,5829,9771,4272,3284
60,5665,1731,10015,1912,2960,2106
61,10162,1501,2826,2137,587,7598
62,6459,5010,8884,7407,7166,11019
63,2539,1241,9401,5801,4646,1646
64,2851,2583,2847,1511,9001,5940
65,167,3604,9427,1189,9126,11297
66,3572,8817,1261,971,1619,2075
67,9032,2881,6907,131,548,3284
68,10021,5665,27,3006,3476,11387
69,8608,5468,3045,2960,4593,9771
70,5829,1731,103,2767,2137,7525
71,8884,2106,4096,3494,10162,4403
72,1241,5066,9084,10015,7598,7407
73,4272,1868,587,5010,1912,7166
74,1501,1218,1114,11019,4728,5338
75,2539,1648,1646,2826,6459,9470
76,2851,3284,2075,9126,3476,9401
77,131,5940,11387,4593,167,971
78,3045,1511,3572,2137,103,5665
79,5801,5829,8817,2106,2847,548
80,10162,5066,3604,5468,2583,1731
81,587,8608,1241,9032,8884,9427
82,2881,7407,4646,1619,5338,1868
83,1648,27,7166,10015,1501,2539
84,7525,9084,2960,11019,1646,4096
85,1218,9771,9001,2826,1189,1114
86,11297,2767,3006,6907,5010,1261
87,4272,7598,10021,4728,3494,6459
88,4403,1912,3572,9470,3284,167
89,9401,103,971,3604,9032,5665
90,2075,5066,1511,1868,8608,2106
91,1241,5940,8884,548,5468,1501
92,2539,587,4593,1619,4096,9126
93,1189,7525,9771,4646,11387,7166
94,9427,3006,5829,2851,10015,1218
95,4272,5801,2137,6907,11297,7407
96,1261,3494,7598,1731,1648,11019
97,2960,3476,2826,2847,2881,4728
98,6459,2767,27,1912,8817,131
99,5010,1646,10162,5338,3045,9001
100,2583,4403,9470,1114,10021,9084
101,7525,1511,971,9771,8884,2539
102,7166,3604,4593,3572,2075,1241
103,2106,5468,2137,3006,9401,1189
104,5940,103,9126,7598,6907,4646
105,5665,4272,11019,167,1619,2826
106,1868,9427,6459,1731,9032,3476
107,11387,11297,10162,5829,2881,1912
108,9470,1114,548,3494,587,2960
109,9001,2851,2767,5338,1648,5066
110,1501,3284,9084,8608,10021,5010
111,7407,1646,4403,2847,1218,131
112,2583,8817,10015,4096,1261,3045
113,27,5801,8884,167,2137,4728
114,4593,6907,2106,7598,6459,7525
115,9401,1511,2881,1731,9427,7166
116,11297,5829,2826,2960,3572,4646
117,1189,11019,10162,1868,971,2851
118,5010,5338,3494,5940,9032,2539
119,5665,9771,587,4403,131,2075
120,2847,5468,1114,2767,10015,4272
121,10021,4728,5066,1646,548,1261
122,1619,9084,3045,3284,27,1218
123,1648,7407,2583,9126,11387,8608
124,1912,1501,3476,3604,5801,9001
125,8817,4096,103,3006,1241,9470
