"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
122,17.91,82.63,18.96,134.43,18.1,76.75,17.6,80.96
339,6.74,36.39,3.03,25.79,5.8,29.03,6.8,31.98
346,13.37,85.43,-0.82,134.82,12.19,81.91,11.45,80.82
401,26.03,90.11,27.87,80.78,21.85,89.65,24.75,86.97
422,31.4,128.86,41.1,106.08,32.75,130.11,33.41,127.45
449,36.85,139.11,43.52,259.47,23.59,104.53,28.61,125.54
540,20.18,83.06,16.37,95.11,12.17,65.69,14.57,76.72
614,25.32,94.15,19.23,165.83,23.48,63.2,25.35,86.44
619,16,109.12,5.82,82.11,16.14,108.02,15.37,111.84
620,12.61,61.38,24.19,142.04,12.46,42.95,11.73,55.76
686,16.24,71.59,14.76,53.38,20.15,70.13,18.83,71.36
836,16.76,117.64,20.8,99.53,23.43,115.67,20.57,120.17
888,21.49,102.63,12.6,124.59,25.76,98.57,25.13,100.3
1086,18.83,83.09,26.8,89.34,14.47,70.79,16.07,86.49
1111,5.03,11.13,15.86,28.36,4.72,2.9,4.77,11.76
1262,11.16,81.18,-4.68,70.8,13.17,76.38,12.54,79.51
1389,8.05,56.61,-0.76,46.98,11.79,47.42,12.29,59.81
1629,22.49,70.01,17.51,56.53,25.6,87.44,24.87,73.73
1719,16.2,19.61,26.41,9.97,8.23,16.68,10.86,15.74
1727,11.58,100.81,3.97,63.36,11.33,98.39,12,103.31
1731,29.12,109.48,27.33,158.62,20.52,102.73,26.24,104.91
1895,10.72,40.04,4.53,62.2,15.16,41.46,13.87,37.13
1908,15.91,92.12,19.98,118.45,13.81,79.53,13.89,94.54
2068,9.03,33.51,17.31,-9.86,8.65,26.67,8.58,31.96
2106,29,139.6,17.49,178.37,38.84,135.76,34.44,134.18
2199,20.66,104.65,15.72,98.31,24.39,106.35,24.29,110.04
2377,14.14,57.14,31.5,52.16,7.46,45.19,8.81,53.39
2421,11.24,17.53,31.15,18.97,4.89,17.73,5.37,13.62
2537,15.91,66.24,16.51,34.85,26.84,72.1,22.74,69.07
2890,6.52,43.37,23.14,-35.35,6.42,43.44,4.05,41.39
3136,21.74,65.41,34.5,39.5,11.9,56.49,16.6,63.58
3258,9.91,45.85,-2.52,69.17,11.25,32.3,10.71,49.84
3361,14.45,35.97,17.51,12.18,8.83,24.23,10.72,33.07
3748,13.02,60.94,5.98,27.26,16.41,64.88,16.6,63.15
3939,14.28,58.31,19.32,131.31,9.3,44.24,11.76,60.74
4099,41.9,90.71,49.77,95.61,28.53,77.54,35.19,88.49
4472,17.95,62.42,31.39,87.47,12.6,55.66,13.1,59.16
4541,27.71,33.27,35.28,-28.2,15.4,44.67,21.51,33.24
5243,14.63,58.73,17.45,88.23,10.16,42.61,11.88,54.22
5338,24.01,96.98,28.8,137.99,15.58,83.01,19.3,94.49
5549,18.78,73.52,21.98,36.14,17.69,72.63,16.2,71.85
5587,2.56,22.11,-4.52,-29.35,10.41,30.86,7.62,30.03
5724,4.75,38.32,-8.02,28.77,8.32,34.76,6.64,35.54
5804,1.27,38.96,-20.06,77.68,14.78,43.28,8.05,36.72
8590,5.7,24.72,2.7,35.91,8.99,23.75,8.26,25.57
8592,15.74,83.21,6.49,136.52,19.24,71.56,17.37,78.98
9033,6.73,21.24,-8.97,-29.32,12.36,44.29,10.86,32.9
9072,33.15,125.8,44.91,3.59,38.08,147.49,36.25,137.85
10004,9.58,38.69,9.78,23.51,9.87,35.29,10.24,35.24
10224,3.73,61.95,-13.82,93.31,8.26,57.32,7.85,59.29
10679,5.93,39.72,1.33,14.03,5.97,18.74,5.32,28.57
11318,10.32,54.1,14.98,98.03,11.84,48.2,11.31,53.33
11415,20.65,114.01,29.47,194.55,17.81,98.45,17.76,106.88
11425,16.68,26.1,24.48,-16.75,11.11,23.43,12.29,30.78
