team_1,specific_1,general_1,speed_1,smart_1,passing_1,defense_1,stable_1,team_2, specific_2,general_2,speed_2,smart_2,passing_2,defense_2,stable_2,team_3,specific_3,general_3,speed_3,smart_3,passing_3,defense_3,stable_3,match,scout
1111,1111,1111,2,1,2,2,1,1389,1389,1389,3,4,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,MH
1908,1908,1908,5,1,2,5,5,8590,8590,8590,1,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,MH
9033,9033,9033,4,5,5,4,2,339,339,339,4,4,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,MH
2890,2890,2890,3,3,3,4,2,1111,1111,1111,2,3,4,1,5,8590,8590,8590,5,1,3,5,1,2,MH
339,339,339,4,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1629,1629,1629,3,2,4,3,2,3,MH
1262,1262,1262,4,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4472,4472,4472,2,1,1,4,1,3,MH
1731,1731,1731,3,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,MH
449,449,449,1,1,5,1,4,339,339,339,1,3,4,4,2,5587,5587,5587,1,5,1,4,5,4,MH
NA,NA,NA,NA,NA,NA,NA,NA,11425,11425,11425,2,2,4,5,2,10004,10004,10004,2,2,3,2,5,5,MH
10224,10225,10226,2,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,MH
NA,NA,NA,NA,NA,NA,NA,NA,1727,1727,1727,2,5,2,2,5,620,620,620,1,3,5,5,2,6,MH
11318,11319,11320,5,4,5,2,2,5243,5243,5243,3,3,3,5,1,836,836,836,3,2,1,2,3,6,MH
NA,NA,NA,NA,NA,NA,NA,NA,4099,4099,4099,3,5,5,1,5,11415,11415,11415,5,4,5,2,1,7,MH
3361,3361,3361,5,5,1,3,1,4099,4099,4099,2,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,7,MH
346,346,346,2,4,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,3258,3258,3258,3,1,2,4,2,8,MH
