"match","R1","R2","R3","B1","B2","B3"
1,1719,2106,401,449,540,9072
2,3748,8590,4472,2890,3258,8592
3,10224,1111,5549,346,1086,2068
4,1731,4099,2199,5804,2537,3361
5,5724,11318,422,10679,1389,122
6,5587,619,620,836,3939,614
7,2421,1629,1727,11425,1895,686
8,1908,5243,10004,1262,4541,11415
9,9033,5338,3136,2377,339,888
10,540,1086,8592,1719,3361,1731
11,2068,1389,449,9072,2106,5804
12,10224,2199,2890,122,5549,5587
13,11318,619,1111,686,3258,422
14,2421,3748,346,10679,620,1908
15,888,10004,3136,5243,11425,614
16,11415,339,8590,5724,2377,1895
17,401,4099,4541,9033,1629,836
18,2537,1262,4472,3939,1727,5338
19,1111,540,2199,5804,11318,2890
20,1086,3361,122,2106,619,2421
21,686,614,5549,10004,10679,8592
22,5243,1389,3136,1719,3748,339
23,4541,422,1731,1895,346,9072
24,5587,11415,1727,4099,449,3258
25,836,5338,1262,2068,8590,5724
26,10224,2377,4472,1629,11425,3939
27,1908,888,2537,620,401,9033
28,5243,2106,3361,5549,2421,8592
29,11318,1389,3748,10004,614,4541
30,3136,10679,449,1111,1727,1895
31,619,4099,836,5338,1719,540
32,4472,2068,5804,2377,1262,122
33,9072,3939,9033,346,11415,2890
34,2199,1908,5587,8590,2537,1629
35,620,686,5724,10224,888,422
36,11425,1086,3258,1731,401,339
37,614,3136,1895,3361,5338,4099
38,1719,449,2377,11318,10679,1262
39,540,2068,122,9033,4541,3748
40,1629,2890,619,2537,5243,1111
41,8592,1727,5804,620,10224,1389
42,888,836,1086,422,2199,11415
43,3939,401,4472,2421,686,1731
44,5549,5724,11425,9072,1908,3258
45,339,346,10004,8590,5587,2106
46,1629,1895,10679,122,2890,4099
47,3748,8592,620,1262,9033,619
48,2537,4541,5338,11415,1086,10224
49,836,11318,449,4472,1731,888
50,3258,3136,401,422,5243,2068
51,3361,9072,2421,5587,2377,10004
52,614,5724,1719,1727,2106,346
53,540,5804,686,5549,1908,339
54,1111,11425,8590,3939,2199,1389
55,3748,5338,888,1629,449,4541
56,3258,122,2537,8592,836,3136
57,2068,11415,1731,620,2421,2890
58,11318,5243,4099,5724,346,10224
59,9072,686,5587,3361,540,1262
60,1389,8590,401,5549,619,10679
61,2377,1727,11425,2106,1111,422
62,339,614,2199,1908,4472,1719
63,5804,9033,1895,3939,10004,1086
64,4099,1629,11415,8592,2068,11318
65,3258,3361,620,5338,122,449
66,3136,2537,346,8590,1262,2421
67,1731,5549,540,1727,5724,888
68,4541,339,2106,686,2199,619
69,1895,422,3939,1908,10224,3748
70,1389,2377,614,1086,2890,401
71,10004,1719,9033,4472,5587,1111
72,10679,5804,5243,11425,836,9072
73,888,3258,2068,346,8592,3361
74,619,1731,5724,3136,1629,2199
75,2106,5549,11318,1262,3748,3939
76,449,10224,2537,1389,540,1908
77,8590,2890,2377,4541,686,1719
78,1895,620,1086,4472,10004,836
79,11425,422,10679,4099,5587,9033
80,11415,2421,5338,401,1111,5804
81,614,122,1727,5243,9072,339
82,3258,3939,2106,540,10224,1629
83,449,5724,1908,2377,8592,619
84,2068,1895,3748,2199,1719,2537
85,2890,4541,11425,10004,422,3361
86,10679,11415,836,3136,4472,5549
87,122,5804,346,1727,401,686
88,9033,339,2421,5338,11318,614
89,1262,5587,5243,1086,1731,1389
90,4099,9072,1111,888,8590,620
91,5724,10004,3258,1895,2537,2106
92,2890,5549,2068,619,449,11425
93,346,3939,540,122,4472,11415
94,8592,1719,1629,422,5804,5338
95,686,9033,1389,836,2421,5243
96,1086,9072,2377,3748,3136,4099
97,339,1262,10224,401,888,10679
98,4541,1111,1908,1731,614,5587
99,2199,3361,8590,1727,620,11318
100,619,122,1719,11415,11425,10004
101,5338,346,1629,1389,836,5549
102,2890,4472,5243,2106,4099,2377
103,339,10679,686,2537,2068,3939
104,5587,888,4541,5804,3136,5724
105,614,9033,10224,449,1731,8590
106,401,8592,9072,2199,1895,11318
107,3361,1908,1727,1111,3748,1086
108,422,620,1262,2421,3258,540
