"team","match_key","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
122,"2026chcmp_qm5",18.1,76.75,21.62,98.96
339,"2026chcmp_qm9",5.8,29.03,12.81,41.09
346,"2026chcmp_qm3",12.19,81.91,15.36,118.55
401,"2026chcmp_qm1",21.85,89.65,27.64,78.85
422,"2026chcmp_qm5",32.75,130.11,24.99,122.68
449,"2026chcmp_qm1",23.59,104.53,34.79,154.37
540,"2026chcmp_qm1",12.17,65.69,19.6,101.95
614,"2026chcmp_qm6",23.48,63.2,27.54,72.95
619,"2026chcmp_qm6",16.14,108.02,17.37,122.85
620,"2026chcmp_qm6",12.46,42.95,8.63,66.49
686,"2026chcmp_qm7",20.15,70.13,21.1,93.67
836,"2026chcmp_qm6",23.43,115.67,26.4,126.02
888,"2026chcmp_qm9",25.76,98.57,27.85,89.35
1086,"2026chcmp_qm3",14.47,70.79,21.27,95.08
1111,"2026chcmp_qm3",4.72,2.9,3.99,12.53
1262,"2026chcmp_qm8",13.17,76.38,11.29,84.99
1389,"2026chcmp_qm5",11.79,47.42,11.24,58.78
1629,"2026chcmp_qm7",25.6,87.44,21.99,99.24
1719,"2026chcmp_qm1",8.23,16.68,14.03,28.25
1727,"2026chcmp_qm7",11.33,98.39,13.24,105.21
1731,"2026chcmp_qm4",20.52,102.73,32.98,121.24
1895,"2026chcmp_qm7",15.16,41.46,11.2,38.57
1908,"2026chcmp_qm8",13.81,79.53,17.42,114.19
2068,"2026chcmp_qm3",8.65,26.67,8.23,28.99
2106,"2026chcmp_qm1",38.84,135.76,37.67,158.35
2199,"2026chcmp_qm4",24.39,106.35,22.32,108.33
2377,"2026chcmp_qm9",7.46,45.19,9.45,46.74
2421,"2026chcmp_qm7",4.89,17.73,11.03,23.57
2537,"2026chcmp_qm4",26.84,72.1,23.37,68.78
2890,"2026chcmp_qm2",6.42,43.44,8.87,52.56
3136,"2026chcmp_qm9",11.9,56.49,16.6,81.54
3258,"2026chcmp_qm2",11.25,32.3,13.39,36.48
3361,"2026chcmp_qm4",8.83,24.23,9.35,24.79
3748,"2026chcmp_qm2",16.41,64.88,15.2,66.93
3939,"2026chcmp_qm6",9.3,44.24,8.95,45.6
4099,"2026chcmp_qm4",28.53,77.54,39,106.61
4472,"2026chcmp_qm2",12.6,55.66,15.3,66.17
4541,"2026chcmp_qm8",15.4,44.67,19.22,50.25
5243,"2026chcmp_qm8",10.16,42.61,14.78,47.06
5338,"2026chcmp_qm9",15.58,83.01,25.64,119.37
5549,"2026chcmp_qm3",17.69,72.63,17.63,98.1
5587,"2026chcmp_qm6",10.41,30.86,6.11,31.55
5724,"2026chcmp_qm5",8.32,34.76,10.24,47.46
5804,"2026chcmp_qm4",14.78,43.28,10.22,37.73
8590,"2026chcmp_qm2",8.99,23.75,5.81,27.85
8592,"2026chcmp_qm2",19.24,71.56,14.72,91.59
9033,"2026chcmp_qm9",12.36,44.29,8.41,21.94
9072,"2026chcmp_qm1",38.08,147.49,38.18,131.8
10004,"2026chcmp_qm8",9.87,35.29,11.85,57.25
10224,"2026chcmp_qm3",8.26,57.32,9.3,77.69
10679,"2026chcmp_qm5",5.97,18.74,8.23,30.21
11318,"2026chcmp_qm5",11.84,48.2,13.38,49.86
11415,"2026chcmp_qm8",17.81,98.45,21.75,142.98
11425,"2026chcmp_qm7",11.11,23.43,11.21,24.48
