"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,118,290,75,253
2,20,192,37,147
3,35,217,31,131
4,13,117,97,329
5,24,206,38,244
6,73,350,29,152
7,38,141,60,114
8,53,199,44,226
9,45,196,77,97
10,62,163,44,343
11,27,275,56,264
12,21,116,19,164
13,49,194,36,232
14,41,297,30,175
15,52,206,54,186
16,30,145,34,215
17,17,87,116,90
18,41,302,45,171
19,25,110,40,248
20,50,271,66,249
21,27,91,61,268
22,41,77,47,201
23,57,203,111,244
24,91,475,31,307
25,15,62,42,367
26,65,198,41,236
27,39,234,47,270
28,63,231,69,288
29,61,250,24,168
30,26,131,70,363
31,72,263,78,305
32,54,259,38,178
33,58,295,49,156
34,38,165,41,177
35,47,340,36,204
36,56,299,60,104
37,87,249,52,244
