scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,59,,,,,,,,,,,,,,,,
MC,1,R2,125,,,,,,,,,,,,,,,,
AM,1,R3,166,,,,,,,,,,,,,,,,
BP,1,B1,254,,,,,,,,,,,,,,,,
AZ,1,B2,294,,,,,,,,,,,,,,,,
MH,1,B3,302,,,,,,,,,,,,,,,,
NS,2,R1,571,,,,,,,,,,,,,,,,
EC,2,R2,589,,,,,,,,,,,,,,,,
HR,2,R3,870,,,,,,,,,,,,,,,,
AD,2,B1,987,,,,,,,,,,,,,,,,
AM,2,B2,1024,,,,,,,,,,,,,,,,
BP,2,B3,1477,,,,,,,,,,,,,,,,
AM,3,R1,1498,,,,,,,,,,,,,,,,
HR,3,R2,1684,,,,,,,,,,,,,,,,
CC,3,R3,1714,,,,,,,,,,,,,,,,
AZ,3,B1,1987,,,,,,,,,,,,,,,,
JD,3,B2,2053,,,,,,,,,,,,,,,,
BP,3,B3,2357,,,,,,,,,,,,,,,,
CC,4,R1,2412,,,,,,,,,,,,,,,,
HR,4,R2,2443,,,,,,,,,,,,,,,,
AM,4,R3,2637,,,,,,,,,,,,,,,,
AD,4,B1,2682,,,,,,,,,,,,,,,,
BP,4,B2,2724,,,,,,,,,,,,,,,,
JD,4,B3,2992,,,,,,,,,,,,,,,,
HR,5,R1,3128,,,,,,,,,,,,,,,,
CC,5,R2,3181,,,,,,,,,,,,,,,,
AM,5,R3,3197,,,,,,,,,,,,,,,,
AZ,5,B1,3792,,,,,,,,,,,,,,,,
JD,5,B2,3847,,,,,,,,,,,,,,,,
BP,5,B3,3932,,,,,,,,,,,,,,,,
HR,6,R1,4027,,,,,,,,,,,,,,,,
BP,6,R2,4256,,,,,,,,,,,,,,,,
AM,6,R3,4611,,,,,,,,,,,,,,,,
CC,6,B1,4786,,,,,,,,,,,,,,,,
JD,6,B2,5166,,,,,,,,,,,,,,,,
AD,6,B3,5193,,,,,,,,,,,,,,,,
AM,7,R1,5199,,,,,,,,,,,,,,,,
CC,7,R2,5460,,,,,,,,,,,,,,,,
AZ,7,R3,5572,,,,,,,,,,,,,,,,
BP,7,B1,5712,,,,,,,,,,,,,,,,
JD,7,B2,5907,,,,,,,,,,,,,,,,
HR,7,B3,5987,,,,,,,,,,,,,,,,
HR,8,R1,6045,,,,,,,,,,,,,,,,
BP,8,R2,6366,,,,,,,,,,,,,,,,
JD,8,R3,6369,,,,,,,,,,,,,,,,
AM,8,B1,6413,,,,,,,,,,,,,,,,
AD,8,B2,6417,,,,,,,,,,,,,,,,
CC,8,B3,6497,,,,,,,,,,,,,,,,
HR,9,R1,6510,,,,,,,,,,,,,,,,
CC,9,R2,6615,,,,,,,,,,,,,,,,
JD,9,R3,6773,,,,,,,,,,,,,,,,
AM,9,B1,6800,,,,,,,,,,,,,,,,
BP,9,B2,7028,,,,,,,,,,,,,,,,
AZ,9,B3,7421,,,,,,,,,,,,,,,,
DK,10,R1,7539,,,,,,,,,,,,,,,,
GK,10,R2,7565,,,,,,,,,,,,,,,,
MY,10,R3,7567,,,,,,,,,,,,,,,,
RY,10,B1,8280,,,,,,,,,,,,,,,,
NS,10,B2,8575,,,,,,,,,,,,,,,,
MH,10,B3,8595,,,,,,,,,,,,,,,,
DK,11,R1,8613,,,,,,,,,,,,,,,,
NS,11,R2,8725,,,,,,,,,,,,,,,,
MY,11,R3,9023,,,,,,,,,,,,,,,,
RY,11,B1,9066,,,,,,,,,,,,,,,,
GK,11,B2,9068,,,,,,,,,,,,,,,,
CL,11,B3,9077,,,,,,,,,,,,,,,,
CC,12,R1,9200,,,,,,,,,,,,,,,,
AM,12,R2,9609,,,,,,,,,,,,,,,,
CL,12,R3,10254,,,,,,,,,,,,,,,,
BP,12,B1,10349,,,,,,,,,,,,,,,,
SBS,12,B2,10922,,,,,,,,,,,,,,,,
AZ,12,B3,11167,,,,,,,,,,,,,,,,
AM,13,R1,11300,,,,,,,,,,,,,,,,
SBS,13,R2,11304,,,,,,,,,,,,,,,,
BP,13,R3,11318,,,,,,,,,,,,,,,,
