"match","R1","R2","R3","B1","B2","B3"
1,589,254,10254,5193,3792,7567
2,7421,8575,5166,1684,6615,2053
3,5460,9200,1498,9609,5987,5712
4,8280,6045,125,2357,6417,6510
5,5199,1714,5907,987,166,3932
6,2682,7565,2412,10349,10922,7539
7,11304,2443,571,9023,11318,7028
8,6497,2724,2637,3128,6773,9066
9,9068,6369,6366,11167,1024,3197
10,4611,5572,294,3847,59,4027
11,1477,6800,4256,4786,3181,2992
12,8595,870,9077,6413,1987,8613
13,302,589,1714,5907,8725,6045
14,5987,2682,3792,6510,5166,9609
15,11304,987,6417,2443,1498,8575
16,8280,2724,2053,5712,7539,166
17,5199,7565,9068,9200,2357,1684
18,5460,9023,6615,3197,2637,3932
19,1024,10922,3181,4027,4611,254
20,3847,11167,4786,2412,8595,6413
21,9066,1987,294,302,8725,6366
22,3128,7028,125,8613,6800,10254
23,6773,59,2992,6369,7421,9077
24,571,4256,5572,7567,870,6497
25,5193,1477,8575,11318,10349,6045
26,9609,589,2637,166,2724,1684
27,10922,2443,9023,5166,3792,9200
28,3932,6417,7565,4786,1024,8595
29,5712,6615,8725,3847,3181,2412
30,1498,6510,3128,7539,294,11304
31,1987,1714,6800,6773,8280,6369
32,10254,9068,5572,7421,8613,4256
33,125,571,59,9066,3197,6366
34,2682,11318,2053,870,5199,4611
35,987,2357,7567,4027,5193,9077
36,6497,302,5987,2992,11167,10349
37,5907,7028,254,5460,6413,1477
38,8575,5712,1024,9023,3792,294
39,10922,8595,3847,6045,6800,3128
40,2724,9200,3932,5572,6369,2412
41,7565,6773,6510,4256,6615,6366
42,2443,7539,3197,8725,7421,5199
43,1684,1714,5193,3181,11304,870
44,11167,9077,4611,10254,166,571
45,8280,9068,9609,4786,9066,254
46,59,987,11318,5987,6417,2637
47,8613,7028,5460,2357,5166,10349
48,302,6413,1498,1477,6497,4027
49,1987,2682,5907,2992,7567,125
50,2053,6366,8575,2412,589,3128
51,8725,10922,6369,6510,1684,870
52,6615,166,5193,571,294,6800
53,11167,10254,4256,2724,1024,2443
54,5572,7421,3181,2637,4786,7565
55,9077,5987,9066,5199,7028,8595
56,3792,6045,6773,987,3197,6413
57,1987,11304,5460,9068,59,6497
58,9200,4027,302,5166,8280,2682
59,11318,125,3847,1498,3932,254
60,7539,2992,589,4611,9023,2357
61,2053,5712,6417,9609,5907,8613
62,1714,7567,11167,10349,1477,2637
63,8575,5987,870,6800,7565,2443
64,6413,6773,5572,5199,5193,1024
65,166,6510,59,9068,3181,7028
66,294,4786,1684,571,5460,2682
67,3932,3128,8725,9077,4256,8280
68,6369,1498,11304,589,9066,5166
69,2412,3197,6497,10254,5907,2357
70,9609,9023,1987,3847,1477,4611
71,6366,10349,2724,8595,2992,987
72,3792,4027,6615,1714,6417,7539
73,10922,125,302,11318,5712,7421
74,254,7567,9200,8613,2053,6045
75,166,3128,2682,59,2443,6413
76,571,5166,3181,9068,3932,6773
77,870,2637,8280,294,2412,7028
78,9066,5193,5907,7565,4611,4256
79,3197,2357,1987,1498,4786,2724
80,10349,3847,10254,1684,6366,6417
81,11318,8595,6369,8725,6497,3792
82,4027,5199,5712,8575,254,11167
83,10922,9077,987,2053,302,5460
84,7539,5572,9023,5987,125,1714
85,7421,7567,1024,6800,9609,11304
86,1477,2992,9200,6510,589,6615
87,2637,8613,166,6045,2682,4786
88,6417,10349,294,4256,6413,9068
89,2724,3792,3181,5907,3847,571
90,254,59,2357,11167,8725,5166
91,7028,6497,2443,4611,1684,5712
92,10254,6773,2053,8595,9023,1498
93,6369,3128,5199,7567,9609,302
94,6800,2412,6510,4027,5460,11318
95,5987,7539,7421,3932,1987,5193
96,10922,2992,8613,1714,8575,9066
97,589,3197,1477,7565,987,8280
98,6366,6045,9077,6615,5572,11304
99,870,1024,3847,125,9200,166
100,2443,4786,10349,3792,5907,59
101,4256,2357,8595,2637,571,302
102,1684,2412,4027,3128,254,9023
103,2682,1498,8725,2724,9068,6800
104,7028,3932,2992,5193,2053,10922
105,5166,11318,3197,7567,8575,7539
106,8280,8613,1477,6773,11304,5987
107,6045,6615,5199,1024,1987,6497
108,125,294,9609,3181,9077,589
109,6417,4611,7421,9200,6366,1714
110,9066,5460,987,5572,11167,870
111,6413,6510,6369,5712,10254,7565
112,59,1684,6800,3792,302,3932
113,2637,2412,9068,2992,5193,2443
114,166,5907,6773,2357,8575,11318
115,1024,571,10349,1498,8280,10922
116,11304,4027,4786,8725,2053,125
117,3197,9609,9200,7028,4256,1714
118,6417,9066,11167,3181,3128,1987
119,254,8595,5712,2682,5572,589
120,4611,6413,5987,6615,6369,7567
121,7539,870,5166,9077,10254,1477
122,6045,7565,7421,294,5460,2724
123,9023,3847,8613,6497,6510,987
124,6366,2637,3792,166,5199,10922
