scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,11,,,,,,,,,,,,,,,,
MC,1,R2,176,,,,,,,,,,,,,,,,
AM,1,R3,272,,,,,,,,,,,,,,,,
BP,1,B1,303,,,,,,,,,,,,,,,,
AZ,1,B2,316,,,,,,,,,,,,,,,,
MH,1,B3,340,,,,,,,,,,,,,,,,
NS,2,R1,469,,,,,,,,,,,,,,,,
EC,2,R2,624,,,,,,,,,,,,,,,,
HR,2,R3,972,,,,,,,,,,,,,,,,
AD,2,B1,999,,,,,,,,,,,,,,,,
AM,2,B2,1058,,,,,,,,,,,,,,,,
BP,2,B3,1155,,,,,,,,,,,,,,,,
AM,3,R1,1156,,,,,,,,,,,,,,,,
HR,3,R2,1323,,,,,,,,,,,,,,,,
CC,3,R3,1325,,,,,,,,,,,,,,,,
AZ,3,B1,1538,,,,,,,,,,,,,,,,
JD,3,B2,1629,,,,,,,,,,,,,,,,
BP,3,B3,1676,,,,,,,,,,,,,,,,
CC,4,R1,1720,,,,,,,,,,,,,,,,
HR,4,R2,1727,,,,,,,,,,,,,,,,
AM,4,R3,1741,,,,,,,,,,,,,,,,
AD,4,B1,1880,,,,,,,,,,,,,,,,
BP,4,B2,1939,,,,,,,,,,,,,,,,
JD,4,B3,2073,,,,,,,,,,,,,,,,
HR,5,R1,2338,,,,,,,,,,,,,,,,
CC,5,R2,2399,,,,,,,,,,,,,,,,
AM,5,R3,2429,,,,,,,,,,,,,,,,
AZ,5,B1,2472,,,,,,,,,,,,,,,,
JD,5,B2,2530,,,,,,,,,,,,,,,,
BP,5,B3,2718,,,,,,,,,,,,,,,,
HR,6,R1,2883,,,,,,,,,,,,,,,,
BP,6,R2,3008,,,,,,,,,,,,,,,,
AM,6,R3,3100,,,,,,,,,,,,,,,,
CC,6,B1,3314,,,,,,,,,,,,,,,,
JD,6,B2,3339,,,,,,,,,,,,,,,,
AD,6,B3,3478,,,,,,,,,,,,,,,,
AM,7,R1,3538,,,,,,,,,,,,,,,,
CC,7,R2,3646,,,,,,,,,,,,,,,,
AZ,7,R3,3656,,,,,,,,,,,,,,,,
BP,7,B1,3880,,,,,,,,,,,,,,,,
JD,7,B2,3990,,,,,,,,,,,,,,,,
HR,7,B3,4028,,,,,,,,,,,,,,,,
HR,8,R1,4065,,,,,,,,,,,,,,,,
BP,8,R2,4188,,,,,,,,,,,,,,,,
JD,8,R3,4189,,,,,,,,,,,,,,,,
AM,8,B1,4414,,,,,,,,,,,,,,,,
AD,8,B2,4674,,,,,,,,,,,,,,,,
CC,8,B3,4678,,,,,,,,,,,,,,,,
HR,9,R1,5534,,,,,,,,,,,,,,,,
CC,9,R2,5550,,,,,,,,,,,,,,,,
JD,9,R3,5557,,,,,,,,,,,,,,,,
AM,9,B1,5813,,,,,,,,,,,,,,,,
BP,9,B2,5847,,,,,,,,,,,,,,,,
AZ,9,B3,5937,,,,,,,,,,,,,,,,
DK,10,R1,6017,,,,,,,,,,,,,,,,
GK,10,R2,6106,,,,,,,,,,,,,,,,
MY,10,R3,6391,,,,,,,,,,,,,,,,
RY,10,B1,6696,,,,,,,,,,,,,,,,
NS,10,B2,6919,,,,,,,,,,,,,,,,
MH,10,B3,6941,,,,,,,,,,,,,,,,
DK,11,R1,6998,,,,,,,,,,,,,,,,
NS,11,R2,7520,,,,,,,,,,,,,,,,
MY,11,R3,7632,,,,,,,,,,,,,,,,
RY,11,B1,7712,,,,,,,,,,,,,,,,
GK,11,B2,8393,,,,,,,,,,,,,,,,
CL,11,B3,8724,,,,,,,,,,,,,,,,
CC,12,R1,9094,,,,,,,,,,,,,,,,
AM,12,R2,9175,,,,,,,,,,,,,,,,
CL,12,R3,9545,,,,,,,,,,,,,,,,
BP,12,B1,10002,,,,,,,,,,,,,,,,
SBS,12,B2,10213,,,,,,,,,,,,,,,,
AZ,12,B3,10229,,,,,,,,,,,,,,,,
AM,13,R1,10619,,,,,,,,,,,,,,,,
SBS,13,R2,11141,,,,,,,,,,,,,,,,
BP,13,R3,11178,,,,,,,,,,,,,,,,
