"match","R1","R2","R3","B1","B2","B3"
1,9094,3339,3656,1323,1720,9175
2,10002,1155,469,1676,5847,3478
3,9545,3880,3990,11,10213,6919
4,1325,4028,4414,1880,340,624
5,972,10229,999,272,5550,1538
6,6941,1939,1058,3646,2399,4678
7,3314,3538,8393,1629,5813,5534
8,3008,4674,7520,2073,7632,4189
9,176,4065,6106,8724,2338,316
10,6998,7712,10619,2530,4188,2883
11,6391,11141,2472,6696,3100,6017
12,2718,5937,1727,1156,303,1741
13,2429,5557,9545,11178,3478,1325
14,3656,4414,1939,10002,10229,272
15,1676,5534,1538,2399,340,4028
16,3646,5550,1323,1629,4674,3990
17,7520,9175,5813,4678,11,2338
18,2073,6998,176,3880,1880,3339
19,7632,2883,8393,6017,6106,624
20,4189,1155,316,11141,5937,7712
21,3314,9094,999,11178,2530,2472
22,4065,6941,1156,3538,10213,972
23,3008,4188,5847,5557,1741,1058
24,1720,3100,6391,6919,10619,2718
25,1727,303,6696,469,2429,8724
26,5813,1538,6998,3990,176,9175
27,2338,272,2073,2399,624,3478
28,316,1323,7632,1880,8393,10002
29,2883,5937,1676,999,2472,11
30,972,1939,1629,340,9094,4674
31,2530,3880,11141,1741,9545,3646
32,7712,6941,10213,5550,5557,3100
33,4414,6017,11178,2718,4065,5534
34,4028,10229,1155,4678,1720,303
35,3538,6919,1727,3656,1325,3008
36,7520,5847,6391,8724,3314,1156
37,1058,3339,10619,469,6106,4189
38,11,2429,6696,4188,176,1939
39,2472,2883,1629,1880,1741,2338
40,9094,3646,3880,5813,316,5557
41,2073,11178,3100,1676,972,3990
42,1720,5534,1155,10002,4065,999
43,340,8393,9175,2718,3478,7712
44,272,7632,303,6998,3314,1325
45,4674,1058,6391,1538,1727,10213
46,6941,624,3656,6106,6696,5847
47,6919,1323,4188,10229,8724,11141
48,3538,2399,3339,9545,5937,7520
49,4414,4678,2429,10619,5550,3008
50,1156,469,4028,4189,2530,6017
51,2338,5813,3646,1155,1676,2718
52,8393,5557,4065,2472,1880,1939
53,316,1058,272,2883,3990,1720
54,5847,1325,4674,3100,11,5534
55,3314,2073,6919,9175,1538,6941
56,1727,4188,10229,3339,9545,7632
57,1741,10619,3656,11178,7520,340
58,1323,6696,2399,303,972,2530
59,9094,10002,5937,2429,6017,10213
60,176,3478,5550,4189,4028,3538
61,6998,624,1629,6391,3008,469
62,4414,8724,3880,7712,999,1156
63,4674,4678,5557,11141,6106,3314
64,5813,2472,4065,6919,1058,7632
65,10229,3646,2073,10619,1727,11
66,3339,5534,1741,6696,272,6941
67,2530,5847,1538,316,1939,2718
68,176,1323,9545,1155,7520,3100
69,6017,6998,3008,2399,1720,972
70,10213,340,1325,999,4189,2338
71,9094,2883,8724,469,3538,5550
72,11141,3990,2429,8393,4028,3656
73,1629,6106,1676,1156,4188,4414
74,7712,4678,1880,303,6391,3478
75,10002,11178,624,3880,9175,5937
76,2530,6919,4674,1155,272,176
77,1538,316,3314,3100,3339,1727
78,10213,6998,7520,10229,2718,2472
79,1720,340,2338,6696,9545,5550
80,1939,1325,11141,469,5813,2073
81,11,4189,6941,8393,4414,9094
82,3478,4065,3990,303,5847,2883
83,3656,1629,3880,5937,4678,7632
84,4028,3008,10002,4188,3646,11178
85,6106,2429,1741,999,6391,2399
86,8724,972,1880,5534,9175,10619
87,1323,3538,1676,624,1058,7712
88,6017,1156,1155,5557,2073,340
89,1727,6941,469,1720,2472,176
90,2883,7520,6696,4674,1538,4414
91,4065,4189,9545,272,1629,4678
92,10213,11178,303,3339,11141,5813
93,5550,8393,4188,6391,3880,1325
94,7632,10619,5847,4028,999,9175
95,3538,7712,6106,3646,10002,6998
96,2399,2718,11,5557,3656,972
97,3990,3008,1880,2338,9094,10229
98,8724,3478,1058,5937,3100,2530
99,5534,1156,2429,624,316,6919
100,1939,1676,3314,1741,6017,1323
101,340,469,4188,7520,272,4065
102,9545,303,999,6941,4674,8393
103,7712,6696,176,1325,2073,1629
104,2472,10619,3538,1538,1155,3880
105,3646,7632,1720,5847,10213,4414
106,3478,1880,5937,5813,3008,6106
107,3100,11141,10002,1156,2399,2883
108,1058,4189,10229,2429,3314,972
109,2718,8724,624,1939,3990,3339
110,9175,2530,1727,5550,6017,1676
111,4028,1741,4678,6998,6919,9094
112,6391,2338,5557,5534,3656,1323
113,316,11178,1720,11,1629,3538
114,5937,2472,340,5847,176,3646
115,10619,1156,272,3008,8393,6696
116,1880,1155,2399,4188,10213,3314
117,6106,303,3100,3880,1939,4189
118,1325,7520,2530,3990,10002,6941
119,972,7712,4028,9545,1727,5813
120,5534,999,5550,1058,3656,6998
121,5557,1676,11178,7632,6391,8724
122,9175,469,316,4674,1741,10229
123,3478,2338,6017,6919,4414,3339
124,4678,2718,2073,2883,1323,2429
125,624,11,9094,4065,1538,11141
