"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
16,9.41,97.62,-3.82,104.42,15.14,99.21,10.39,92.72
51,27.9,125.23,39.75,98.66,19.45,103.64,28.3,127.08
111,28.11,184.41,12.66,323.03,33.49,133.38,27.64,153.06
364,27.87,67.08,15.52,-24.49,27.05,93.62,30.74,91.05
449,36.11,154.65,18.05,157.5,39.4,152.18,39.27,150.9
484,32.7,146.68,23.87,125.93,31.33,136.21,34.84,155.03
614,21.26,54,-4.87,1.5,26.18,74.22,26.52,75.25
931,12.78,67.27,17.56,82.84,8.71,42.12,14.48,54.48
1023,39.66,117.3,61.38,160.95,30.85,83.25,36.61,99.74
1391,31.72,128.01,36.42,163.99,32.88,126.71,34.2,138.95
1403,26.95,114.52,15.67,71.68,29.28,122.15,25.3,122.98
1506,22.43,158.59,39.96,229.14,15.75,101.08,21.5,132.5
1533,15.68,72.81,16.52,95.88,19.16,87.88,17.24,79.76
1690,51.15,203.43,55.01,175.82,48.3,194.78,49.32,196.13
1756,21.42,156.03,34.2,200.86,18.54,127.18,19.93,148.27
1768,50.15,226.32,73.25,263.63,39.16,171.71,45.89,210.01
1816,11.66,39.35,7.55,47.71,10.24,36.46,12.23,42.72
2054,26.58,133.16,17.4,59.53,26.8,118.75,27.3,132.01
2231,57.42,184.94,70.18,229.48,47.18,178.59,59.84,186.84
2393,20.36,89.77,21.32,124.18,17.71,74.5,19.66,80.32
2468,33.73,175.23,51.3,238.28,22.35,146.95,30.14,152.05
2491,27.26,148.25,32.31,187.79,18.48,114.56,23.49,130.3
2556,25.55,110.38,35.77,158.01,17.21,90.09,24.5,97.41
2582,23.59,131.98,28.67,102.29,17.37,131.49,22.48,132.96
2590,34.48,116.04,39.56,163.55,29.01,99.29,34.13,114.25
2635,11.42,32.59,13.31,53.47,9.1,36.55,13.26,41.06
2813,30.96,152.81,31.61,154.98,27.62,147.82,30.09,149.95
3082,7.05,23.01,4.31,-19.1,8.9,52.27,9.94,46.33
3243,19.38,93.34,15.64,51.04,12.18,73.74,18.59,97.89
3501,23.06,171.22,23.81,285.14,17.31,118.54,22.64,154.97
3544,15.71,59.89,13.54,46.73,14.76,84.72,14.49,70.81
3753,13.93,112.28,9.02,171.35,12.81,79.81,14.52,92.7
3931,31.99,95.73,24.66,98.51,29.62,75.34,30.52,81.37
3937,23,175.67,27.81,202.87,21.08,137.83,23.76,161.35
4020,40.59,141.69,38.89,113.33,37.77,129.65,42.01,147.29
4087,24.74,96,26.49,115.09,25.49,102.95,25.36,91.46
4125,12.72,50.9,1.52,69.86,17.05,46.61,15.38,59.61
4322,37.59,132.43,49.31,151.79,32.49,113.8,36.8,117.98
4450,28.74,71.71,31.2,-1.62,26.87,82.04,29.89,85.5
4469,24.4,165.06,27.86,144.57,24.17,166.88,24.45,169.78
4607,29.28,93.01,43.78,85.38,20.59,91.13,27.24,98.49
4655,25.85,100.69,38.58,8.6,23.2,116.4,24.43,113.49
4766,14.3,108.55,11.36,79.47,9.49,102.18,14.78,106.35
5181,16.68,63.27,9.01,22.74,19.04,80.87,18.28,71.77
5577,8.81,60.7,5.74,71.29,5.74,57.71,11.02,70.07
5653,18.06,99.18,10.89,124.91,18.73,83.16,18.16,100.64
5705,5.26,4.02,4.33,-43.65,6.72,14.02,6.17,13.68
5895,43.06,148.95,43.07,156.09,48.32,141.22,44.75,141.41
5913,32.94,141.14,61.63,202.68,19.36,95.87,33.1,124.52
6201,8.36,36.52,2.18,58.06,8.77,19.35,9.95,35.53
6429,18.53,65.58,20.12,-2.48,23.22,86.09,20.71,84.39
6487,16.65,93.71,18.39,68.51,16.75,89.93,13.76,86.81
6528,26.5,92.71,41.07,167.6,17.94,62.4,22.7,82.97
6665,5.35,36.76,-4.51,44.18,6.48,22.26,4.93,33.35
6911,10.83,63.52,4.66,66.85,11.32,59.5,10.44,64.06
6985,37.75,100.23,37.72,129.6,38,96.01,38.58,103.65
7183,22.17,136.91,17.48,95.1,20.28,119.59,23.17,136.5
7415,59.27,165.94,73.75,222.18,47.4,100.53,54.68,138.83
7769,64.12,256.26,61.55,272.07,59.23,227.23,61.15,250.98
7840,21.23,67.12,13.86,8.26,26.66,90.19,23.61,81.23
7915,21.48,103.51,10.08,106.59,25.38,106.19,22.94,100.2
8069,17.67,38.28,20.98,48.43,11.07,18.14,15.99,24.77
8119,16.89,147.46,16.36,175.05,12.94,100.6,16.68,139.41
8159,38.77,137.78,35.55,183.67,36.37,112.76,38.75,137.69
8229,20.68,120.97,37.29,193.42,17.83,60.75,19.23,103.63
8858,18.86,110.88,29.19,70.23,12.01,99.3,16.6,101.66
9496,56.91,194.74,62.65,180.75,53.71,189.52,59.63,205.71
9572,31.28,122.87,49.07,126.75,20.91,115.43,27.16,119.05
10034,12.48,20.43,5.31,-25.58,10.52,16.97,12.83,32.83
10980,24.95,94.3,27.05,90.05,14.93,51.85,24.67,76.64
10991,14.54,14.61,25.02,-34.32,11.19,30.35,13.14,30.29
11214,6.19,5.3,9.25,-7.45,3.05,2.69,3.14,5.78
11242,8.17,31.07,-0.93,37.71,8.81,44.99,10.76,45.83
11244,5.14,19.45,-14.11,-9.35,9.63,26.31,6.11,20.45
11417,10.87,25.39,34.54,40.98,4.62,29.62,9.49,34.38
