"team","match_key","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
16,"2026gal_qm3",15.14,99.21,10.39,92.72
51,"2026gal_qm8",19.45,103.64,28.3,127.08
111,"2026gal_qm11",33.49,133.38,27.64,153.06
364,"2026gal_qm5",27.05,93.62,30.74,91.05
449,"2026gal_qm3",39.4,152.18,39.27,150.9
484,"2026gal_qm7",31.33,136.21,34.84,155.03
614,"2026gal_qm10",26.18,74.22,26.52,75.25
931,"2026gal_qm13",8.71,42.12,14.48,54.48
1023,"2026gal_qm8",30.85,83.25,36.61,99.74
1391,"2026gal_qm8",32.88,126.71,34.2,138.95
1403,"2026gal_qm12",29.28,122.15,25.3,122.98
1506,"2026gal_qm8",15.75,101.08,21.5,132.5
1533,"2026gal_qm9",19.16,87.88,17.24,79.76
1690,"2026gal_qm12",48.3,194.78,49.32,196.13
1756,"2026gal_qm4",18.54,127.18,19.93,148.27
1768,"2026gal_qm11",39.16,171.71,45.89,210.01
1816,"2026gal_qm4",10.24,36.46,12.23,42.72
2054,"2026gal_qm11",26.8,118.75,27.3,132.01
2231,"2026gal_qm9",47.18,178.59,59.84,186.84
2393,"2026gal_qm6",17.71,74.5,19.66,80.32
2468,"2026gal_qm5",22.35,146.95,30.14,152.05
2491,"2026gal_qm1",18.48,114.56,23.49,130.3
2556,"2026gal_qm5",17.21,90.09,24.5,97.41
2582,"2026gal_qm2",17.37,131.49,22.48,132.96
2590,"2026gal_qm10",29.01,99.29,34.13,114.25
2635,"2026gal_qm3",9.1,36.55,13.26,41.06
2813,"2026gal_qm2",27.62,147.82,30.09,149.95
3082,"2026gal_qm7",8.9,52.27,9.94,46.33
3243,"2026gal_qm9",12.18,73.74,18.59,97.89
3501,"2026gal_qm6",17.31,118.54,22.64,154.97
3544,"2026gal_qm12",14.76,84.72,14.49,70.81
3753,"2026gal_qm7",12.81,79.81,14.52,92.7
3931,"2026gal_qm4",29.62,75.34,30.52,81.37
3937,"2026gal_qm6",21.08,137.83,23.76,161.35
4020,"2026gal_qm7",37.77,129.65,42.01,147.29
4087,"2026gal_qm12",25.49,102.95,25.36,91.46
4125,"2026gal_qm5",17.05,46.61,15.38,59.61
4322,"2026gal_qm13",32.49,113.8,36.8,117.98
4450,"2026gal_qm1",26.87,82.04,29.89,85.5
4469,"2026gal_qm10",24.17,166.88,24.45,169.78
4607,"2026gal_qm5",20.59,91.13,27.24,98.49
4655,"2026gal_qm6",23.2,116.4,24.43,113.49
4766,"2026gal_qm12",9.49,102.18,14.78,106.35
5181,"2026gal_qm8",19.04,80.87,18.28,71.77
5577,"2026gal_qm8",5.74,57.71,11.02,70.07
5653,"2026gal_qm10",18.73,83.16,18.16,100.64
5705,"2026gal_qm7",6.72,14.02,6.17,13.68
5895,"2026gal_qm2",48.32,141.22,44.75,141.41
5913,"2026gal_qm7",19.36,95.87,33.1,124.52
6201,"2026gal_qm10",8.77,19.35,9.95,35.53
6429,"2026gal_qm3",23.22,86.09,20.71,84.39
6487,"2026gal_qm3",16.75,89.93,13.76,86.81
6528,"2026gal_qm4",17.94,62.4,22.7,82.97
6665,"2026gal_qm1",6.48,22.26,4.93,33.35
6911,"2026gal_qm11",11.32,59.5,10.44,64.06
6985,"2026gal_qm6",38,96.01,38.58,103.65
7183,"2026gal_qm4",20.28,119.59,23.17,136.5
7415,"2026gal_qm10",47.4,100.53,54.68,138.83
7769,"2026gal_qm3",59.23,227.23,61.15,250.98
7840,"2026gal_qm12",26.66,90.19,23.61,81.23
7915,"2026gal_qm2",25.38,106.19,22.94,100.2
8069,"2026gal_qm1",11.07,18.14,15.99,24.77
8119,"2026gal_qm5",12.94,100.6,16.68,139.41
8159,"2026gal_qm13",36.37,112.76,38.75,137.69
8229,"2026gal_qm11",17.83,60.75,19.23,103.63
8858,"2026gal_qm4",12.01,99.3,16.6,101.66
9496,"2026gal_qm9",53.71,189.52,59.63,205.71
9572,"2026gal_qm2",20.91,115.43,27.16,119.05
10034,"2026gal_qm6",10.52,16.97,12.83,32.83
10980,"2026gal_qm9",14.93,51.85,24.67,76.64
10991,"2026gal_qm1",11.19,30.35,13.14,30.29
11214,"2026gal_qm1",3.05,2.69,3.14,5.78
11242,"2026gal_qm2",8.81,44.99,10.76,45.83
11244,"2026gal_qm11",9.63,26.31,6.11,20.45
11417,"2026gal_qm9",4.62,29.62,9.49,34.38
