"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,88,80,20,97
2,46,313,76,294
3,82,423,15,131
4,55,374,46,306
5,75,366,109,358
6,74,346,91,409
7,127,405,33,134
8,113,349,103,388
9,122,375,103,376
10,91,388,15,319
11,52,367,27,553
12,60,244,28,187
13,133,464,79,611
14,61,368,108,384
15,60,283,116,614
16,50,359,106,211
17,17,47,114,393
18,103,415,46,392
19,102,305,60,328
20,64,211,111,418
21,143,584,142,582
22,58,380,115,394
23,115,348,16,69
24,96,333,44,298
25,16,29,59,331
26,79,363,53,282
27,37,187,70,184
28,107,527,65,313
29,59,128,142,329
30,102,441,85,341
31,142,696,70,382
32,56,259,40,280
33,56,226,19,115
34,17,110,77,287
35,60,407,54,153
36,107,418,125,526
37,162,536,68,333
38,22,330,86,411
39,82,408,77,377
40,85,303,132,630
41,43,210,111,638
42,81,283,126,467
43,70,194,77,246
44,52,248,81,383
45,92,346,115,336
46,90,349,132,474
47,35,204,83,235
48,106,317,37,88
49,150,496,101,326
50,15,73,84,267
51,86,247,81,503
52,144,410,151,440
53,73,230,76,434
54,75,275,67,303
55,61,251,93,355
56,46,98,145,513
57,11,45,87,169
58,78,262,75,230
59,71,399,57,422
60,51,423,93,287
61,67,256,23,89
62,129,626,22,39
63,116,459,83,406
