scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,188,,,,,,,,,,,,,,,,
MC,1,R2,238,,,,,,,,,,,,,,,,
AM,1,R3,401,,,,,,,,,,,,,,,,
BP,1,B1,494,,,,,,,,,,,,,,,,
AZ,1,B2,503,,,,,,,,,,,,,,,,
MH,1,B3,540,,,,,,,,,,,,,,,,
NS,2,R1,573,,,,,,,,,,,,,,,,
EC,2,R2,581,,,,,,,,,,,,,,,,
HR,2,R3,761,,,,,,,,,,,,,,,,
AD,2,B1,910,,,,,,,,,,,,,,,,
AM,2,B2,1014,,,,,,,,,,,,,,,,
BP,2,B3,1259,,,,,,,,,,,,,,,,
AM,3,R1,1287,,,,,,,,,,,,,,,,
HR,3,R2,1296,,,,,,,,,,,,,,,,
CC,3,R3,1625,,,,,,,,,,,,,,,,
AZ,3,B1,1701,,,,,,,,,,,,,,,,
JD,3,B2,1706,,,,,,,,,,,,,,,,
BP,3,B3,1710,,,,,,,,,,,,,,,,
CC,4,R1,1732,,,,,,,,,,,,,,,,
HR,4,R2,1787,,,,,,,,,,,,,,,,
AM,4,R3,1986,,,,,,,,,,,,,,,,
AD,4,B1,2056,,,,,,,,,,,,,,,,
BP,4,B2,2102,,,,,,,,,,,,,,,,
JD,4,B3,2199,,,,,,,,,,,,,,,,
HR,5,R1,2220,,,,,,,,,,,,,,,,
CC,5,R2,2383,,,,,,,,,,,,,,,,
AM,5,R3,2486,,,,,,,,,,,,,,,,
AZ,5,B1,2607,,,,,,,,,,,,,,,,
JD,5,B2,2659,,,,,,,,,,,,,,,,
BP,5,B3,2834,,,,,,,,,,,,,,,,
HR,6,R1,3015,,,,,,,,,,,,,,,,
BP,6,R2,3035,,,,,,,,,,,,,,,,
AM,6,R3,3175,,,,,,,,,,,,,,,,
CC,6,B1,3297,,,,,,,,,,,,,,,,
JD,6,B2,3467,,,,,,,,,,,,,,,,
AD,6,B3,3506,,,,,,,,,,,,,,,,
AM,7,R1,3512,,,,,,,,,,,,,,,,
CC,7,R2,3539,,,,,,,,,,,,,,,,
AZ,7,R3,3641,,,,,,,,,,,,,,,,
BP,7,B1,4143,,,,,,,,,,,,,,,,
JD,7,B2,4174,,,,,,,,,,,,,,,,
HR,7,B3,4191,,,,,,,,,,,,,,,,
HR,8,R1,4201,,,,,,,,,,,,,,,,
BP,8,R2,4613,,,,,,,,,,,,,,,,
JD,8,R3,4698,,,,,,,,,,,,,,,,
AM,8,B1,5000,,,,,,,,,,,,,,,,
AD,8,B2,5086,,,,,,,,,,,,,,,,
CC,8,B3,5348,,,,,,,,,,,,,,,,
HR,9,R1,5406,,,,,,,,,,,,,,,,
CC,9,R2,5454,,,,,,,,,,,,,,,,
JD,9,R3,6121,,,,,,,,,,,,,,,,
AM,9,B1,6152,,,,,,,,,,,,,,,,
BP,9,B2,6200,,,,,,,,,,,,,,,,
AZ,9,B3,6328,,,,,,,,,,,,,,,,
DK,10,R1,6329,,,,,,,,,,,,,,,,
GK,10,R2,6517,,,,,,,,,,,,,,,,
MY,10,R3,6639,,,,,,,,,,,,,,,,
RY,10,B1,7287,,,,,,,,,,,,,,,,
NS,10,B2,7451,,,,,,,,,,,,,,,,
MH,10,B3,8005,,,,,,,,,,,,,,,,
DK,11,R1,8044,,,,,,,,,,,,,,,,
NS,11,R2,8214,,,,,,,,,,,,,,,,
MY,11,R3,8267,,,,,,,,,,,,,,,,
RY,11,B1,8513,,,,,,,,,,,,,,,,
GK,11,B2,8749,,,,,,,,,,,,,,,,
CL,11,B3,9449,,,,,,,,,,,,,,,,
CC,12,R1,9692,,,,,,,,,,,,,,,,
AM,12,R2,9785,,,,,,,,,,,,,,,,
CL,12,R3,10131,,,,,,,,,,,,,,,,
BP,12,B1,10907,,,,,,,,,,,,,,,,
SBS,12,B2,11024,,,,,,,,,,,,,,,,
AZ,12,B3,11118,,,,,,,,,,,,,,,,
AM,13,R1,11270,,,,,,,,,,,,,,,,
SBS,13,R2,11303,,,,,,,,,,,,,,,,
BP,13,R3,11493,,,,,,,,,,,,,,,,
