scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,8,,,,,,,,,,,,,,,,
MC,1,R2,33,,,,,,,,,,,,,,,,
AM,1,R3,48,,,,,,,,,,,,,,,,
BP,1,B1,67,,,,,,,,,,,,,,,,
AZ,1,B2,117,,,,,,,,,,,,,,,,
MH,1,B3,118,,,,,,,,,,,,,,,,
NS,2,R1,179,,,,,,,,,,,,,,,,
EC,2,R2,190,,,,,,,,,,,,,,,,
HR,2,R3,245,,,,,,,,,,,,,,,,
AD,2,B1,321,,,,,,,,,,,,,,,,
AM,2,B2,334,,,,,,,,,,,,,,,,
BP,2,B3,360,,,,,,,,,,,,,,,,
AM,3,R1,422,,,,,,,,,,,,,,,,
HR,3,R2,498,,,,,,,,,,,,,,,,
CC,3,R3,619,,,,,,,,,,,,,,,,
AZ,3,B1,772,,,,,,,,,,,,,,,,
JD,3,B2,836,,,,,,,,,,,,,,,,
BP,3,B3,955,,,,,,,,,,,,,,,,
CC,4,R1,1002,,,,,,,,,,,,,,,,
HR,4,R2,1073,,,,,,,,,,,,,,,,
AM,4,R3,1076,,,,,,,,,,,,,,,,
AD,4,B1,1306,,,,,,,,,,,,,,,,
BP,4,B2,1792,,,,,,,,,,,,,,,,
JD,4,B3,1908,,,,,,,,,,,,,,,,
HR,5,R1,2040,,,,,,,,,,,,,,,,
CC,5,R2,2096,,,,,,,,,,,,,,,,
AM,5,R3,2252,,,,,,,,,,,,,,,,
AZ,5,B1,2337,,,,,,,,,,,,,,,,
JD,5,B2,2522,,,,,,,,,,,,,,,,
BP,5,B3,2619,,,,,,,,,,,,,,,,
HR,6,R1,2638,,,,,,,,,,,,,,,,
BP,6,R2,2704,,,,,,,,,,,,,,,,
AM,6,R3,2848,,,,,,,,,,,,,,,,
CC,6,B1,2877,,,,,,,,,,,,,,,,
JD,6,B2,3061,,,,,,,,,,,,,,,,
AD,6,B3,3255,,,,,,,,,,,,,,,,
AM,7,R1,3414,,,,,,,,,,,,,,,,
CC,7,R2,3536,,,,,,,,,,,,,,,,
AZ,7,R3,3603,,,,,,,,,,,,,,,,
BP,7,B1,3620,,,,,,,,,,,,,,,,
JD,7,B2,3630,,,,,,,,,,,,,,,,
HR,7,B3,3770,,,,,,,,,,,,,,,,
HR,8,R1,4391,,,,,,,,,,,,,,,,
BP,8,R2,4451,,,,,,,,,,,,,,,,
JD,8,R3,4522,,,,,,,,,,,,,,,,
AM,8,B1,4635,,,,,,,,,,,,,,,,
AD,8,B2,4946,,,,,,,,,,,,,,,,
CC,8,B3,4967,,,,,,,,,,,,,,,,
HR,9,R1,5026,,,,,,,,,,,,,,,,
CC,9,R2,5968,,,,,,,,,,,,,,,,
JD,9,R3,6324,,,,,,,,,,,,,,,,
AM,9,B1,6652,,,,,,,,,,,,,,,,
BP,9,B2,6766,,,,,,,,,,,,,,,,
AZ,9,B3,6829,,,,,,,,,,,,,,,,
DK,10,R1,6940,,,,,,,,,,,,,,,,
GK,10,R2,7220,,,,,,,,,,,,,,,,
MY,10,R3,7257,,,,,,,,,,,,,,,,
RY,10,B1,7403,,,,,,,,,,,,,,,,
NS,10,B2,7551,,,,,,,,,,,,,,,,
MH,10,B3,7558,,,,,,,,,,,,,,,,
DK,11,R1,7563,,,,,,,,,,,,,,,,
NS,11,R2,8612,,,,,,,,,,,,,,,,
MY,11,R3,9072,,,,,,,,,,,,,,,,
RY,11,B1,9277,,,,,,,,,,,,,,,,
GK,11,B2,9483,,,,,,,,,,,,,,,,
CL,11,B3,9484,,,,,,,,,,,,,,,,
CC,12,R1,9597,,,,,,,,,,,,,,,,
AM,12,R2,9646,,,,,,,,,,,,,,,,
CL,12,R3,9757,,,,,,,,,,,,,,,,
BP,12,B1,10014,,,,,,,,,,,,,,,,
SBS,12,B2,10114,,,,,,,,,,,,,,,,
AZ,12,B3,10217,,,,,,,,,,,,,,,,
AM,13,R1,10340,,,,,,,,,,,,,,,,
SBS,13,R2,10396,,,,,,,,,,,,,,,,
BP,13,R3,11269,,,,,,,,,,,,,,,,
