"match","R1","R2","R3","B1","B2","B3"
1,422,1908,1076,179,6940,6652
2,7563,2704,7551,11269,2337,4635
3,4451,619,6766,5026,3414,190
4,9484,360,955,3603,2619,2877
5,10014,9597,3536,4967,1002,9757
6,5968,3620,10217,7220,3255,117
7,6829,2638,3630,4391,2096,33
8,48,7403,10114,1073,7257,6324
9,9277,7558,2040,67,118,1792
10,10396,245,9072,836,9483,1306
11,3770,10340,2522,334,321,8
12,2252,2848,8612,9646,772,3061
13,2619,4522,4946,498,179,4967
14,5026,3620,117,9484,2877,2704
15,6829,2096,5968,11269,955,1908
16,3255,2337,3630,7403,422,7257
17,3536,1073,360,2638,4635,6652
18,1306,9277,10114,190,836,10014
19,334,10396,118,4451,7563,9072
20,6324,6940,9597,9646,2522,3414
21,10340,498,2848,3770,7220,7558
22,3061,67,10217,48,3603,1076
23,4522,33,772,6766,8,2040
24,7551,9757,8612,1792,4946,9483
25,1002,245,321,619,2252,4391
26,3255,10114,4967,2704,2096,179
27,117,7257,1306,11269,3536,7563
28,6652,2877,334,9277,6829,7403
29,2522,190,2619,2638,422,10396
30,3603,118,10340,498,3630,5026
31,8,5968,7558,9597,9484,48
32,8612,955,4946,1076,10014,3414
33,67,6324,1908,4635,2252,3770
34,10217,33,1073,321,619,9646
35,4391,9483,7551,360,2848,772
36,7220,245,4451,2337,4522,3061
37,3620,1792,1002,6766,9072,6940
38,836,2040,498,9757,2522,6829
39,4967,5026,48,117,422,11269
40,7257,9597,6652,190,8612,2096
41,7403,3414,118,3770,5968,10396
42,2619,10014,9646,3630,7558,2704
43,619,9277,2848,8,360,1076
44,67,245,3603,3536,7551,33
45,6766,4635,4946,2877,10114,4391
46,7563,2040,321,3061,9483,179
47,2337,7220,1792,836,2638,2252
48,1002,1306,334,955,6324,3620
49,9757,1908,1073,9072,10340,4522
50,6940,772,9484,4451,3255,10217
51,9597,2704,117,7403,2848,3770
52,4967,6652,619,5968,7551,498
53,118,6829,2619,48,6766,3536
54,33,5026,2522,4635,1076,7257
55,179,836,11269,7558,8612,4391
56,3630,67,422,1002,360,7220
57,10340,7563,9646,9277,955,245
58,334,9484,2638,321,4946,1306
59,8,3061,6324,10396,9757,3255
60,2096,10217,3414,1073,1792,4522
61,2252,9072,190,6940,2877,2040
62,772,3603,2337,1908,10114,3620
63,9483,4451,117,10014,619,6829
64,2619,6652,7551,3770,1002,5026
65,11269,6766,360,2522,7220,9597
66,4391,5968,2704,67,334,7257
67,422,955,836,118,3061,4946
68,9757,9277,3414,3255,33,2848
69,10396,4967,6940,245,8612,4635
70,7558,1076,321,2877,1306,2337
71,2252,10217,498,2096,10014,9072
72,179,4451,772,2638,1073,3603
73,10114,3536,6324,2040,10340,9484
74,7403,7563,3630,1792,8,1908
75,9483,9646,48,4522,190,3620
76,5968,360,3255,4946,5026,6829
77,955,3770,67,619,6940,836
78,6766,9757,245,6652,117,7558
79,1002,10396,11269,33,2337,498
80,3061,2638,9277,9072,10217,9597
81,2877,8612,2522,10114,4451,118
82,4635,2096,7403,772,2619,10340
83,3536,2252,334,3630,3414,9483
84,3620,179,10014,7551,7257,8
85,1908,4967,7220,2040,1306,9646
86,2848,3603,422,6324,4522,7563
87,1792,1076,190,1073,9484,4391
88,321,9072,33,2704,48,955
89,6940,7558,1002,10114,117,3061
90,10340,4946,2877,9597,10396,619
91,2638,7403,6766,9483,498,67
92,7257,2619,2096,836,8,4451
93,3536,5026,4635,9646,9277,179
94,1306,4522,3255,7551,2522,2252
95,9484,1076,3620,245,11269,3770
96,190,1073,6829,2848,7563,4967
97,48,1792,10014,360,334,1908
98,6324,4391,9757,10217,2337,118
99,3414,772,6652,321,3630,7220
100,8612,3603,2704,422,2040,5968
101,7257,33,2877,10340,6940,9483
102,4946,2522,619,7558,7403,3536
103,8,9646,5026,9072,67,10114
104,955,4967,2252,10396,6766,9484
105,6829,3061,9597,3620,7551,1073
106,1306,3770,9757,2096,48,360
107,4522,11269,4451,6652,321,1792
108,1076,6324,836,772,117,5968
109,10014,4391,7220,7563,3255,3603
110,118,190,2638,2704,1908,1002
111,2337,334,9277,8612,498,2619
112,2040,4635,3630,245,2848,10217
113,179,422,9072,3414,6829,9484
114,5026,9483,1073,2522,7558,955
115,1792,3770,7257,2877,9646,4967
116,360,836,4522,33,3620,7403
117,1076,7551,10396,7220,3536,2096
118,117,118,8,3603,6652,2252
119,619,1002,7563,772,48,8612
120,4946,2704,245,4451,6324,9277
121,3414,4391,3061,1908,1306,2619
122,10114,3630,6940,9757,5968,2638
123,190,179,67,10217,11269,10340
124,498,321,4635,3255,9597,422
125,2848,2040,2337,10014,334,6766
