scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,,,,
BS,1,R1,888,C,FALSE,3,FALSE,FALSE,8,5,1,4,0,No,FALSE,1,4,FALSE,FALSE,No Card,Very good passing and scored their full hopper every time ,,,,
AD,1,R1,1389,M,FALSE,,FALSE,FALSE,2,0,0,1,8,No,FALSE,5,3,FALSE,FALSE,No Card,,,,,
AC,1,R1,11318,M,FALSE,2,FALSE,FALSE,0,4,0,0,0,No,FALSE,2,1,FALSE,FALSE,No Card,I think it was trying to bulldoze? Very ineffective ,,,,
HR,1,R2,7886,F,FALSE,,FALSE,FALSE,0,8,0,0,0,No,FALSE,"2,4,5",3,FALSE,FALSE,No Card,"No auto, Plow broke",,,,
BP,1,R1,1446,C,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,
AZ,1,B3,6882,F,FALSE,,FALSE,FALSE,1,2,2,1,2,No,FALSE,2,3,FALSE,FALSE,No Card,"Very small hopper, played defense pushed balls over bump and made sure other robots don»t enter their zone",,,,
AC,2,R1,3373,F,FALSE,1,FALSE,FALSE,5,0,4,3,3,No,FALSE,6,3,FALSE,FALSE,No Card,3373 very slow intake ,,,,
HR,2,R1,2421,M,FALSE,,FALSE,FALSE,0,3,3,1,7,No,FALSE,6,2,FALSE,FALSE,No Card,No auto,,,,
BS,2,R1,4464,C,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,3,TRUE,FALSE,No Card,,,,,
BP,2,R1,2186,C,FALSE,,FALSE,FALSE,2,6,0,1,0,F,FALSE,1,3,FALSE,FALSE,No Card,Slow rate of fire and imtaking,,,,
AZ,2,B3,116,F,FALSE,,FALSE,FALSE,0,0,6,0,4,L1,TRUE,2,2,FALSE,FALSE,No Card,Robot swerve looked broken near the end,,,,
AD,2,R1,4821,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,
HR,3,R1,4472,F,FALSE,3,FALSE,FALSE,10,6,0,4,2,No,FALSE,"1,6",4,FALSE,FALSE,No Card,Some inaccuracy,,,,
AZ,3,B3,5243,F,FALSE,,FALSE,TRUE,2,10,0,2,4,L1,FALSE,2,2,FALSE,FALSE,No Card,,,,,
AC,3,R1,5549,C,FALSE,3,FALSE,FALSE,10,8,0,6,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,Poomfs kinda slow,,,,
BP,3,R1,3714,M,FALSE,,FALSE,FALSE,0,2,2,0,0,No,FALSE,3,2,FALSE,FALSE,No Card,"Evidently tank, couldn»t shoot, got beached a couple of times",,,,
BS,3,R1,2537,C,FALSE,3,FALSE,FALSE,0,6,0,2,3,No,FALSE,1,4,FALSE,FALSE,No Card,Got caught under the trench during auto and had some trouble shooting in tele,,,,
AD,3,R1,2900,M,FALSE,,FALSE,FALSE,2,10,0,0,0,No,FALSE,1,3,FALSE,FALSE,No Card,"Shooter jammed, made 0 balls in tele op, gave up on shooting and started passing",,,,
HR,4,R2,5841,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,No auto,,,,
BP,4,R1,1721,C,FALSE,3,FALSE,FALSE,10,5,0,5,0,No,FALSE,"3,5",4,FALSE,TRUE,No Card,Good effectiveness in many things,,,,
AW,4,R1,1727,F,FALSE,,FALSE,FALSE,0,6,4,3,5,No,FALSE,"1,6",3,FALSE,FALSE,No Card,,,,,
AD,4,R1,4638,,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,BS,1,R1,4456,They»re shooter wasn»t working so they played defense the whole match
AZ,4,B3,449,F,FALSE,3,FALSE,FALSE,10,10,0,3,8,No,FALSE,2,5,FALSE,FALSE,No Card,"Shooter inertia decreases rapidly near the end of the match, shooter had trouble ",,,,
BS,4,R1,4456,M,FALSE,,FALSE,FALSE,3,4,0,0,1,No,FALSE,4,4,FALSE,FALSE,No Card,They»re shooter wasn»t working so they played defense the whole match,,,,
HR,5,R2,2914,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,
AW,5,R1,5353,C,FALSE,3,FALSE,FALSE,13,8,2,5,4,No,FALSE,"1,6",3,FALSE,FALSE,No Card,Bad piece security,,,,
BP,5,R1,2988,M,FALSE,,FALSE,FALSE,6,11,0,0,7,No,FALSE,"3,4,5",2,FALSE,FALSE,No Card,Played defense almost the whole time,,,,
BS,5,R1,5338,C,FALSE,3,FALSE,FALSE,0,5,2,5,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,Played a good game overall auto probably would»ve been good but crashed into trench on the way back,,,,
AD,5,R1,8590,M,FALSE,,FALSE,FALSE,0,9,0,1,0,No,FALSE,"3,4,5",5,FALSE,FALSE,No Card,Intake broke and maybe shooter broke. But the driver figured things out and played really defense,,,,
AZ,5,B3,5587,F,FALSE,,FALSE,FALSE,0,0,3,0,2,No,FALSE,6,1,FALSE,FALSE,No Card,"Only like a few balls shot most were stuck inside hopper, indexer didn»t work and made contact with alliance partner in auto",,,,
AZ,6,B3,4472,F,FALSE,3,FALSE,FALSE,13,6,0,4,4,No,FALSE,1,3,FALSE,FALSE,No Card,,,,,
BS,6,R1,4821,M,FALSE,,FALSE,FALSE,4,4,3,0,0,No,FALSE,"3,4",4,FALSE,FALSE,No Card,Very small hopper,,,,
BP,6,R1,2912,M,FALSE,,FALSE,FALSE,0,0,5,0,0,No,FALSE,3,1,FALSE,FALSE,No Card,"Struggled to get over bump, didn»t shoot at all",,,,
AD,6,R1,11211,C,FALSE,,FALSE,FALSE,0,0,1,0,1,No,FALSE,,1,TRUE,FALSE,No Card,"Died before first inactive period, dangling wires, cardboard hopper held together with tape.",,,,
AW,6,R1,4464,F,FALSE,,FALSE,FALSE,3,2,0,0,3,No,FALSE,,2,FALSE,FALSE,No Card,"Tried to intake during inactive, but mostly just slowly spun around",,,,
HR,6,R2,6239,C,FALSE,3,FALSE,FALSE,5,6,0,0,5,No,FALSE,"2,6",2,FALSE,FALSE,No Card,"Inaccurate auto, shooter malfunction",,,,
AW,7,R1,2537,F,FALSE,"3,1",FALSE,FALSE,15,6,0,5,3,No,FALSE,"1,6",3,FALSE,FALSE,No Card,,,,,
HR,7,R2,888,F,FALSE,,FALSE,FALSE,10,7,3,4,0,No,FALSE,"1,6",4,FALSE,FALSE,No Card,Inaccurate auto,,,,
BP,7,R1,5549,M,FALSE,,FALSE,FALSE,4,2,1,3,6,No,FALSE,"5,6",3,FALSE,TRUE,No Card,Net makes trench slightly inconsistent ,,,,
AD,7,R1,3373,C,FALSE,1,FALSE,FALSE,7,0,6,4,4,No,FALSE,"1,5",4,FALSE,FALSE,No Card,,,,,
BS,7,R1,6882,M,FALSE,,FALSE,FALSE,0,4,2,2,2,No,FALSE,2,1,FALSE,FALSE,No Card,Small hopper didn»t really score that much,,,,
