"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
116,9.36,22,11.2,25.65,2.98,12.54,8.59,24.67
449,25.95,104.73,30.33,118.95,10.38,73.11,24.7,108.62
888,24.71,91.95,25.53,103.5,19.09,66.21,24.87,92.41
1389,8.08,46.97,7.3,57.26,7.58,27.68,8.5,48.75
1446,4.46,1.83,4.03,-8.05,4.75,17.34,5.54,6.95
1727,8.25,68.52,5.2,74.67,15.59,56.91,9.72,77.54
1731,19.51,93.99,20.34,103.72,15.92,68.56,18.58,92.77
2186,9.41,13.6,10.2,10.3,6.13,16.96,9.08,18.56
2421,3.1,14.26,1.23,17.84,6.89,4.92,5.81,16.55
2537,29.46,64.27,33.04,65.74,16.46,53.72,27.18,66.52
2900,10.44,19.12,10.5,23.64,6.99,6.25,11.21,20.53
2912,2.03,-5.72,2.21,-12.4,0,0,2.99,-5.25
2914,6.8,20.29,6.37,18.37,6.38,23.28,6.66,16.22
2988,3.68,11.95,2.58,4.54,5.48,15.96,5.67,14.65
3373,6.34,43.57,6.88,45.02,3.97,38.89,5.87,40.88
3714,3.41,24.42,1.66,27.72,5.39,19.69,6.05,27.99
4456,9.47,32.14,9.95,35.82,6.71,24.47,9.28,36.87
4464,3.6,13.46,3.96,10.61,1.99,16.85,4.39,17.32
4472,13.47,52.54,14.88,51.24,9.14,50.95,13.02,55.25
4638,3.7,12.12,3.17,5.01,3.48,19.73,4.28,14.09
4821,7.68,12.76,8.05,6.25,5.9,20.36,7.45,15.94
5243,9.52,40.77,10.29,41.46,6.09,35.01,9.59,46.66
5338,13.14,77.41,11.35,84.92,16.64,58.44,15.96,78.56
5353,9.92,35.72,10.19,35.76,11.07,31.82,9.26,43.02
5549,18.03,77.3,19.42,91.52,11.82,46.49,16.64,81.56
5587,8.98,31.05,8.85,35.32,5.98,15.82,10.54,30.11
5841,5.39,2.01,5.98,-3.41,3.3,6.2,5.35,5.02
6239,8.51,31.66,8.22,32.93,8.01,24.02,9.74,35.89
6882,12.54,28.52,13.97,25.6,5.94,23.24,12.03,35.82
7886,5.6,6.85,6,-1.73,3.87,17.9,5.92,10.81
8590,6.49,20.07,5.01,20.14,9.05,13.59,9.18,23.77
11211,2.53,20.18,1.36,19.04,5,18.23,3.05,21.39
11318,6.21,26.59,6.98,28.28,5,18.23,5.07,36.22
