"match","R1","R2","R3","B1","B2","B3"
1,1446,7886,11318,1389,888,6882
2,2186,2421,3373,4821,4464,116
3,3714,4472,5549,2900,2537,5243
4,1731,5841,1727,4638,4456,449
5,2988,2914,5353,8590,5338,5587
6,2912,6239,4464,11211,4821,4472
7,5549,888,2537,3373,6882,2900
8,5243,2186,3714,2988,2421,5841
9,8590,4456,1446,5338,1731,2912
10,6239,7886,2914,4638,5353,1389
11,11318,116,1727,5587,449,11211
12,5243,5549,4821,6882,1731,8590
13,5353,2900,5841,6239,1446,3373
14,449,2421,7886,2186,888,5587
15,1389,4472,2988,116,4456,5338
16,2914,2912,4638,11318,3714,4464
17,1727,11211,5353,2537,4821,2186
18,449,5338,4472,6239,5549,1731
19,1389,116,7886,5841,4464,3373
20,8590,2900,2988,1727,2537,2914
21,1446,3714,5587,888,11318,4456
22,6882,2912,11211,4638,5243,2421
23,4464,7886,1727,5353,6239,5338
24,5587,5549,2900,4821,1389,11318
25,2912,1446,888,5243,2988,116
26,4472,2914,2186,5841,11211,3714
27,3373,4638,1731,449,6882,2537
28,2421,8590,5549,4456,5587,7886
29,2186,2912,116,1727,6239,4472
30,2537,11211,1446,5338,888,5841
31,11318,3373,2988,5353,1731,5243
32,8590,1389,449,4821,3714,4638
