team,pRidge,opr,auto_opr,epa,drive,build_rtg,climb_score,driver_rtg,avg_crossings
449,123.59,141.39,28.67,85.68,Swerve,5,0,4.56,8.11
888,112.7,122.5,23.94,85.3,Swerve,2,0,4.5,6.75
1731,111.7,123.07,20.4,85.69,Swerve,5,0,4.5,4
5549,97.36,116.21,16.23,59.39,Swerve,5,0,4.25,4.62
5338,94.01,98.07,10.76,74.85,Swerve,5,0,4.2,6.6
2537,90.2,97.23,35.85,70.28,Swerve,4,0,4.11,6.56
1727,75.01,70.82,3.2,74.09,Swerve,4,0,3.25,6.25
4472,73.61,75.96,15.78,60.82,Swerve,3,0,3.62,4
5243,65.56,75.11,19.82,45.22,Mecanum,4,16.75,2.67,5.44
1389,52.04,62.48,5.91,36.03,Swerve,4,0,2,3.25
5353,42.38,40.65,8.06,42.37,Swerve,3,0,3.44,6.89
11318,42.46,53.78,6.51,23.74,Swerve,2,0,2.78,9.11
7886,5.45,-9.12,6.58,21.63,Swerve,3,0,2.89,6.89
4456,49.53,60.02,11.74,31.87,Swerve,4,0,2.33,4.89
3373,46.05,44.4,6.92,44.71,Swerve,4,0,2.8,3.4
5587,38.77,42.77,7.25,21.23,Swerve,4,0,2.25,3.25
2186,30.63,30.28,6.31,24.14,Swerve,3,4.4,2.9,5.7
4821,22.37,16.18,7.62,26.14,Swerve,2,0,2.56,3.11
4638,24.47,16.5,8.1,30.13,Swerve,3,6.050000000000001,2.33,5.78
2421,21.79,22.29,4.1,12.42,Swerve,3,0,2.78,6.78
6239,35.47,39.52,7.45,31.84,Swerve,4,0,2.56,6.67
6882,44.01,44.18,14.5,29.14,Tank,3,0,2.9,5.3
2900,32.24,40.06,14.74,13.03,Mecanum,3,0,2.11,8.22
2988,16.11,4.82,5.5,21.19,Tank,4,0,2.11,5.56
116,30.21,35.87,13.28,14.95,Swerve,3,4.4,2.22,5.56
2914,33.25,36.92,6.2,30.32,Swerve,2,0,1.5,0.5
8590,21.54,12.95,2.57,22.37,Swerve,5,0,2.33,3.89
