"team","match_key","auto_fuel_pre_epa","tele_fuel_pre_epa","auto_fuel_recent_epa","tele_fuel_recent_epa"
116,"2026mdbet_qm2",2.98,12.54,8.59,24.67
449,"2026mdbet_qm4",10.38,73.11,24.7,108.62
888,"2026mdbet_qm1",19.09,66.21,24.87,92.41
1389,"2026mdbet_qm1",7.58,27.68,8.5,48.75
1446,"2026mdbet_qm1",4.75,17.34,5.54,6.95
1727,"2026mdbet_qm4",15.59,56.91,9.72,77.54
1731,"2026mdbet_qm4",15.92,68.56,18.58,92.77
2186,"2026mdbet_qm2",6.13,16.96,9.08,18.56
2421,"2026mdbet_qm2",6.89,4.92,5.81,16.55
2537,"2026mdbet_qm3",16.46,53.72,27.18,66.52
2900,"2026mdbet_qm3",6.99,6.25,11.21,20.53
2912,"2026mdbet_qm6",0,0,2.99,-5.25
2914,"2026mdbet_qm5",6.38,23.28,6.66,16.22
2988,"2026mdbet_qm5",5.48,15.96,5.67,14.65
3373,"2026mdbet_qm2",3.97,38.89,5.87,40.88
3714,"2026mdbet_qm3",5.39,19.69,6.05,27.99
4456,"2026mdbet_qm4",6.71,24.47,9.28,36.87
4464,"2026mdbet_qm2",1.99,16.85,4.39,17.32
4472,"2026mdbet_qm3",9.14,50.95,13.02,55.25
4638,"2026mdbet_qm4",3.48,19.73,4.28,14.09
4821,"2026mdbet_qm2",5.9,20.36,7.45,15.94
5243,"2026mdbet_qm3",6.09,35.01,9.59,46.66
5338,"2026mdbet_qm5",16.64,58.44,15.96,78.56
5353,"2026mdbet_qm5",11.07,31.82,9.26,43.02
5549,"2026mdbet_qm3",11.82,46.49,16.64,81.56
5587,"2026mdbet_qm5",5.98,15.82,10.54,30.11
5841,"2026mdbet_qm4",3.3,6.2,5.35,5.02
6239,"2026mdbet_qm6",8.01,24.02,9.74,35.89
6882,"2026mdbet_qm1",5.94,23.24,12.03,35.82
7886,"2026mdbet_qm1",3.87,17.9,5.92,10.81
8590,"2026mdbet_qm5",9.05,13.59,9.18,23.77
11211,"2026mdbet_qm6",5,18.23,3.05,21.39
11318,"2026mdbet_qm1",5,18.23,5.07,36.22
