"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,48,172,10,9
2,11,21,24,86
3,32,95,37,182
4,39,157,24,178
5,16,137,24,51
6,33,82,15,32
7,36,86,64,257
8,17,31,22,60
9,32,191,21,21
10,18,82,17,27
11,12,211,20,109
12,33,75,33,121
13,25,78,19,62
14,42,107,16,14
15,31,189,22,82
16,8,41,4,3
17,59,37,22,95
18,46,180,53,143
19,6,66,22,58
20,45,176,21,51
21,46,236,11,31
22,21,89,20,10
23,19,169,13,37
24,22,103,53,147
25,32,82,34,30
26,15,6,16,90
27,103,226,26,154
28,43,141,14,188
29,19,181,26,29
30,34,124,31,117
31,42,180,10,87
32,16,33,30,228
