"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_epa","tele_fuel_epa"
614,25.42,56.73,26.82,58.26,25.29,55.56
623,4.36,13.09,4.49,10.33,4.79,14.43
686,10.9,48.38,10.23,45.75,11.52,48.85
836,17.71,55.75,15.81,54.29,19.13,55.65
888,18.19,68.67,17.07,72.5,19.09,66.22
1111,4.95,10.33,3.43,4.27,5.92,12.27
1418,5.94,28.22,4.59,30.89,6.92,26.76
1629,15.95,64.51,14.61,64.86,16.97,63.34
1719,6.22,16.01,4.8,14.33,7.34,15.81
2199,10.72,58.19,11.8,66.28,10.81,54.58
2421,5.31,4.22,3.96,5.51,6.89,4.93
2537,16.19,57.6,16.19,65.1,16.46,53.72
2849,3.02,21.26,2.28,24.42,3.72,18.83
2900,6.78,6.97,7.69,8.32,6.99,6.25
3748,9.3,21.66,8.19,20.22,10.37,22.01
4464,1.84,18.64,1.76,20.18,1.99,16.85
4505,4.03,6.7,2.38,-1.92,4.91,10.38
4541,14.26,27.49,15.57,29.96,14.24,26.75
4821,4.1,18.14,1.08,11.53,5.9,20.36
5115,10.85,34.96,10.04,36.76,11.72,33.17
5830,1.69,0.47,1.85,2.69,2.44,-0.63
5841,3.29,6.17,4.39,6.15,3.3,6.21
6239,7.66,23.47,7.81,21.35,8.01,24.02
6326,4.94,18.14,3.56,16.27,6.1,18.73
6863,8.22,20.38,8.73,19.13,8.31,20.22
7770,4.47,5.03,4.19,2.55,4.72,5.81
7886,2.81,17.94,1.51,16.77,3.87,17.9
8590,9.07,12.04,10.71,10.99,9.05,13.59
8622,3.28,-11.98,3.32,-16.29,3.91,-8.69
8726,4.67,10.67,2.89,5.07,5.82,12.85
9033,10.65,19.73,10.85,18.54,10.8,20.51
9072,40.43,162.46,45.96,189.82,38.08,147.48
10679,8.61,28.96,7.79,28.03,9.29,28.63
11350,3,12.69,1.49,11.01,3.91,11.91
