"match","R1","R2","R3","B1","B2","B3"
1,623,836,5115,2199,8622,11350
2,7886,9072,4505,2421,2900,6863
3,10679,2537,9033,1719,1418,8590
4,4541,686,614,5830,7770,3748
5,1629,888,1111,6326,4464,8726
6,6239,2849,4505,4821,5841,8590
7,2421,7886,7770,10679,2199,1719
8,4464,1418,2900,8726,9072,888
9,5841,3748,2849,1629,5115,5830
10,4821,4541,6863,1111,11350,2537
11,8622,623,686,6326,6239,9033
12,614,1719,9072,5830,836,1418
13,7770,2537,4541,11350,7886,1629
14,4464,5841,686,8622,4505,1111
15,836,10679,6326,5115,4821,2900
16,3748,2421,888,6863,8590,2199
17,623,6239,8726,9033,614,2849
18,5115,5841,7886,1629,686,4821
19,1111,9072,7770,3748,10679,2900
20,8590,9033,11350,836,2421,6239
21,1719,623,5830,6326,888,4541
22,614,4505,2537,2849,2199,4464
23,6863,1418,1629,8726,8622,3748
24,686,6326,5830,5115,2421,9033
25,2900,11350,623,5841,7770,4505
26,836,2849,1719,888,4821,7886
27,2537,8726,6863,10679,6239,614
28,2199,4541,1418,8590,1111,4464
29,1719,7886,8622,623,3748,9072
30,1629,614,2421,4821,836,2537
31,4505,6863,10679,1418,6326,5841
32,7770,8726,8590,9072,6239,5115
33,9033,4464,8622,4541,11350,5830
34,2900,1111,2199,686,2849,888
35,8590,4505,836,6863,6326,7770
36,4464,1629,6239,1719,5115,3748
37,1111,5830,8726,7886,2537,623
38,5841,9033,2199,2849,2900,4541
39,888,614,11350,686,10679,9072
40,2421,4821,623,1418,8622,2537
41,6239,5841,1111,836,2199,1629
42,5830,4464,10679,7886,8590,686
43,4541,5115,8726,4505,2421,1719
44,2849,6863,8622,9072,4821,6326
45,9033,3748,1418,7770,2900,614
46,888,8590,623,11350,686,2421
47,2849,6326,5115,2537,9072,4464
48,1418,10679,1111,7770,1629,8622
49,6863,7886,3748,4505,9033,4541
50,6239,2199,4821,5830,888,2900
51,5841,1719,11350,8726,614,836
52,8590,1629,10679,623,4464,4505
53,4821,5830,2849,686,7770,9033
54,11350,3748,6326,6239,1418,7886
55,2900,2537,1719,8622,888,5841
56,2199,8726,2421,9072,6863,836
57,614,5115,1418,1111,4541,7886
58,4505,2900,6326,2537,5830,8590
59,3748,836,686,8726,1719,4821
60,888,7770,4464,8622,4541,6239
61,9072,1629,5841,9033,623,6863
62,5115,11350,10679,2421,1111,2849
63,614,8622,4821,2199,4505,888
64,2537,686,6239,1418,623,7770
65,11350,2849,9072,4541,1719,1629
66,2900,9033,836,4464,6863,5115
67,7886,5830,2199,10679,8726,5841
68,6326,8590,2421,3748,1111,614
