"team","auto_fuel_epa","tele_fuel_epa"
614,17.02,46.64
623,2.41,2.27
686,10.71,53.93
836,13.26,61.33
888,11.8,59.35
1111,6.14,27.48
1418,7.05,27.7
1629,8.1,67.07
1719,6.71,19.77
2199,11.55,47.13
2421,4.64,16.5
2537,8.76,25.34
2849,3.88,9.7
2900,2.39,3.41
3748,8,35.48
4464,1.45,8.11
4505,5.5,21.83
4541,14.52,33.08
4821,2.63,24.25
5115,4.62,26.74
5830,1.52,24.8
5841,0.32,4.85
6239,2,1.65
6326,4.9,23.23
6863,6.31,25.75
7770,8.26,20.23
7886,0.87,14.44
8590,8.7,31.21
8622,2.45,4
8726,8.15,37.51
9033,9.72,29.56
9072,28.78,103.41
10679,6.42,33.09
11350,2.7,25.23
