scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,68,,,,,,,,,,,,,,,,
MC,1,R2,70,,,,,,,,,,,,,,,,
AM,1,R3,201,,,,,,,,,,,,,,,,
BP,1,B1,263,,,,,,,,,,,,,,,,
AZ,1,B2,287,,,,,,,,,,,,,,,,
MH,1,B3,343,,,,,,,,,,,,,,,,
NS,2,R1,353,,,,,,,,,,,,,,,,
EC,2,R2,359,,,,,,,,,,,,,,,,
HR,2,R3,686,,,,,,,,,,,,,,,,
AD,2,B1,694,,,,,,,,,,,,,,,,
AM,2,B2,1640,,,,,,,,,,,,,,,,
BP,2,B3,1671,,,,,,,,,,,,,,,,
AM,3,R1,1678,,,,,,,,,,,,,,,,
HR,3,R2,1771,,,,,,,,,,,,,,,,
CC,3,R3,2122,,,,,,,,,,,,,,,,
AZ,3,B1,2169,,,,,,,,,,,,,,,,
JD,3,B2,2200,,,,,,,,,,,,,,,,
BP,3,B3,2333,,,,,,,,,,,,,,,,
CC,4,R1,2403,,,,,,,,,,,,,,,,
HR,4,R2,2481,,,,,,,,,,,,,,,,
AM,4,R3,2601,,,,,,,,,,,,,,,,
AD,4,B1,2630,,,,,,,,,,,,,,,,
BP,4,B2,2811,,,,,,,,,,,,,,,,
JD,4,B3,2846,,,,,,,,,,,,,,,,
HR,5,R1,2905,,,,,,,,,,,,,,,,
CC,5,R2,2974,,,,,,,,,,,,,,,,
AM,5,R3,3075,,,,,,,,,,,,,,,,
AZ,5,B1,3245,,,,,,,,,,,,,,,,
JD,5,B2,3277,,,,,,,,,,,,,,,,
BP,5,B3,3419,,,,,,,,,,,,,,,,
HR,6,R1,3492,,,,,,,,,,,,,,,,
BP,6,R2,3637,,,,,,,,,,,,,,,,
AM,6,R3,3707,,,,,,,,,,,,,,,,
CC,6,B1,3928,,,,,,,,,,,,,,,,
JD,6,B2,4089,,,,,,,,,,,,,,,,
AD,6,B3,4122,,,,,,,,,,,,,,,,
AM,7,R1,4270,,,,,,,,,,,,,,,,
CC,7,R2,4362,,,,,,,,,,,,,,,,
AZ,7,R3,4421,,,,,,,,,,,,,,,,
BP,7,B1,4476,,,,,,,,,,,,,,,,
JD,7,B2,4481,,,,,,,,,,,,,,,,
HR,7,B3,4499,,,,,,,,,,,,,,,,
HR,8,R1,4795,,,,,,,,,,,,,,,,
BP,8,R2,4905,,,,,,,,,,,,,,,,
JD,8,R3,4907,,,,,,,,,,,,,,,,
AM,8,B1,4915,,,,,,,,,,,,,,,,
AD,8,B2,5462,,,,,,,,,,,,,,,,
CC,8,B3,5985,,,,,,,,,,,,,,,,
HR,9,R1,6002,,,,,,,,,,,,,,,,
CC,9,R2,6090,,,,,,,,,,,,,,,,
JD,9,R3,6238,,,,,,,,,,,,,,,,
AM,9,B1,6925,,,,,,,,,,,,,,,,
BP,9,B2,6989,,,,,,,,,,,,,,,,
AZ,9,B3,7039,,,,,,,,,,,,,,,,
DK,10,R1,7250,,,,,,,,,,,,,,,,
GK,10,R2,7426,,,,,,,,,,,,,,,,
MY,10,R3,7457,,,,,,,,,,,,,,,,
RY,10,B1,7594,,,,,,,,,,,,,,,,
NS,10,B2,7717,,,,,,,,,,,,,,,,
MH,10,B3,7763,,,,,,,,,,,,,,,,
DK,11,R1,7890,,,,,,,,,,,,,,,,
NS,11,R2,8020,,,,,,,,,,,,,,,,
MY,11,R3,8158,,,,,,,,,,,,,,,,
RY,11,B1,8429,,,,,,,,,,,,,,,,
GK,11,B2,8808,,,,,,,,,,,,,,,,
CL,11,B3,8873,,,,,,,,,,,,,,,,
CC,12,R1,9140,,,,,,,,,,,,,,,,
AM,12,R2,9635,,,,,,,,,,,,,,,,
CL,12,R3,9644,,,,,,,,,,,,,,,,
BP,12,B1,10101,,,,,,,,,,,,,,,,
SBS,12,B2,10526,,,,,,,,,,,,,,,,
AZ,12,B3,10604,,,,,,,,,,,,,,,,
AM,13,R1,10633,,,,,,,,,,,,,,,,
SBS,13,R2,10950,,,,,,,,,,,,,,,,
BP,13,R3,11065,,,,,,,,,,,,,,,,
