scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments
MH,1,R1,88,,,,,,,,,,,,,,,,
MC,1,R2,148,,,,,,,,,,,,,,,,
AM,1,R3,180,,,,,,,,,,,,,,,,
BP,1,B1,195,,,,,,,,,,,,,,,,
AZ,1,B2,233,,,,,,,,,,,,,,,,
MH,1,B3,341,,,,,,,,,,,,,,,,
NS,2,R1,346,,,,,,,,,,,,,,,,
EC,2,R2,386,,,,,,,,,,,,,,,,
HR,2,R3,424,,,,,,,,,,,,,,,,
AD,2,B1,599,,,,,,,,,,,,,,,,
AM,2,B2,604,,,,,,,,,,,,,,,,
BP,2,B3,687,,,,,,,,,,,,,,,,
AM,3,R1,695,,,,,,,,,,,,,,,,
HR,3,R2,818,,,,,,,,,,,,,,,,
CC,3,R3,868,,,,,,,,,,,,,,,,
AZ,3,B1,930,,,,,,,,,,,,,,,,
JD,3,B2,948,,,,,,,,,,,,,,,,
BP,3,B3,973,,,,,,,,,,,,,,,,
CC,4,R1,1108,,,,,,,,,,,,,,,,
HR,4,R2,1540,,,,,,,,,,,,,,,,
AM,4,R3,1577,,,,,,,,,,,,,,,,
AD,4,B1,1796,,,,,,,,,,,,,,,,
BP,4,B2,1807,,,,,,,,,,,,,,,,
JD,4,B3,1833,,,,,,,,,,,,,,,,
HR,5,R1,1884,,,,,,,,,,,,,,,,
CC,5,R2,1902,,,,,,,,,,,,,,,,
AM,5,R3,1922,,,,,,,,,,,,,,,,
AZ,5,B1,2046,,,,,,,,,,,,,,,,
JD,5,B2,2052,,,,,,,,,,,,,,,,
BP,5,B3,2067,,,,,,,,,,,,,,,,
HR,6,R1,2194,,,,,,,,,,,,,,,,
BP,6,R2,2370,,,,,,,,,,,,,,,,
AM,6,R3,2586,,,,,,,,,,,,,,,,
CC,6,B1,2713,,,,,,,,,,,,,,,,
JD,6,B2,2783,,,,,,,,,,,,,,,,
AD,6,B3,2910,,,,,,,,,,,,,,,,
AM,7,R1,2996,,,,,,,,,,,,,,,,
CC,7,R2,3005,,,,,,,,,,,,,,,,
AZ,7,R3,3044,,,,,,,,,,,,,,,,
BP,7,B1,3256,,,,,,,,,,,,,,,,
JD,7,B2,3276,,,,,,,,,,,,,,,,
HR,7,B3,3354,,,,,,,,,,,,,,,,
HR,8,R1,3966,,,,,,,,,,,,,,,,
BP,8,R2,4099,,,,,,,,,,,,,,,,
JD,8,R3,4206,,,,,,,,,,,,,,,,
AM,8,B1,4253,,,,,,,,,,,,,,,,
AD,8,B2,4400,,,,,,,,,,,,,,,,
CC,8,B3,4561,,,,,,,,,,,,,,,,
HR,9,R1,4590,,,,,,,,,,,,,,,,
CC,9,R2,5216,,,,,,,,,,,,,,,,
JD,9,R3,5414,,,,,,,,,,,,,,,,
AM,9,B1,5549,,,,,,,,,,,,,,,,
BP,9,B2,5736,,,,,,,,,,,,,,,,
AZ,9,B3,5948,,,,,,,,,,,,,,,,
DK,10,R1,5951,,,,,,,,,,,,,,,,
GK,10,R2,6036,,,,,,,,,,,,,,,,
MY,10,R3,6352,,,,,,,,,,,,,,,,
RY,10,B1,6436,,,,,,,,,,,,,,,,
NS,10,B2,6647,,,,,,,,,,,,,,,,
MH,10,B3,6988,,,,,,,,,,,,,,,,
DK,11,R1,7160,,,,,,,,,,,,,,,,
NS,11,R2,8046,,,,,,,,,,,,,,,,
MY,11,R3,8373,,,,,,,,,,,,,,,,
RY,11,B1,9029,,,,,,,,,,,,,,,,
GK,11,B2,9067,,,,,,,,,,,,,,,,
CL,11,B3,9128,,,,,,,,,,,,,,,,
CC,12,R1,9245,,,,,,,,,,,,,,,,
AM,12,R2,9408,,,,,,,,,,,,,,,,
CL,12,R3,9450,,,,,,,,,,,,,,,,
BP,12,B1,10291,,,,,,,,,,,,,,,,
SBS,12,B2,10553,,,,,,,,,,,,,,,,
AZ,12,B3,10903,,,,,,,,,,,,,,,,
AM,13,R1,10935,,,,,,,,,,,,,,,,
SBS,13,R2,10979,,,,,,,,,,,,,,,,
BP,13,R3,11463,,,,,,,,,,,,,,,,
