"match","R1","R2","R3","B1","B2","B3"
1,4253,4099,6436,1796,5549,604
2,2052,6352,5414,2370,868,687
3,6647,10291,346,148,6988,5948
4,9408,930,1108,3005,10979,386
5,10903,2783,3276,11463,948,4561
6,2194,5951,2996,9450,9029,1540
7,1884,1833,8046,9128,10935,341
8,4206,233,9245,5216,195,2910
9,3256,3044,7160,3966,6036,1577
10,1922,599,4590,2586,8373,1807
11,695,180,9067,10553,424,5736
12,3354,2713,2046,1902,2067,88
13,973,604,148,3005,818,4400
14,5951,4253,9450,5948,868,930
15,3276,9408,5414,1833,2996,4099
16,9128,6352,10903,10291,386,10935
17,1540,11463,687,5216,3256,6988
18,4590,2194,6036,948,1884,2783
19,5736,9067,341,3044,6647,599
20,2067,2586,1108,3966,9245,5549
21,1577,10553,2046,346,2052,2910
22,4206,1902,818,1796,10979,1922
23,88,9029,195,1807,424,4400
24,180,2370,6436,2713,233,4561
25,3354,8046,695,7160,8373,973
26,1833,687,386,2194,11463,4253
27,2783,10935,5216,599,5948,5414
28,5549,9450,3276,3256,341,4590
29,3966,2996,9067,6352,1884,2910
30,868,948,818,4099,10553,9128
31,6988,1577,4206,930,1902,9029
32,424,2046,3005,1796,2586,233
33,973,695,3044,1807,10291,2713
34,2370,88,1540,6647,1922,9245
35,4400,180,10903,9408,346,8373
36,5951,195,4561,6036,604,7160
37,3354,2052,148,8046,5736,1108
38,10553,1884,6436,5948,10979,2067
39,930,386,6988,599,3966,948
40,9450,2910,2783,1902,6352,3005
41,5549,9128,233,9067,973,9029
42,9245,4099,2713,1807,10935,687
43,424,4206,868,1540,341,10291
44,8373,6647,180,2046,604,2996
45,11463,9408,195,5951,818,2052
46,1577,1796,5216,6036,1833,3354
47,4561,148,10979,695,88,3256
48,6436,2586,5736,7160,4400,3276
49,4590,10903,2067,4253,2370,8046
50,1108,346,2194,1922,5414,3044
51,2783,341,10553,233,687,930
52,3005,9128,4206,180,2713,599
53,818,1540,5549,1807,386,2046
54,2052,5948,604,2996,9029,3354
55,4099,9067,1902,88,3966,11463
56,948,5216,148,7160,6436,9408
57,9245,973,10979,1577,10903,424
58,1922,1108,9450,3276,8046,6036
59,4400,4590,6352,4561,6988,695
60,5414,1796,868,1884,5736,195
61,10935,4253,6647,2586,2194,2910
62,10291,3044,1833,8373,2067,5951
63,3256,2370,3966,9128,2783,346
64,5216,930,88,180,5549,2052
65,599,604,1540,10979,687,9408
66,6436,1807,6036,10903,2046,341
67,424,9245,7160,4590,818,2996
68,386,3276,1922,6988,195,2713
69,6647,1902,973,948,4253,5414
70,1884,9029,3005,8046,4099,10291
71,233,11463,346,695,868,2067
72,5736,2910,3354,4561,1833,9450
73,2370,8373,5948,9067,1577,2586
74,6352,2194,3044,148,10553,1796
75,4400,3256,10935,4206,1108,5951
76,2052,424,9128,3276,6988,604
77,599,5549,2996,10903,195,818
78,687,10291,1884,1902,7160,180
79,233,5414,6647,6036,9245,386
80,2910,4561,8046,930,1807,11463
81,4253,1922,5216,341,695,9029
82,5736,973,5948,8373,3966,6352
83,3005,3256,2067,9067,868,2194
84,2046,10979,2370,4400,1833,948
85,2713,5951,10553,4590,1108,1577
86,346,148,2586,4099,9450,4206
87,10935,88,3044,1540,2783,6436
88,9408,6647,1807,1796,3354,1884
89,10291,9128,4561,2996,4253,9245
90,6036,11463,180,973,599,6352
91,2910,3256,868,604,1922,8373
92,195,3276,930,2046,695,2194
93,386,4400,1902,10553,5216,1833
94,341,2713,2586,148,5414,10903
95,3966,3005,2052,10935,6436,4590
96,818,3354,424,3044,4206,2370
97,1108,948,4099,5948,1540,233
98,9029,2067,1577,2783,5736,9408
99,8046,687,5951,88,346,5549
100,6988,1796,9067,9450,7160,10979
101,6352,10291,4253,195,2046,3256
102,9245,599,148,868,3276,1902
103,386,4561,2586,973,2052,1884
104,11463,2996,10935,2370,1922,930
105,604,4590,3966,10903,5216,233
106,341,8373,1577,2194,4099,818
107,5414,8046,88,10553,4206,9408
108,424,9450,695,687,6436,6647
109,2067,7160,1796,9128,1540,4400
110,948,3005,9067,346,5951,3354
111,1833,1807,2783,1108,180,6988
112,2910,6036,2713,10979,5549,5736
113,9029,5948,2046,3044,4590,11463
114,2194,233,3256,2052,10903,599
115,818,3276,8373,1884,88,4253
116,195,1577,973,10935,148,9450
117,5216,341,4099,2067,4561,6352
118,6436,4400,10291,687,9067,1922
119,2996,6988,1807,868,3005,10553
120,2713,5736,346,1540,930,424
121,9029,2910,1796,1108,386,2370
122,695,9408,5948,1902,6036,9128
123,5549,7160,1833,6647,2783,4206
124,604,3044,948,2586,8046,9245
125,10979,3354,3966,5414,5951,180
