scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,problems
KO,1,B1,539,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
SBS,1,R2,10449,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,Not here :(,0
CC,1,R3,1885,C,FALSE,3,FALSE,FALSE,10,1,0,0,6,No,FALSE,2,4,FALSE,TRUE,Yellow,NA,0
AM,1,R1,2186,F,FALSE,NA,FALSE,FALSE,0,2,0,0,0,No,FALSE,1245,2,FALSE,FALSE,No Card,NA,0
MC,1,B3,122,M,FALSE,NA,FALSE,FALSE,0,0,3,1,0,No,FALSE,54,4,FALSE,FALSE,No Card,Pure Defense all the time,0
CR,1,B2,6882,C,FALSE,NA,FALSE,FALSE,0,2,0,1,3,No,FALSE,6,3,FALSE,TRUE,No Card,NA,0
AM,2,R1,4099,F,FALSE,NA,FALSE,FALSE,10,4,0,0,8,No,FALSE,6,3,FALSE,FALSE,No Card,NA,0
CC,2,R3,9403,C,FALSE,NA,FALSE,FALSE,0,0,0,0,4,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
KO,2,B1,2028,M,FALSE,2,FALSE,FALSE,0,0,6,1,3,No,FALSE,6,3,FALSE,FALSE,No Card,"attempted auto climb, did not climb fully, got stuck on bump",0
SBS,2,R2,3258,M,FALSE,NA,FALSE,FALSE,0,0,6,2,9,No,FALSE,16,3,FALSE,FALSE,No Card,NA,0
CR,2,B2,8326,F,FALSE,NA,FALSE,FALSE,0,0,2,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
MC,2,B3,8230,C,FALSE,NA,FALSE,FALSE,2,4,0,1,3,No,FALSE,54,1,FALSE,FALSE,No Card,NA,0
AM,3,R1,449,C,FALSE,NA,FALSE,FALSE,0,1,0,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,Something wrong with swerve,0
CR,3,B2,116,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
