"team","auto_fuel","tele_fuel","auto_fuel_opr","tele_fuel_opr","auto_fuel_epa","tele_fuel_epa"
116,1.43,6.12,-0.72,-2.94,2.98,12.54
122,4.35,15.02,2.55,10.25,5.57,19.54
449,8.65,64.37,6.14,53.39,10.38,73.11
526,7.95,25.54,9.39,29.89,7.72,26.19
539,7.44,14.48,7.27,11.43,8.07,18.92
611,6.63,19.24,5.25,12.22,7.64,24.39
612,6.91,21.5,6.89,20.62,7.06,23.23
620,4.93,20.44,3.34,13.62,6.45,26.84
1731,13.97,64.73,10.83,61.51,15.92,68.56
1793,1.05,5.51,1.72,5.82,1.4,8.33
1885,4.59,11.1,3.65,6.96,5.63,15.35
1895,8.94,24,8.8,24.93,9.58,25.62
1908,15.59,73,15.17,76.17,16.49,73.43
2028,3.02,23.55,2.88,24.54,3.72,26.32
2068,9.16,14.53,10.76,14.94,9.11,17.56
2186,5.29,13.18,4.46,11.27,6.13,16.95
2363,6.12,29.49,5.49,25.62,7.06,34.59
2377,8.72,35.58,9.16,37.32,8.84,36.62
2534,2.3,-0.84,0.62,-5.32,3.45,3.84
2890,-0.5,11.17,-1.6,6.52,0.54,16.75
2963,2.73,0.67,1.57,-6,3.71,6.1
2988,5.41,13.7,6.09,15.14,5.48,15.96
3136,9,29.25,9.63,23.03,9.34,35.2
3258,6.95,23.87,7.12,27.4,7.54,24.81
3359,1.9,8.24,1.46,8.19,2.7,11.56
3373,2.64,36.67,0.97,36.59,3.97,38.89
4099,27.07,53.14,30.02,55.9,25.93,53.91
4472,8.89,49.11,9.52,51.3,9.14,50.95
4638,2.77,14.05,2.27,8.25,3.48,19.74
5243,5.4,33.93,5.26,35.96,6.09,35.01
5338,16.12,54.86,15.6,51.41,16.64,58.45
5353,10.56,29.51,10.36,29.41,11.07,31.83
5549,11.57,45.59,12.68,49.76,11.82,46.49
5587,5.59,11.42,5.52,6.88,5.98,15.81
6882,5.84,23.11,6.61,28.12,5.94,23.24
8230,3.72,20.36,2.79,15.31,4.49,25.27
8326,5.73,4.81,5.31,0.22,6.43,9.14
9072,26.09,77.41,27.64,79.86,26,79.89
9403,4.73,9.79,2.81,3.16,6.03,14.56
10449,1.76,3.8,0.72,-0.31,2.55,7.49
