"match","R1","R2","R3","B1","B2","B3"
1,2186,10449,1885,539,6882,122
2,4099,3258,9403,2028,8326,8230
3,449,2988,2068,526,116,4472
4,1895,2890,3136,612,5587,2363
5,9072,5338,4638,5549,1908,5353
6,2534,2377,1793,5243,1731,2963
7,3359,611,2028,3373,620,10449
8,2363,1885,2068,4099,2988,612
9,6882,9403,1908,116,122,3258
10,9072,5243,2186,4638,8326,2890
11,1895,2963,3373,1793,620,526
12,5353,539,5587,8230,2534,3359
13,449,3136,4472,611,1731,5549
14,2988,2377,4638,10449,5338,2028
15,1793,2186,2068,620,2363,9403
16,3359,526,122,2890,2534,9072
17,3258,1908,612,539,3136,2963
18,5353,116,5243,4099,8230,4472
19,8326,1731,1885,5338,5549,1895
20,6882,611,3373,449,2377,5587
21,4638,526,3136,539,612,2068
22,4472,2028,620,10449,116,1908
23,2186,5549,122,1793,5338,8230
24,2963,4099,2363,611,9072,449
25,8326,2534,1895,5587,3373,2988
26,9403,5353,1731,2890,2377,3258
27,2028,1885,5243,6882,3359,3136
28,1793,10449,2963,116,2186,4099
29,4472,5587,1908,5338,2988,526
30,122,611,8230,2363,4638,1731
31,2890,449,539,620,1895,5353
32,2068,3258,3373,5243,5549,2377
33,612,3359,9403,8326,9072,6882
34,2534,2028,526,1885,4638,611
35,5338,5353,4099,3136,122,2988
36,1908,449,2963,8230,2890,5243
37,2377,8326,612,3359,1793,116
38,2186,5587,620,3258,4472,2363
39,9403,5549,10449,539,3373,2534
40,2068,9072,1731,6882,1895,1885
41,2890,612,1793,116,2028,449
42,4638,620,3359,122,2363,2377
43,5243,1908,3373,8230,5353,2186
44,2534,5587,6882,2068,2963,5549
45,8326,4472,611,1885,9072,539
46,10449,526,4099,1731,3258,1895
47,5338,3136,620,2988,9403,8230
48,3373,2028,1793,1908,2068,3359
49,116,1885,5549,5587,4638,5243
50,611,4099,2377,122,612,2534
51,2363,6882,2890,3258,539,5338
52,526,449,8326,3136,10449,5353
53,2988,4472,1731,2963,9403,9072
54,1895,3359,5587,2186,1908,2377
55,5549,620,2890,4638,2534,4099
56,2363,449,5338,526,3373,1885
57,2028,1731,3136,9072,1793,5353
58,2988,1895,116,611,2186,3258
59,2963,8230,6882,122,2068,8326
60,9403,5243,539,612,4472,10449
61,2028,4099,5587,5549,3359,449
62,620,116,2534,1731,5338,1908
63,1885,2963,2988,3373,3136,2186
64,8230,539,2363,2377,9403,526
65,3258,10449,8326,2068,2890,611
66,5353,6882,4638,1895,1793,4472
67,620,5243,122,9072,612,2028
68,3373,2363,116,1731,4099,539
69,2963,2890,3359,5549,2988,8326
70,2534,2068,9403,449,4638,2186
71,1885,5353,3258,5587,611,1793
72,4472,122,5338,5243,1895,612
73,3136,8230,9072,2377,6882,10449
74,526,2363,5549,1908,8326,620
75,3359,539,2988,1731,1793,449
76,612,2186,5338,5353,2963,2028
77,10449,122,9072,5587,2068,116
78,3136,3258,2534,4472,3373,4638
79,2377,8230,1895,9403,1885,2890
80,1908,526,611,4099,5243,6882
