"team","auto_fuel_epa","tele_fuel_epa"
116,2.98,12.54
122,5.57,19.54
449,10.38,73.11
526,7.72,26.19
539,8.07,18.92
611,7.64,24.39
612,7.06,23.23
620,6.45,26.84
1731,15.92,68.56
1793,1.4,8.33
1885,5.63,15.35
1895,9.58,25.62
1908,16.49,73.43
2028,3.72,26.32
2068,9.11,17.56
2186,6.13,16.95
2363,7.06,34.59
2377,8.84,36.62
2534,3.45,3.84
2890,0.54,16.75
2963,3.71,6.1
2988,5.48,15.96
3136,9.34,35.2
3258,7.54,24.81
3359,2.7,11.56
3373,3.97,38.89
4099,25.93,53.91
4472,9.14,50.95
4638,3.48,19.74
5243,6.09,35.01
5338,16.64,58.45
5353,11.07,31.83
5549,11.82,46.49
5587,5.98,15.81
6882,5.94,23.24
8230,4.49,25.27
8326,6.43,9.14
9072,26,79.89
9403,6.03,14.56
10449,2.55,7.49
