"match","blue_auto_fuel","blue_tele_fuel","red_auto_fuel","red_tele_fuel"
1,5,33,6,16
2,3,13,38,47
3,15,49,20,18
4,23,5,10,29
5,15,76,49,76
6,2,57,1,9
7,0,27,0,7
8,49,108,16,46
9,10,29,10,115
10,7,6,14,98
11,5,45,5,38
12,8,9,13,35
13,30,117,22,58
14,15,32,8,48
15,2,64,20,17
16,23,48,5,40
17,22,31,14,131
18,32,126,23,60
19,37,154,1,47
20,13,54,10,33
21,25,46,28,72
22,9,55,10,97
23,21,51,31,20
24,32,99,27,67
25,5,63,11,53
26,4,67,20,37
27,8,24,14,43
28,19,71,3,9
29,15,79,33,137
30,9,65,7,28
31,20,77,10,33
32,35,157,18,71
33,44,119,12,15
34,14,21,21,49
35,21,22,60,151
36,11,31,34,148
37,3,1,15,72
38,34,100,17,10
39,10,77,16,48
40,25,75,65,186
41,15,138,6,19
42,26,81,13,14
43,27,61,34,155
44,16,26,19,22
45,42,72,18,77
46,28,139,57,53
47,16,52,29,110
48,23,115,7,30
49,13,80,11,5
50,6,50,55,115
51,28,101,17,83
52,21,55,16,56
53,40,78,32,127
54,36,124,15,19
55,28,25,5,94
56,15,96,29,130
57,47,187,25,179
58,19,26,18,14
59,22,13,25,36
60,16,96,20,62
61,33,191,43,137
62,50,209,9,33
63,20,93,11,41
64,28,91,12,81
65,17,81,16,47
66,26,66,28,70
67,43,107,18,63
68,63,111,8,71
69,37,122,10,43
70,9,173,10,28
71,16,66,26,110
72,28,83,28,154
73,24,78,33,167
74,43,40,28,106
75,18,145,16,60
76,12,46,30,94
77,16,47,24,144
78,12,124,24,23
79,15,39,17,69
80,27,152,32,183
