match,R1,R2,R3,B1,B2,B3
1,88,501,3566,1768,5962,190
2,6328,78,1073,9644,1735,4041
3,4909,5422,2423,2877,811,5813
4,1119,1153,151,131,5000,2079
5,8724,190,2342,1512,1721,5687
6,1073,88,1768,2423,6328,2877
7,5813,3566,9644,1735,1119,5000
8,4041,2342,501,5422,2079,1153
9,1721,8724,4909,5962,151,78
10,811,1768,1512,5687,9644,131
11,190,5813,1119,1153,4041,6328
12,151,2877,1721,501,2423,1735
13,2342,131,811,3566,1073,8724
14,5000,1512,5422,78,4909,88
15,2877,5687,5962,2079,1735,6328
sf,2877,6328,2342,88,78,131
sf,2079,5000,1512,1721,5687,151
sf,1768,4909,9644,1119,2423,5422
sf,190,8724,1735,1153,1073,4041
sf,88,78,131,2079,5000,1512
sf,1119,2423,5422,1153,1073,4041
sf,2342,6328,2877,1721,5687,151
sf,1768,4909,9644,190,1735,8724
sf,1721,5687,151,1119,2423,5422
sf,190,1735,8724,88,78,131
sf,2342,6328,2877,1768,4909,9644
sf,88,78,131,1721,5687,151
sf,1768,4909,5962,1721,5687,151
f,2342,6328,2877,1768,4909,5962
f,2342,6328,2877,5962,1768,4909
f,2342,6328,2877,9644,1768,4909
